results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	count	count_change	count_label
1968	azilsartan kamedoxomil	1.06	0.22	3.1	0.76	3	784	31950	8831602	1968	azilsartan kamedoxomil	hypertension	0	0	1.79	0.28	0	369	1807	322332	1968	azilsartan kamedoxomil	hypertension	16	87.6	0	0	22.84	1	0	88	132	69483	1968	azilsartan kamedoxomil	hypertension	0	0	95.3	1	0	31	44	31905	1968	azilsartan kamedoxomil	hypertension	0	0	26.26	1	0	57	105	40530	1968	azilsartan kamedoxomil	hypertension	-10.42	2.98298794702676e-05	254.47	0.97	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1034	benazepril	2.2	1.91	2.54	7.2e-23	199	25040	31754	8807346	1034	benazepril	hypertension	0.73	0.46	1.09	0.13	24	5867	1783	316834	1034	benazepril	hypertension	16	87.6	0.47	0.01	2.69	0.73	1	1104	131	68467	1034	benazepril	hypertension	0	0	5.21	1	0	529	44	31407	1034	benazepril	hypertension	0.64	0.02	3.64	1	1	604	104	39983	1034	benazepril	hypertension	-0.83	0.436049286321536	1	0.41	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
365	bendroflumethiazide	1.52	1.12	2.02	0.0055	48	8721	31905	8823665	365	bendroflumethiazide	hypertension	0.52	0.21	1.08	0.096	7	2393	1800	320308	365	bendroflumethiazide	hypertension	16	87.6	1.46	0.04	8.35	0.5	1	361	131	69210	365	bendroflumethiazide	hypertension	0	0	19.69	1	0	143	44	31793	365	bendroflumethiazide	hypertension	1.68	0.04	9.66	0.45	1	231	104	40356	365	bendroflumethiazide	hypertension	0.29	1.33642748802547	1.01	0.77	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
360	benzthiazide	0	0	25.38	1	0	42	31953	8832344	360	benzthiazide	hypertension	0	0	71.19	1	0	11	1807	322690	360	benzthiazide	hypertension	16	87.6	0	0	Inf	1	0	0	132	69571	360	benzthiazide	hypertension	0	0	Inf	1	0	0	44	31936	360	benzthiazide	hypertension	0	0	Inf	1	0	0	105	40587	360	benzthiazide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
932	betaxolol	3.94	2.54	5.84	1.9e-08	25	1753	31928	8830633	932	betaxolol	hypertension	2.08	0.56	5.38	0.13	4	344	1803	322357	932	betaxolol	hypertension	16	87.6	0	0	29.77	1	0	68	132	69503	932	betaxolol	hypertension	0	0	110.65	1	0	27	44	31909	932	betaxolol	hypertension	0	0	33.53	1	0	45	105	40542	932	betaxolol	hypertension	-10.35	3.19927897776892e-05	281.11	0.97	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1062	bisoprolol fumarate	2.12	1.79	2.48	1.8e-16	153	20045	31800	8812341	1062	bisoprolol fumarate	hypertension	1.52	1.07	2.1	0.015	38	4500	1769	318201	1062	bisoprolol fumarate	hypertension	16	87.6	3.81	0.77	11.46	0.047	3	422	129	69149	1062	bisoprolol fumarate	hypertension	3.51	0.09	20.86	0.25	1	210	43	31726	1062	bisoprolol fumarate	hypertension	3.28	0.39	12.27	0.13	2	239	103	40348	1062	bisoprolol fumarate	hypertension	1.26	3.52542148736538	0.59	0.03	-0.01	0.01	0.02	-0.64	0.18	0	161	161	80
762	bumetanide	1.08	0.79	1.45	0.58	44	11240	31909	8821146	762	bumetanide	hypertension	0.84	0.27	1.97	1	5	1061	1802	321640	762	bumetanide	hypertension	16	87.6	0	0	7.61	1	0	260	132	69311	762	bumetanide	hypertension	0	0	22.94	1	0	123	44	31813	762	bumetanide	hypertension	0	0	9.56	1	0	153	105	40434	762	bumetanide	hypertension	-12.32	4.46161388394555e-06	389.81	0.97	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1198	butenafine	4.03	1.83	7.69	0.00055	9	618	31944	8831768	1198	butenafine	hypertension	7.3	0.86	27.84	0.033	2	49	1805	322652	1198	butenafine	hypertension	16	87.6	0	0	1279.11	1	0	3	132	69568	1198	butenafine	hypertension	0	0	Inf	1	0	0	44	31936	1198	butenafine	hypertension	0	0	946.59	1	0	3	105	40584	1198	butenafine	hypertension	-7.51	0.000547581088714126	309.07	0.98	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
779	calcifediol	0	0	5.45	1	0	189	31953	8832197	779	calcifediol	hypertension	0	0	16.41	1	0	42	1807	322659	779	calcifediol	hypertension	16	87.6	0	0	450.73	1	0	6	132	69565	779	calcifediol	hypertension	0	0	1841.04	1	0	3	44	31933	779	calcifediol	hypertension	0	0	946.59	1	0	3	105	40584	779	calcifediol	hypertension	-8.26	0.000258658991222064	357.38	0.98	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
735	calcitriol	2.17	1.75	2.67	5e-11	92	11720	31861	8820666	735	calcitriol	hypertension	2.64	1.55	4.2	3e-04	18	1226	1789	321475	735	calcitriol	hypertension	16	87.6	3.35	0.4	12.45	0.12	2	318	130	69253	735	calcitriol	hypertension	0	0	18.14	1	0	155	44	31781	735	calcitriol	hypertension	4.33	0.51	16.28	0.081	2	181	103	40406	735	calcitriol	hypertension	1.05	2.85765111806316	0.71	0.14	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1302	candesartan cilexetil	1.5	1.26	1.78	8.6e-06	135	24885	31818	8807501	1302	candesartan cilexetil	hypertension	0.65	0.43	0.94	0.02	28	7657	1779	315044	1302	candesartan cilexetil	hypertension	16	87.6	0.59	0.01	3.34	1	1	891	131	68680	1302	candesartan cilexetil	hypertension	0	0	7.16	1	0	387	44	31549	1302	candesartan cilexetil	hypertension	0.71	0.02	4.05	1	1	544	104	40043	1302	candesartan cilexetil	hypertension	-0.65	0.522045776761016	1	0.52	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
784	captopril	2.44	1.96	3	1.9e-13	90	10214	31863	8822172	784	captopril	hypertension	1.67	1.07	2.47	0.019	25	2695	1782	320006	784	captopril	hypertension	16	87.6	7.79	2.47	18.83	0.00061	5	350	127	69221	784	captopril	hypertension	27.72	8.4	71.74	2.1e-06	5	147	39	31789	784	captopril	hypertension	1.69	0.04	9.7	0.45	1	230	104	40357	784	captopril	hypertension	2	7.38905609893065	0.42	0	-0.01	0.01	0.04	-0.63	0.18	0	161	161	80
1141	carvedilol	1.42	1.27	1.57	4e-10	366	71727	31587	8760659	1141	carvedilol	hypertension	0.46	0.31	0.65	1.5e-06	32	12129	1775	310572	1141	carvedilol	hypertension	16	87.6	0.49	0.1	1.48	0.29	3	3126	129	66445	1141	carvedilol	hypertension	0.84	0.1	3.24	1	2	1710	42	30226	1141	carvedilol	hypertension	0.5	0.06	1.85	0.44	2	1524	103	39063	1141	carvedilol	hypertension	-0.45	0.637628151621773	0.51	0.37	-0.01	0.01	0.03	-0.63	0.18	0	161	161	80
1580	carvedilol phosphate	1.31	0.7	2.25	0.34	13	2742	31940	8829644	1580	carvedilol phosphate	hypertension	0.23	0.01	1.27	0.14	1	788	1806	321913	1580	carvedilol phosphate	hypertension	16	87.6	0	0	29.77	1	0	68	132	69503	1580	carvedilol phosphate	hypertension	0	0	102.37	1	0	29	44	31907	1580	carvedilol phosphate	hypertension	0	0	38.97	1	0	39	105	40548	1580	carvedilol phosphate	hypertension	-10.34	3.23143226604437e-05	289.31	0.97	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1838	cefuroxime	1.58	1.11	2.16	0.0078	38	6671	31915	8825715	1838	cefuroxime	hypertension	2.33	0.75	5.51	0.068	5	383	1802	322318	1838	cefuroxime	hypertension	16	87.6	0	0	26.55	1	0	76	132	69495	1838	cefuroxime	hypertension	0	0	83.75	1	0	35	44	31901	1838	cefuroxime	hypertension	0	0	32.03	1	0	47	105	40540	1838	cefuroxime	hypertension	-10.39	3.07383345474242e-05	262.88	0.97	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1784	cefuroxime axetil	3.32	2.32	4.61	1.5e-09	36	3000	31917	8829386	1784	cefuroxime axetil	hypertension	9.03	3.24	20.28	7.9e-05	6	119	1801	322582	1784	cefuroxime axetil	hypertension	16	87.6	0	0	78	1	0	27	132	69544	1784	cefuroxime axetil	hypertension	0	0	268.99	1	0	12	44	31924	1784	cefuroxime axetil	hypertension	0	0	89.24	1	0	18	105	40569	1784	cefuroxime axetil	hypertension	-9.41	8.1900947351399e-05	263.89	0.97	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
287	chlorothiazide	1.48	0.4	3.82	0.35	4	745	31949	8831641	287	chlorothiazide	hypertension	0	0	8.22	1	0	82	1807	322619	287	chlorothiazide	hypertension	16	87.6	0	0	310.71	1	0	8	132	69563	287	chlorothiazide	hypertension	0	0	1841.04	1	0	3	44	31933	287	chlorothiazide	hypertension	0	0	331.17	1	0	6	105	40581	287	chlorothiazide	hypertension	-8.63	0.000178664645165105	292.22	0.98	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
374	chlorthalidone	1.51	1.03	2.15	0.026	31	5665	31922	8826721	374	chlorthalidone	hypertension	0.5	0.16	1.18	0.15	5	1765	1802	320936	374	chlorthalidone	hypertension	16	87.6	0	0	4.42	1	0	445	132	69126	374	chlorthalidone	hypertension	7.13	0.83	27.73	0.035	2	212	42	31724	374	chlorthalidone	hypertension	0	0	5.88	1	0	247	105	40340	374	chlorthalidone	hypertension	0.76	2.13827622049682	0.71	0.28	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1308	cilostazol	2.92	2.33	3.61	2.9e-17	86	8157	31867	8824229	1308	cilostazol	hypertension	2.76	1.65	4.34	0.00012	19	1238	1788	321463	1308	cilostazol	hypertension	16	87.6	0	0	7.76	1	0	255	132	69316	1308	cilostazol	hypertension	0	0	17.12	1	0	164	44	31772	1308	cilostazol	hypertension	0	0	14.44	1	0	102	105	40485	1308	cilostazol	hypertension	-12.2	5.03045560711145e-06	397.11	0.98	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1770	clavulanate potassium	2.31	1.74	3.01	4.9e-08	55	6599	31898	8825787	1770	clavulanate potassium	hypertension	1.07	0.13	3.91	0.71	2	333	1805	322368	1770	clavulanate potassium	hypertension	16	87.6	0	0	51.6	1	0	40	132	69531	1770	clavulanate potassium	hypertension	0	0	125.12	1	0	24	44	31912	1770	clavulanate potassium	hypertension	0	0	89.24	1	0	18	105	40569	1770	clavulanate potassium	hypertension	-10.32	3.29671152802416e-05	367.13	0.98	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1608	clevidipine	0	0	4.92	1	0	209	31953	8832177	1608	clevidipine	hypertension	0	0	15.63	1	0	44	1807	322657	1608	clevidipine	hypertension	16	87.6	0	0	15558.38	1	0	1	132	69570	1608	clevidipine	hypertension	0	0	16384	1	0	1	44	31935	1608	clevidipine	hypertension	0	0	Inf	1	0	0	105	40587	1608	clevidipine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
604	clonidine	1.54	1.34	1.77	6e-09	207	37173	31746	8795213	604	clonidine	hypertension	0.9	0.64	1.24	0.59	40	7879	1767	314822	604	clonidine	hypertension	16	87.6	0	0	1.32	0.12	0	1465	132	68106	604	clonidine	hypertension	0	0	5.23	1	0	527	44	31409	604	clonidine	hypertension	0	0	1.43	0.19	0	995	105	39592	604	clonidine	hypertension	-13.48	1.3986542970509e-06	273.86	0.96	-0.01	0.01	0.02	-0.65	0.18	0	161	161	80
1303	clopidogrel bisulfate	1.36	1.25	1.49	3.6e-11	513	104463	31440	8727923	1303	clopidogrel bisulfate	hypertension	1.13	0.87	1.43	0.33	70	11130	1737	311571	1303	clopidogrel bisulfate	hypertension	16	87.6	1.02	0.27	2.68	0.8	4	2065	128	67506	1303	clopidogrel bisulfate	hypertension	1.19	0.14	4.59	0.69	2	1228	42	30708	1303	clopidogrel bisulfate	hypertension	0.82	0.1	3.05	1	2	937	103	39650	1303	clopidogrel bisulfate	hypertension	0.03	1.03045453395352	0.51	0.95	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
164	cryptenamine acetates	0	0	9226.34	1	0	1	31953	8832385	164	cryptenamine acetates	hypertension	0	0	6281.31	1	0	1	1807	322700	164	cryptenamine acetates	hypertension	16	87.6	0	0	Inf	1	0	0	132	69571	164	cryptenamine acetates	hypertension	0	0	Inf	1	0	0	44	31936	164	cryptenamine acetates	hypertension	0	0	Inf	1	0	0	105	40587	164	cryptenamine acetates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
193	cryptenamine tannates	0	0	9226.34	1	0	1	31953	8832385	193	cryptenamine tannates	hypertension	0	0	6281.31	1	0	1	1807	322700	193	cryptenamine tannates	hypertension	16	87.6	0	0	Inf	1	0	0	132	69571	193	cryptenamine tannates	hypertension	0	0	Inf	1	0	0	44	31936	193	cryptenamine tannates	hypertension	0	0	Inf	1	0	0	105	40587	193	cryptenamine tannates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
57	cyanocobalamin	3.3	2.8	3.86	2.6e-36	160	13452	31793	8818934	57	cyanocobalamin	hypertension	3.5	2.25	5.2	2e-07	25	1290	1782	321411	57	cyanocobalamin	hypertension	16	87.6	0	0	8.08	1	0	245	132	69326	57	cyanocobalamin	hypertension	0	0	28.35	1	0	100	44	31836	57	cyanocobalamin	hypertension	0	0	9.63	1	0	152	105	40435	57	cyanocobalamin	hypertension	-11.37	1.15364381158557e-05	247.68	0.96	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
428	cyclothiazide	0	0	418.13	1	0	4	31953	8832382	428	cyclothiazide	hypertension	0	0	6281.31	1	0	1	1807	322700	428	cyclothiazide	hypertension	16	87.6	0	0	Inf	1	0	0	132	69571	428	cyclothiazide	hypertension	0	0	Inf	1	0	0	44	31936	428	cyclothiazide	hypertension	0	0	Inf	1	0	0	105	40587	428	cyclothiazide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
676	difenoxin	0	0	33.77	1	0	32	31953	8832354	676	difenoxin	hypertension	0	0	195.23	1	0	5	1807	322696	676	difenoxin	hypertension	16	87.6	0	0	2906.98	1	0	2	132	69569	676	difenoxin	hypertension	0	0	16384	1	0	1	44	31935	676	difenoxin	hypertension	0	0	12201.34	1	0	1	105	40586	676	difenoxin	hypertension	-7.53	0.000536738256685455	372.59	0.98	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1850	digitoxin	3.03	1.93	4.51	3.5e-06	24	2194	31929	8830192	1850	digitoxin	hypertension	1.8	0.72	3.73	0.12	7	697	1800	322004	1850	digitoxin	hypertension	16	87.6	0	0	36.35	1	0	56	132	69515	1850	digitoxin	hypertension	0	0	76.79	1	0	38	44	31898	1850	digitoxin	hypertension	0	0	79.33	1	0	20	105	40567	1850	digitoxin	hypertension	-10.09	4.14924116190583e-05	313.25	0.97	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
824	diltiazem	1.57	1.4	1.75	1.1e-13	317	56114	31636	8776272	824	diltiazem	hypertension	0.61	0.41	0.87	0.004	31	8982	1776	313719	824	diltiazem	hypertension	16	87.6	0.57	0.07	2.11	0.59	2	1820	130	67751	824	diltiazem	hypertension	0	0	3.81	0.63	0	719	44	31217	824	diltiazem	hypertension	0.65	0.08	2.4	0.77	2	1184	103	39403	824	diltiazem	hypertension	-0.68	0.50661699236559	0.71	0.34	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
1194	diltiazem malate	0	0	5.45	1	0	189	31953	8832197	1194	diltiazem malate	hypertension	0	0	27.26	1	0	26	1807	322675	1194	diltiazem malate	hypertension	16	87.6	0	0	Inf	1	0	0	132	69571	1194	diltiazem malate	hypertension	0	0	Inf	1	0	0	44	31936	1194	diltiazem malate	hypertension	0	0	Inf	1	0	0	105	40587	1194	diltiazem malate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
477	diphenidol	0	0	14.53	1	0	72	31953	8832314	477	diphenidol	hypertension	0	0	46.37	1	0	16	1807	322685	477	diphenidol	hypertension	16	87.6	0	0	2906.98	1	0	2	132	69569	477	diphenidol	hypertension	0	0	Inf	1	0	0	44	31936	477	diphenidol	hypertension	0	0	2117.78	1	0	2	105	40585	477	diphenidol	hypertension	-7.36	0.000636198459538505	378.59	0.98	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
413	dipyridamole	2.55	2.05	3.14	1.3e-14	90	9772	31863	8822614	413	dipyridamole	hypertension	2.72	1.63	4.28	0.00014	19	1255	1788	321446	413	dipyridamole	hypertension	16	87.6	0	0	12.44	1	0	160	132	69411	413	dipyridamole	hypertension	0	0	33.45	1	0	85	44	31851	413	dipyridamole	hypertension	0	0	16.23	1	0	91	105	40496	413	dipyridamole	hypertension	-11.29	1.2497274217939e-05	296.05	0.97	-0.01	0.01	0.03	-0.64	0.18	0	161	161	80
