results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg
11	aminophylline	0.5	0.29	0.8	0.001735521	17	1687	176494	8686141	11	aminophylline	asthma	0.61	0.2	1.44	0.3705838	5	358	2308	100747	11	aminophylline	asthma	22.1	77.5	0	0	3.12	0.633878	0	38	546	16646	11	aminophylline	asthma	0	0	5.04	1	0	30	163	6212	11	aminophylline	asthma	0	0	6.27	1	0	21	447	14552	11	aminophylline	asthma	-11.99	6.20596271407977e-06	203.69	0.9530638	0	0	0.4192975	-0.15	0.09	0.1025468	8214258
12	sulfur	0.71	0.29	1.48	0.514777	7	483	176504	8687345	12	sulfur	acne	0	0	1.35	0.1134601	0	50	1861	32869	12	sulfur	acne	14	47.8	0	0	16.1	1	0	8	111	3013	12	sulfur	acne	0	0	50.14	1	0	3	54	1102	12	sulfur	acne	0	0	30.18	1	0	6	71	2481	12	sulfur	acne	-12.21	4.98040173750325e-06	482.77	0.9798182	0	0.01	0.6925889	0.52	0.19	0.005702086	837178
13	methyltestosterone	3.43	2.09	5.35	2.870442e-06	21	301	176490	8687527	13	methyltestosterone	hormone replacement therapy	4.67	1.22	12.75	0.01309119	4	52	660	40089	13	methyltestosterone	hormone replacement therapy	32.7	80.9	0	0	17.4	1	0	10	84	3220	13	methyltestosterone	hormone replacement therapy	0	0	458.49	1	0	4	5	1231	13	methyltestosterone	hormone replacement therapy	0	0	20.72	1	0	6	90	2164	13	methyltestosterone	hormone replacement therapy	-11.86	7.06752648464835e-06	440.32	0.9785147	0	0.01	0.641	-2.32	0.46	4.867991e-07	835008
14	vasopressin tannate	0	0	28.84	1	0	8	176511	8687820	14	vasopressin tannate	systemic candida	0	0	6270.72	1	0	4	1	712	14	vasopressin tannate	systemic candida	NA	NA	0	0	Inf	1	0	0	0	0	14	vasopressin tannate	systemic candida	0	0	Inf	1	0	0	0	60	14	vasopressin tannate	systemic candida	0	0	Inf	1	0	0	0	47	14	vasopressin tannate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	ergocalciferol	3.2	3.13	3.27	0	8411	133857	168100	8553971	15	ergocalciferol	osteoporosis	1.71	1.63	1.79	2.071825e-101	2386	14330	13300	136472	15	ergocalciferol	osteoporosis	51.1	85	1.24	1.08	1.41	0.001789389	283	1813	2673	21209	15	ergocalciferol	osteoporosis	1.06	0.61	1.73	0.7990567	19	209	217	2521	15	ergocalciferol	osteoporosis	1.26	1.1	1.44	0.0005482223	290	1885	2779	22801	15	ergocalciferol	osteoporosis	0.2	1.22140275816017	0.06	0.001786605	-0.02	0	1.523636e-25	-0.4	0.07	1.149954e-08	8307218
16	menadiol sodium diphosphate	0	0	262.27	1	0	2	176511	8687826	16	menadiol sodium diphosphate	cystic fibrosis	0	0	5174.97	1	0	1	69	9960	16	menadiol sodium diphosphate	cystic fibrosis	8.4	46.3	0	0	Inf	1	0	0	26	3719	16	menadiol sodium diphosphate	cystic fibrosis	0	0	Inf	1	0	0	10	2059	16	menadiol sodium diphosphate	cystic fibrosis	0	0	Inf	1	0	0	20	2418	16	menadiol sodium diphosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	estrone	1.55	1	2.28	0.03601494	26	828	176485	8687000	17	estrone	hormone replacement therapy	2.78	1.18	5.64	0.01057114	8	175	656	39966	17	estrone	hormone replacement therapy	32.7	80.9	0	0	93.91	1	0	3	84	3227	17	estrone	hormone replacement therapy	0	0	Inf	1	0	0	5	1235	17	estrone	hormone replacement therapy	0	0	58.86	1	0	3	90	2167	17	estrone	hormone replacement therapy	-11.4	1.11954848425909e-05	509.62	0.9821537	0	0.01	0.6415137	-2.32	0.46	4.767863e-07	835008
18	diethylstilbestrol	1.14	0.23	3.42	0.7491006	3	129	176508	8687699	18	diethylstilbestrol	prostate cancer	0	0	2.77	0.6464713	0	53	1172	44970	18	diethylstilbestrol	prostate cancer	57.1	87.6	0	0	1151.1	1	0	1	415	12472	18	diethylstilbestrol	prostate cancer	0	0	1194.95	1	0	1	459	14330	18	diethylstilbestrol	prostate cancer	0	0	Inf	1	0	0	3	48	18	diethylstilbestrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	sulfadiazine	3.98	3.18	4.93	2.276629e-26	92	1138	176419	8686690	19	sulfadiazine	hiv infection	1.3	0.16	4.8	0.6698051	2	127	705	58057	19	sulfadiazine	hiv infection	31.4	64.3	0	0	56.54	1	0	5	132	6779	19	sulfadiazine	hiv infection	0	0	27.89	1	0	8	121	5695	19	sulfadiazine	hiv infection	0	0	315.84	1	0	3	27	3449	19	sulfadiazine	hiv infection	-11.45	1.06494746038243e-05	433.73	0.9789406	0.01	0.01	0.05219583	0.9	0.22	4.366318e-05	893038
20	sulfadiazine sodium	0	0	119.05	1	0	3	176511	8687825	20	sulfadiazine sodium	anaemia	0	0	1212.67	1	0	1	608	19269	20	sulfadiazine sodium	anaemia	21.8	80	0	0	Inf	1	0	0	107	3680	20	sulfadiazine sodium	anaemia	0	0	Inf	1	0	0	17	1855	20	sulfadiazine sodium	anaemia	0	0	972.52	1	0	1	106	2683	20	sulfadiazine sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	alcohol	0.45	0.36	0.55	3.066161e-18	90	9936	176421	8677892	21	alcohol	depression	0.57	0.28	1.02	0.06270897	11	828	4723	201594	21	alcohol	depression	29.8	76	0.84	0.02	5	1	1	37	896	27919	21	alcohol	depression	2.64	0.06	16.52	0.3255465	1	22	187	10874	21	alcohol	depression	0	0	3.46	0.6279979	0	35	811	25209	21	alcohol	depression	-0.32	0.726149037073691	1.01	0.7526827	0.01	0	3.775474e-05	-0.61	0.08	5.668523e-14	8371398
22	dextrose	0.12	0.1	0.13	0	169	71805	176342	8616023	22	dextrose	peritoneal dialysis	0.69	0.51	0.93	0.01250015	76	55696	122	61826	22	dextrose	peritoneal dialysis	30.7	79.1	0.43	0.13	2.22	0.154833	23	15337	3	851	22	dextrose	peritoneal dialysis	1	0.15	42.2	1	15	9486	1	633	22	dextrose	peritoneal dialysis	0.29	0.06	2.69	0.135885	12	8519	2	414	22	dextrose	peritoneal dialysis	-0.65	0.522045776761016	0.61	0.2902356	0	0.01	0.9115863	-0.01	0.37	0.9814523	8190828
23	estrogens	1.37	1.31	1.43	1.381496e-43	2229	80450	174282	8607378	23	estrogens	hormone replacement therapy	0.33	0.28	0.38	2.742945e-45	291	28294	373	11847	23	estrogens	hormone replacement therapy	32.7	80.9	1.42	0.81	2.4	0.1956061	20	582	64	2648	23	estrogens	hormone replacement therapy	0	0	Inf	1	0	0	5	1235	23	estrogens	hormone replacement therapy	0.73	0.42	1.22	0.2376385	21	639	69	1531	23	estrogens	hormone replacement therapy	-0.35	0.704688089718713	0.26	0.1755441	0.01	0.01	0.4743983	-2.41	0.46	2.161468e-07	835008
24	meperidine	2.89	2.59	3.2	1.502908e-66	376	6420	176135	8681408	24	meperidine	pain	1.78	1.4	2.24	4.962101e-06	79	1108	7546	188220	24	meperidine	pain	29.6	79.6	2.25	1.16	4	0.01060746	13	118	1698	34612	24	meperidine	pain	0.5	0.01	2.91	0.724338	1	60	504	15116	24	meperidine	pain	2.82	1.39	5.21	0.002389808	12	80	1383	25972	24	meperidine	pain	0.7	2.01375270747048	0.29	0.01673195	0	0	0.0007295456	-0.47	0.05	5.938646e-19	8431288
25	homatropine methylbromide	1.93	1.15	3.04	0.009388471	19	485	176492	8687343	25	homatropine methylbromide	cough	1.71	0.45	4.54	0.3057199	4	117	284	14186	25	homatropine methylbromide	cough	15.1	79.1	1.79	0.04	11.33	0.4404297	1	23	77	3174	25	homatropine methylbromide	cough	4.56	0.1	32.24	0.2136727	1	15	23	1578	25	homatropine methylbromide	cough	0	0	13.42	1	0	12	66	2405	25	homatropine methylbromide	cough	0.6	1.82211880039051	1.03	0.5599891	0	0	0.7958812	-0.6	0.24	0.01314742	841008
26	hydrocodone bitartrate	2.86	2.79	2.94	0	5794	101827	170717	8586001	26	hydrocodone bitartrate	pain	1.92	1.81	2.04	4.582122e-93	1460	20768	6165	168560	26	hydrocodone bitartrate	pain	29.6	79.6	1.07	0.92	1.24	0.3867059	202	3862	1509	30868	26	hydrocodone bitartrate	pain	1.35	1.02	1.77	0.02820706	65	1493	440	13683	26	hydrocodone bitartrate	pain	0.97	0.81	1.15	0.7583176	149	2865	1246	23187	26	hydrocodone bitartrate	pain	0.06	1.06183654654536	0.07	0.4362363	0	0	0.0006325921	-0.47	0.05	7.447695e-19	8431288
27	ethinyl estradiol	0.52	0.5	0.55	2.483805e-163	1455	135769	175056	8552059	27	ethinyl estradiol	contraception	1.56	1.4	1.74	4.33681e-16	615	51628	791	103601	27	ethinyl estradiol	contraception	18.7	45.4	1.34	0.89	1.94	0.1426348	34	3615	167	23718	27	ethinyl estradiol	contraception	0	0	132.33	1	0	5	1	16	27	ethinyl estradiol	contraception	1.22	0.83	1.76	0.2751153	35	4027	189	26593	27	ethinyl estradiol	contraception	0.19	1.20924959765725	0.18	0.3037182	0.04	0.01	9.312192e-08	1.87	1.04	0.07067035	8308668
28	iophendylate	0	0	34.16	1	0	7	176511	8687821	28	iophendylate	nuclear magnetic resonance imaging	0	0	76.94	1	0	2	496	7171	28	iophendylate	nuclear magnetic resonance imaging	29.3	61.7	0	0	Inf	1	0	0	19	446	28	iophendylate	nuclear magnetic resonance imaging	0	0	Inf	1	0	0	4	253	28	iophendylate	nuclear magnetic resonance imaging	0	0	Inf	1	0	0	19	542	28	iophendylate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	methamphetamine	0.59	0.4	0.83	0.001535637	32	2692	176479	8685136	29	methamphetamine	drug abuse	0	0	16.18	1	0	64	19	4710	29	methamphetamine	drug abuse	40.4	48.4	0	0	4020.56	1	0	1	2	219	29	methamphetamine	drug abuse	0	0	197.47	1	0	8	3	593	29	methamphetamine	drug abuse	0	0	4884.84	1	0	5	1	677	29	methamphetamine	drug abuse	-12.87	2.57412728433334e-06	1761.73	0.9941719	0.02	0.03	0.5389853	1.3	1.16	0.262794	812878
30	dicumarol	0	0	6.22	1	0	31	176511	8687797	30	dicumarol	pulmonary hypertension	0	0	68.52	1	0	7	430	42345	30	dicumarol	pulmonary hypertension	38	81.2	0	0	Inf	1	0	0	224	15534	30	dicumarol	pulmonary hypertension	0	0	Inf	1	0	0	58	4788	30	dicumarol	pulmonary hypertension	0	0	Inf	1	0	0	192	14338	30	dicumarol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	aminohippurate sodium	0	0	24.94	1	0	9	176511	8687819	31	aminohippurate sodium	renal transplant	0	0	474.2	1	0	2	239	21482	31	aminohippurate sodium	renal transplant	28.9	75	0	0	Inf	1	0	0	29	3185	31	aminohippurate sodium	renal transplant	0	0	Inf	1	0	0	23	2262	31	aminohippurate sodium	renal transplant	0	0	Inf	1	0	0	10	1504	31	aminohippurate sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	mannitol	0.27	0.16	0.42	3.083652e-12	18	3309	176493	8684519	32	mannitol	prophylaxis	0	0	0.58	0.003590763	0	330	1980	102520	32	mannitol	prophylaxis	21.8	81	0	0	2.32	0.4136081	0	93	420	24011	32	mannitol	prophylaxis	0	0	5.83	1	0	68	132	13610	32	mannitol	prophylaxis	0	0	4.3	1	0	38	338	14184	32	mannitol	prophylaxis	-12.39	4.15998121219741e-06	230.16	0.9570843	-0.01	0	0.006514541	-0.88	0.1	1.673432e-17	8283708
33	tubocurarine chloride	0	0	74.55	1	0	4	176511	8687824	33	tubocurarine chloride	anaesthesia	0	0	472.28	1	0	4	22	6638	33	tubocurarine chloride	anaesthesia	49.8	75.1	0	0	Inf	1	0	0	2	415	33	tubocurarine chloride	anaesthesia	0	0	Inf	1	0	0	0	388	33	tubocurarine chloride	anaesthesia	0	0	Inf	1	0	0	4	491	33	tubocurarine chloride	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	triple sulfa\>	0	0	14.84	1	0	14	176511	8687814	35	triple sulfa\>	antibacterial prophylaxis	0	0	5782.71	1	0	1	1	162	35	triple sulfa\>	antibacterial prophylaxis	NA	NA	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	antibacterial prophylaxis	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	antibacterial prophylaxis	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	sulfacetamide	1.71	1.01	2.73	0.02978689	18	518	176493	8687310	36	sulfacetamide	acne	0	0	1.02	0.05058851	0	66	1861	32853	36	sulfacetamide	acne	14	47.8	0	0	7.66	1	0	15	111	3006	36	sulfacetamide	acne	0	0	22.71	1	0	5	54	1100	36	sulfacetamide	acne	0	0	10.74	1	0	14	71	2473	36	sulfacetamide	acne	-13.18	1.88798582162818e-06	547.89	0.980815	0	0.01	0.6933457	0.52	0.19	0.005811511	837178
38	nitrofurazone	0	0	14.84	1	0	14	176511	8687814	38	nitrofurazone	pain	0	0	37.63	1	0	4	7625	189324	38	nitrofurazone	pain	29.6	79.6	0	0	Inf	1	0	0	1711	34730	38	nitrofurazone	pain	0	0	Inf	1	0	0	505	15176	38	nitrofurazone	pain	0	0	Inf	1	0	0	1395	26052	38	nitrofurazone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	diphenhydramine	2	1.93	2.08	3.698393e-237	2898	71859	173613	8615969	39	diphenhydramine	premedication	2.65	2.36	2.99	1.797846e-60	722	10018	479	17640	39	diphenhydramine	premedication	27.3	76	6.23	4.88	8.03	6.108043e-64	377	2063	85	2899	39	diphenhydramine	premedication	6.21	3.98	9.98	6.163544e-20	95	986	27	1741	39	diphenhydramine	premedication	5.24	4.02	6.91	3.489849e-44	322	1696	73	2017	39	diphenhydramine	premedication	1.74	5.69734342267199	0.12	9.051369e-52	0.01	0	2.205619e-07	-0.7	0.11	1.37509e-10	869578
40	trimethadione	0	0	5.16	1	0	37	176511	8687791	40	trimethadione	epilepsy	0	0	43.28	1	0	13	348	45705	40	trimethadione	epilepsy	19.6	70.4	0	0	420.67	1	0	2	64	4965	40	trimethadione	epilepsy	0	0	5317.81	1	0	1	24	3568	40	trimethadione	epilepsy	0	0	134.46	1	0	4	48	4188	40	trimethadione	epilepsy	-10.46	2.86602331662198e-05	646.56	0.987088	0.02	0.01	0.0001250265	-0.54	0.25	0.03032974	878338
41	folic acid	2.69	2.63	2.76	0	6933	129936	169578	8557892	41	folic acid	rheumatoid arthritis	1.11	1.07	1.15	6.106488e-09	3769	44937	29118	385963	41	folic acid	rheumatoid arthritis	36	77	1.36	1.27	1.44	8.608111e-20	1216	9232	9361	96331	41	folic acid	rheumatoid arthritis	1.29	1.12	1.48	0.0005033286	248	1946	2105	21272	41	folic acid	rheumatoid arthritis	1.4	1.31	1.49	1.083002e-21	1116	8646	8390	90823	41	folic acid	rheumatoid arthritis	0.32	1.37712776433596	0.03	1.488687e-25	0	0	0.7317531	0.06	0.02	0.01374241	81345468
42	tripelennamine	16.41	2.86	65.84	0.001517821	3	9	176508	8687819	42	tripelennamine	drug abuse	868.73	64.97	4.5036e+15	2.10812e-07	3	1	16	4773	42	tripelennamine	drug abuse	40.4	48.4	0	0	Inf	1	0	0	2	220	42	tripelennamine	drug abuse	0	0	Inf	1	0	0	3	601	42	tripelennamine	drug abuse	0	0	Inf	1	0	0	1	682	42	tripelennamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	tripelennamine citrate	0	0	1863.7	1	0	1	176511	8687827	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	NA	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	dihydroergotamine mesylate	1.68	1.16	2.37	0.004933927	34	995	176477	8686833	44	dihydroergotamine mesylate	migraine	1.84	0.78	3.73	0.09008025	8	173	1024	40827	44	dihydroergotamine mesylate	migraine	25.2	72	0	0	6.95	1	0	25	167	7230	44	dihydroergotamine mesylate	migraine	0	0	60.97	1	0	4	27	1050	44	dihydroergotamine mesylate	migraine	0	0	7.59	1	0	24	161	7281	44	dihydroergotamine mesylate	migraine	-11.71	8.21129428125349e-06	274.73	0.9660044	0.01	0	0.02463453	0.15	0.21	0.4722514	885478
45	protein hydrolysate	0	0	21.96	1	0	10	176511	8687818	45	protein hydrolysate	rheumatoid arthritis	0	0	69.7	1	0	2	32887	430898	45	protein hydrolysate	rheumatoid arthritis	36	77	0	0	Inf	1	0	0	10577	105563	45	protein hydrolysate	rheumatoid arthritis	0	0	Inf	1	0	0	2353	23218	45	protein hydrolysate	rheumatoid arthritis	0	0	Inf	1	0	0	9506	99469	45	protein hydrolysate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	dimercaprol	0	0	53.73	1	0	5	176511	8687823	46	dimercaprol	status epilepticus	0	0	4.5036e+15	1	0	1	1	1846	46	dimercaprol	status epilepticus	39	39	0	0	Inf	1	0	0	0	0	46	dimercaprol	status epilepticus	0	0	Inf	1	0	1	0	204	46	dimercaprol	status epilepticus	0	0	Inf	1	0	0	1	245	46	dimercaprol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	sulfacetamide sodium	2.05	1.34	3.01	0.0007783903	27	648	176484	8687180	47	sulfacetamide sodium	acne	0.32	0.01	1.83	0.3720003	1	56	1860	32863	47	sulfacetamide sodium	acne	14	47.8	0	0	8.28	1	0	14	111	3007	47	sulfacetamide sodium	acne	0	0	17.7	1	0	6	54	1099	47	sulfacetamide sodium	acne	0	0	12.82	1	0	12	71	2475	47	sulfacetamide sodium	acne	-13.21	1.83218740800198e-06	562.45	0.9812646	0	0.01	0.7007322	0.52	0.19	0.005593076	837178
48	sodium tetradecyl	0.51	0.01	2.93	1	1	96	176510	8687732	48	sodium tetradecyl	spider vein	Inf	0.03	Inf	0.4736842	1	17	0	20	48	sodium tetradecyl	spider vein	NA	NA	0	0	Inf	1	0	0	0	0	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	0	0	1	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	0	0	1	48	sodium tetradecyl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	chloroquine phosphate	2.21	1.51	3.13	7.377768e-05	33	735	176478	8687093	49	chloroquine phosphate	rheumatoid arthritis	1.07	0.68	1.63	0.7419922	24	293	32863	430607	49	chloroquine phosphate	rheumatoid arthritis	36	77	0.83	0.02	5.62	1	1	12	10576	105551	49	chloroquine phosphate	rheumatoid arthritis	0	0	52.56	1	0	2	2353	23216	49	chloroquine phosphate	rheumatoid arthritis	0.87	0.02	5.89	1	1	12	9505	99457	49	chloroquine phosphate	rheumatoid arthritis	-0.3	0.740818220681718	1.04	0.775151	0	0	0.5959966	0.06	0.02	0.01652448	81345468
50	chloroquine	4.62	3.92	5.41	1.512916e-54	168	1792	176343	8686036	50	chloroquine	rheumatoid arthritis	2.27	1.88	2.73	6.502706e-16	137	791	32750	430109	50	chloroquine	rheumatoid arthritis	36	77	2.8	1.87	4.11	1.123384e-06	35	125	10542	105438	50	chloroquine	rheumatoid arthritis	1.98	0.49	5.9	0.2728145	4	20	2349	23198	50	chloroquine	rheumatoid arthritis	2.4	1.58	3.54	5.785979e-05	32	140	9474	99329	50	chloroquine	rheumatoid arthritis	0.85	2.33964685192599	0.18	3.949214e-06	0	0	0.5574357	0.06	0.02	0.01525655	81345468
51	mephenytoin	0	0	5.82	1	0	33	176511	8687795	51	mephenytoin	epilepsy	0	0	36.75	1	0	15	348	45703	51	mephenytoin	epilepsy	19.6	70.4	0	0	Inf	1	0	0	64	4967	51	mephenytoin	epilepsy	0	0	Inf	1	0	0	24	3569	51	mephenytoin	epilepsy	0	0	3233.94	1	0	1	48	4191	51	mephenytoin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
