results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg
11	aminophylline	0	0	0.59	0.003940326	0	1704	32604	8830031	11	aminophylline	asthma	0	0	1.85	0.2758901	0	363	568	102487	11	aminophylline	asthma	7	65.8	0	0	31.55	1	0	26	69	13948	11	aminophylline	asthma	0	0	28.31	1	0	30	31	6344	11	aminophylline	asthma	0	0	60.61	1	0	21	49	14950	11	aminophylline	asthma	-12.14	5.34152160940495e-06	524.44	0.9815276	-0.04	0.01	1.693535e-14	0.12	0.24	0.625997	8214258
12	sulfur	1.11	0.13	4.03	0.7026534	2	488	32602	8831247	12	sulfur	acne	1.82	0.05	10.69	0.4278846	1	49	385	34345	12	sulfur	acne	15.6	49.1	0	0	78.2	1	0	7	27	2904	12	sulfur	acne	0	0	207.71	1	0	3	14	1142	12	sulfur	acne	0	0	136.41	1	0	6	17	2535	12	sulfur	acne	-11.8	7.50455791507686e-06	795.75	0.9881706	0	0.01	0.822717	0.62	0.37	0.09446602	837178
13	methyltestosterone	4.27	1.38	10.08	0.007215053	5	317	32599	8831418	13	methyltestosterone	hormone replacement therapy	12.43	1.45	48.11	0.01248086	2	54	121	40628	13	methyltestosterone	hormone replacement therapy	46.9	73.5	0	0	62.36	1	0	8	26	2632	13	methyltestosterone	hormone replacement therapy	0	0	231.76	1	0	4	9	1227	13	methyltestosterone	hormone replacement therapy	0	0	95.74	1	0	6	21	2233	13	methyltestosterone	hormone replacement therapy	-11.79	7.57997997601621e-06	757.75	0.9875858	-0.01	0.01	0.384677	-0.27	0.4	0.5057284	835008
14	vasopressin tannate	0	0	158.98	1	0	8	32604	8831727	14	vasopressin tannate	systemic candida	0	0	1068.02	1	0	4	2	711	14	vasopressin tannate	systemic candida	NA	NA	0	0	Inf	1	0	0	0	0	14	vasopressin tannate	systemic candida	0	0	Inf	1	0	0	0	60	14	vasopressin tannate	systemic candida	0	0	Inf	1	0	0	0	47	14	vasopressin tannate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	ergocalciferol	1.36	1.26	1.46	1.669555e-14	706	141562	31898	8690173	15	ergocalciferol	osteoporosis	2.05	1.57	2.66	4.042476e-07	72	16644	315	149457	15	ergocalciferol	osteoporosis	52.1	86.5	1.35	0.56	2.81	0.3962356	8	2111	69	24527	15	ergocalciferol	osteoporosis	0	0	64.01	1	0	228	2	2736	15	ergocalciferol	osteoporosis	1.57	0.72	3.06	0.2194466	10	2165	75	25505	15	ergocalciferol	osteoporosis	0.4	1.49182469764127	0.34	0.2324168	-0.02	0.01	0.01338081	-1.58	0.72	0.02693997	8307218
16	menadiol sodium diphosphate	0	0	1450.07	1	0	2	32604	8831733	16	menadiol sodium diphosphate	cystic fibrosis	0	0	16384	1	0	1	15	10014	16	menadiol sodium diphosphate	cystic fibrosis	10.6	57.2	0	0	Inf	1	0	0	3	3852	16	menadiol sodium diphosphate	cystic fibrosis	0	0	Inf	1	0	0	1	2068	16	menadiol sodium diphosphate	cystic fibrosis	0	0	Inf	1	0	0	4	2434	16	menadiol sodium diphosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	estrone	0.64	0.08	2.3	0.7762772	2	852	32602	8830883	17	estrone	hormone replacement therapy	1.82	0.05	10.48	0.4251776	1	182	122	40500	17	estrone	hormone replacement therapy	46.9	73.5	0	0	251.24	1	0	3	26	2637	17	estrone	hormone replacement therapy	0	0	Inf	1	0	0	9	1231	17	estrone	hormone replacement therapy	0	0	265.56	1	0	3	21	2236	17	estrone	hormone replacement therapy	-10.84	1.95996274414058e-05	839.76	0.9897011	-0.01	0.01	0.3849069	-0.27	0.4	0.5024412	835008
18	diethylstilbestrol	0	0	7.68	1	0	132	32604	8831603	18	diethylstilbestrol	prostate cancer	0	0	53.38	1	0	53	64	46078	18	diethylstilbestrol	prostate cancer	58.1	88.5	0	0	16384	1	0	1	20	12978	18	diethylstilbestrol	prostate cancer	0	0	16384	1	0	1	24	14765	18	diethylstilbestrol	prostate cancer	0	0	Inf	1	0	0	0	51	18	diethylstilbestrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	sulfadiazine	0	0	0.81	0.02820596	0	1230	32604	8830505	19	sulfadiazine	hiv infection	0	0	9.13	1	0	129	188	58574	19	sulfadiazine	hiv infection	14.8	58.7	0	0	143.1	1	0	8	32	7494	19	sulfadiazine	hiv infection	0	0	117.81	1	0	8	30	5786	19	sulfadiazine	hiv infection	0	0	1423.19	1	0	3	7	3469	19	sulfadiazine	hiv infection	-11.2	1.3674196065681e-05	713.15	0.9874736	-0.01	0.01	0.1825898	1.06	0.43	0.01330724	893038
20	sulfadiazine sodium	0	0	667.75	1	0	3	32604	8831732	20	sulfadiazine sodium	anaemia	0	0	12871.66	1	0	1	48	19829	20	sulfadiazine sodium	anaemia	10.4	70	0	0	Inf	1	0	0	8	2847	20	sulfadiazine sodium	anaemia	0	0	Inf	1	0	0	5	1867	20	sulfadiazine sodium	anaemia	0	0	14107.36	1	0	1	6	2783	20	sulfadiazine sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	alcohol	3.6	3	4.27	1.556539e-33	131	9895	32473	8821840	21	alcohol	depression	2.54	1.76	3.55	1.662827e-06	36	803	3584	202733	21	alcohol	depression	19	72.9	4.53	1.18	12.5	0.01483344	4	44	599	29841	21	alcohol	depression	11.42	2.8	34.82	0.0007496903	4	19	200	10861	21	alcohol	depression	0	0	6.08	1	0	35	469	25551	21	alcohol	depression	1.21	3.35348465254902	0.52	0.02032557	-0.02	0	5.301249e-20	-0.01	0.08	0.876716	8371398
22	dextrose	0.06	0.03	0.09	9.887866e-92	15	71959	32589	8759776	22	dextrose	peritoneal dialysis	2.22	0.6	10.08	0.2489631	8	55764	4	61944	22	dextrose	peritoneal dialysis	64	72.9	0	0	Inf	1	0	3746	0	220	22	dextrose	peritoneal dialysis	Inf	0.01	Inf	1	2	9499	0	634	22	dextrose	peritoneal dialysis	0	0	Inf	1	0	8531	0	416	22	dextrose	peritoneal dialysis	16.51	14797961.6071178	6120.66	0.9978478	0.04	0.05	0.5018458	16.91	2232.51	0.9939553	8190828
23	estrogens	1.07	0.95	1.19	0.2482712	324	82355	32280	8749380	23	estrogens	hormone replacement therapy	0.24	0.16	0.35	6.345407e-15	44	28541	79	12141	23	estrogens	hormone replacement therapy	46.9	73.5	1.68	0.59	4.21	0.3003708	7	474	19	2166	23	estrogens	hormone replacement therapy	0	0	Inf	1	0	0	9	1231	23	estrogens	hormone replacement therapy	1.5	0.54	3.92	0.3464437	8	652	13	1587	23	estrogens	hormone replacement therapy	0.48	1.61607440219289	0.46	0.2928782	-0.02	0.01	0.3020892	-0.11	0.44	0.7954302	835008
24	meperidine	1.6	1.15	2.19	0.004759214	40	6756	32564	8824979	24	meperidine	pain	1.44	0.78	2.43	0.1927877	14	1173	1608	194158	24	meperidine	pain	27	83	4.36	1.16	11.56	0.01545863	4	129	271	38110	24	meperidine	pain	0	0	8.32	1	0	61	118	15502	24	meperidine	pain	6.53	1.72	17.61	0.004090658	4	88	189	27166	24	meperidine	pain	1.26	3.52542148736538	0.51	0.01352653	-0.01	0	0.000880813	0.08	0.12	0.4985307	8431288
25	homatropine methylbromide	1.08	0.13	3.92	0.709536	2	502	32602	8831233	25	homatropine methylbromide	cough	0	0	9.26	1	0	121	50	14420	25	homatropine methylbromide	cough	4.7	75.1	0	0	55.28	1	0	22	12	3155	25	homatropine methylbromide	cough	0	0	48.62	1	0	16	10	1591	25	homatropine methylbromide	cough	0	0	337.08	1	0	12	4	2467	25	homatropine methylbromide	cough	-12.71	3.02076635148179e-06	1211.33	0.9916311	-0.02	0.01	0.03451507	1.29	0.59	0.02952659	841008
26	hydrocodone bitartrate	1.93	1.8	2.08	1.090087e-58	754	106867	31850	8724868	26	hydrocodone bitartrate	pain	1.56	1.36	1.78	4.06442e-10	267	21961	1355	173370	26	hydrocodone bitartrate	pain	27	83	1.02	0.68	1.49	0.9230029	31	4226	244	34013	26	hydrocodone bitartrate	pain	0.75	0.33	1.47	0.5350469	9	1549	109	14014	26	hydrocodone bitartrate	pain	1.15	0.72	1.78	0.488672	24	2990	169	24264	26	hydrocodone bitartrate	pain	0	1	0.18	0.9899418	-0.01	0	0.0007378707	0.08	0.12	0.4903954	8431288
27	ethinyl estradiol	1.09	1	1.18	0.0590401	547	136677	32057	8695058	27	ethinyl estradiol	contraception	2	1.66	2.41	1.114652e-13	235	52008	235	104157	27	ethinyl estradiol	contraception	17	44.9	3.54	2.17	5.66	4.035419e-07	29	3725	54	24545	27	ethinyl estradiol	contraception	0	0	Inf	1	0	5	0	17	27	ethinyl estradiol	contraception	3.81	2.43	5.87	6.566081e-09	35	4027	61	26721	27	ethinyl estradiol	contraception	1.34	3.81904350536634	0.21	3.398487e-10	0.02	0.01	0.1659431	-10.87	498.89	0.9826232	8308668
28	iophendylate	0	0	187.86	1	0	7	32604	8831728	28	iophendylate	nuclear magnetic resonance imaging	0	0	4577.09	1	0	2	10	7657	28	iophendylate	nuclear magnetic resonance imaging	34.8	60.5	0	0	Inf	1	0	0	4	390	28	iophendylate	nuclear magnetic resonance imaging	0	0	Inf	1	0	0	1	256	28	iophendylate	nuclear magnetic resonance imaging	0	0	Inf	1	0	0	5	556	28	iophendylate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	methamphetamine	1.9	1.14	2.98	0.009899975	19	2705	32585	8829030	29	methamphetamine	drug abuse	5.34	0.12	36.12	0.1828548	1	63	14	4715	29	methamphetamine	drug abuse	25.9	60.1	0	0	Inf	1	0	9	0	814	29	methamphetamine	drug abuse	0	0	Inf	1	0	8	0	596	29	methamphetamine	drug abuse	0	0	796.27	1	0	5	2	676	29	methamphetamine	drug abuse	-16.5	6.82560337633487e-08	19550.79	0.9993267	0	0.04	0.9347304	-17.71	3226.38	0.9956197	812878
30	dicumarol	0	0	34.23	1	0	31	32604	8831704	30	dicumarol	pulmonary hypertension	0	0	2003.63	1	0	7	16	42759	30	dicumarol	pulmonary hypertension	31.9	84.5	0	0	Inf	1	0	0	5	17206	30	dicumarol	pulmonary hypertension	0	0	Inf	1	0	0	3	4843	30	dicumarol	pulmonary hypertension	0	0	Inf	1	0	0	4	14526	30	dicumarol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	aminohippurate sodium	0	0	137.35	1	0	9	32604	8831726	31	aminohippurate sodium	renal transplant	0	0	4163.65	1	0	2	30	21691	31	aminohippurate sodium	renal transplant	50.8	69.4	0	0	Inf	1	0	0	4	1754	31	aminohippurate sodium	renal transplant	0	0	Inf	1	0	0	2	2283	31	aminohippurate sodium	renal transplant	0	0	Inf	1	0	0	4	1510	31	aminohippurate sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	mannitol	0.41	0.13	0.95	0.03126244	5	3322	32599	8828413	32	mannitol	prophylaxis	0	0	4.14	1	0	330	285	104215	32	mannitol	prophylaxis	26.7	79	0	0	14.14	1	0	91	69	22980	32	mannitol	prophylaxis	0	0	18.52	1	0	68	43	13699	32	mannitol	prophylaxis	0	0	44.37	1	0	38	35	14487	32	mannitol	prophylaxis	-11.73	8.04869976061602e-06	383.9	0.9756324	0	0.01	0.8426411	0.27	0.23	0.2461342	8283708
33	tubocurarine chloride	0	0	410.03	1	0	4	32604	8831731	33	tubocurarine chloride	anaesthesia	0	0	1322.76	1	0	4	8	6652	33	tubocurarine chloride	anaesthesia	47	47	0	0	Inf	1	0	0	0	0	33	tubocurarine chloride	anaesthesia	0	0	Inf	1	0	0	0	388	33	tubocurarine chloride	anaesthesia	0	0	Inf	1	0	0	1	494	33	tubocurarine chloride	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	triple sulfa\>	0	0	81.49	1	0	14	32604	8831721	35	triple sulfa\>	antibacterial prophylaxis	0	0	Inf	1	0	1	0	163	35	triple sulfa\>	antibacterial prophylaxis	NA	NA	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	antibacterial prophylaxis	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	antibacterial prophylaxis	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	sulfacetamide	1.01	0.12	3.68	0.7254543	2	534	32602	8831201	36	sulfacetamide	acne	1.37	0.03	7.96	0.5215856	1	65	385	34329	36	sulfacetamide	acne	15.6	49.1	0	0	37.28	1	0	13	27	2898	36	sulfacetamide	acne	0	0	96.23	1	0	5	14	1140	36	sulfacetamide	acne	0	0	49.16	1	0	14	17	2527	36	sulfacetamide	acne	-12.75	2.9023204086504e-06	903.64	0.9887381	0	0.01	0.8221855	0.62	0.37	0.09515381	837178
38	nitrofurazone	0	0	81.49	1	0	14	32604	8831721	38	nitrofurazone	pain	0	0	182.97	1	0	4	1622	195327	38	nitrofurazone	pain	27	83	0	0	Inf	1	0	0	275	38239	38	nitrofurazone	pain	0	0	Inf	1	0	0	118	15563	38	nitrofurazone	pain	0	0	Inf	1	0	0	193	27254	38	nitrofurazone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	diphenhydramine	1.13	1.01	1.27	0.03117332	311	74446	32293	8757289	39	diphenhydramine	premedication	0.96	0.49	1.85	1	16	10724	28	18091	39	diphenhydramine	premedication	18.8	71.1	0.15	0	1.1	0.04498247	1	2374	8	2806	39	diphenhydramine	premedication	0.33	0.01	2.92	0.4181234	1	1080	5	1763	39	diphenhydramine	premedication	0.26	0.01	2.62	0.3750798	1	2017	4	2086	39	diphenhydramine	premedication	-1.25	0.28650479686019	0.79	0.1132672	0	0.01	0.8684476	0.43	0.61	0.4775079	869578
40	trimethadione	7.52	0.19	44.68	0.1274551	1	36	32603	8831699	40	trimethadione	epilepsy	0	0	28.06	1	0	13	534	45519	40	trimethadione	epilepsy	9.6	83	0	0	247.17	1	0	3	64	6498	40	trimethadione	epilepsy	0	0	4188.05	1	0	1	31	3561	40	trimethadione	epilepsy	0	0	150.36	1	0	4	43	4193	40	trimethadione	epilepsy	-9.86	5.22223496757448e-05	394.58	0.9800653	0	0	0.4283896	-0.16	0.24	0.4879418	878338
41	folic acid	0.68	0.61	0.75	2.55985e-14	343	136526	32261	8695209	41	folic acid	rheumatoid arthritis	0.95	0.68	1.29	0.8173491	45	48661	405	414676	41	folic acid	rheumatoid arthritis	38	77.7	0.69	0.29	1.41	0.4319745	8	10395	117	104978	41	folic acid	rheumatoid arthritis	0.48	0.01	3	0.7167575	1	2193	22	23355	41	folic acid	rheumatoid arthritis	0.73	0.31	1.48	0.520274	8	9754	112	99101	41	folic acid	rheumatoid arthritis	-0.36	0.697676326071031	0.34	0.2941715	-0.01	0.01	0.01329229	-0.18	0.23	0.4395051	81345468
42	tripelennamine	0	0	97.59	1	0	12	32604	8831723	42	tripelennamine	drug abuse	0	0	506.05	1	0	4	15	4774	42	tripelennamine	drug abuse	25.9	60.1	0	0	Inf	1	0	0	0	823	42	tripelennamine	drug abuse	0	0	Inf	1	0	0	0	604	42	tripelennamine	drug abuse	0	0	Inf	1	0	0	2	681	42	tripelennamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	tripelennamine citrate	0	0	9067.65	1	0	1	32604	8831734	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	NA	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	dihydroergotamine mesylate	2.39	1.09	4.56	0.01543081	9	1020	32595	8830715	44	dihydroergotamine mesylate	migraine	1.28	0.15	4.74	0.6716335	2	179	361	41490	44	dihydroergotamine mesylate	migraine	24	62.8	0	0	16.8	1	0	23	69	6506	44	dihydroergotamine mesylate	migraine	0	0	818.93	1	0	4	3	1074	44	dihydroergotamine mesylate	migraine	0	0	16.92	1	0	24	74	7368	44	dihydroergotamine mesylate	migraine	-11.85	7.13855630669085e-06	450.35	0.978999	0	0.01	0.6847427	-1.28	0.59	0.02979604	885478
45	protein hydrolysate	0	0	120.69	1	0	10	32604	8831725	45	protein hydrolysate	rheumatoid arthritis	0	0	6082.73	1	0	2	450	463335	45	protein hydrolysate	rheumatoid arthritis	38	77.7	0	0	Inf	1	0	0	125	115373	45	protein hydrolysate	rheumatoid arthritis	0	0	Inf	1	0	0	23	25548	45	protein hydrolysate	rheumatoid arthritis	0	0	Inf	1	0	0	120	108855	45	protein hydrolysate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	dimercaprol	0	0	295.22	1	0	5	32604	8831730	46	dimercaprol	status epilepticus	0	0	6446.3	1	0	1	10	1837	46	dimercaprol	status epilepticus	24.5	76.7	0	0	8313.89	1	0	1	1	244	46	dimercaprol	status epilepticus	0	0	3727.98	1	0	1	2	202	46	dimercaprol	status epilepticus	0	0	Inf	1	0	0	1	245	46	dimercaprol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	sulfacetamide sodium	0.8	0.1	2.92	1	2	673	32602	8831062	47	sulfacetamide sodium	acne	1.59	0.04	9.3	0.470942	1	56	385	34338	47	sulfacetamide sodium	acne	15.6	49.1	0	0	37.28	1	0	13	27	2898	47	sulfacetamide sodium	acne	0	0	75.43	1	0	6	14	1139	47	sulfacetamide sodium	acne	0	0	58.58	1	0	12	17	2529	47	sulfacetamide sodium	acne	-12.81	2.73330242596469e-06	928.33	0.988992	0	0.01	0.8185725	0.62	0.37	0.09404375	837178
48	sodium tetradecyl	0	0	10.5	1	0	97	32604	8831638	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	18	0	20	48	sodium tetradecyl	spider vein	NA	NA	0	0	Inf	1	0	0	0	0	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	0	0	1	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	0	0	1	48	sodium tetradecyl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	chloroquine phosphate	1.42	0.39	3.65	0.3725139	4	764	32600	8830971	49	chloroquine phosphate	rheumatoid arthritis	3.26	0.08	18.41	0.2649603	1	316	449	463021	49	chloroquine phosphate	rheumatoid arthritis	38	77.7	0	0	304.6	1	0	13	125	115360	49	chloroquine phosphate	rheumatoid arthritis	0	0	6592.23	1	0	2	23	25546	49	chloroquine phosphate	rheumatoid arthritis	0	0	299.55	1	0	13	120	108842	49	chloroquine phosphate	rheumatoid arthritis	-8.86	0.000141955064163011	374.98	0.9811576	-0.01	0.01	0.01250317	-0.17	0.23	0.443618	81345468
50	chloroquine	1.39	0.67	2.56	0.2620653	10	1950	32594	8829785	50	chloroquine	rheumatoid arthritis	4.49	1.22	11.61	0.01332519	4	924	446	462413	50	chloroquine	rheumatoid arthritis	38	77.7	0	0	23.93	1	0	146	125	115227	50	chloroquine	rheumatoid arthritis	0	0	198.03	1	0	24	23	25524	50	chloroquine	rheumatoid arthritis	0	0	19.94	1	0	172	120	108683	50	chloroquine	rheumatoid arthritis	-10.79	2.06045218288883e-05	281.7	0.9694381	-0.01	0.01	0.01232516	-0.18	0.23	0.4419722	81345468
51	mephenytoin	8.47	0.21	50.73	0.1144989	1	32	32603	8831703	51	mephenytoin	epilepsy	6.1	0.14	40.27	0.1604786	1	14	533	45518	51	mephenytoin	epilepsy	9.6	83	0	0	3730.68	1	0	1	64	6500	51	mephenytoin	epilepsy	0	0	Inf	1	0	0	31	3562	51	mephenytoin	epilepsy	0	0	3592.94	1	0	1	43	4196	51	mephenytoin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	ferrous	0.86	0.71	1.02	0.09219785	122	38605	32482	8793130	52	ferrous	hypertension	0.49	0.18	1.08	0.08117889	6	3294	1180	320028	52	ferrous	hypertension	42	82.9	0	0	1.14	0.08276207	0	839	237	61082	52	ferrous	hypertension	0	0	2.92	0.6414999	0	399	102	31479	52	ferrous	hypertension	0	0	1.46	0.1874701	0	615	166	39911	52	ferrous	hypertension	-12.98	2.30599108990395e-06	203.66	0.9491991	-0.02	0	3.07495e-06	-0.27	0.13	0.03530076	8726728
