results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg
11	aminophylline	1.06	0.74	1.47	0.7289627	36	1668	177513	8685122	11	aminophylline	asthma	0.84	0.38	1.61	0.7549609	9	354	3035	100020	11	aminophylline	asthma	9	76	3.34	0.86	9.31	0.03896597	4	39	536	17477	11	aminophylline	asthma	6.7	1.68	19.67	0.004587907	4	26	143	6232	11	aminophylline	asthma	0	0	6.12	1	0	21	458	14541	11	aminophylline	asthma	1.13	3.09565650012471	0.53	0.03266531	-0.02	0	1.26712e-26	-0.41	0.1	2.2958e-05	8214258
12	sulfur	1.55	0.86	2.57	0.1038459	15	475	177534	8686315	12	sulfur	acne	0.6	0.16	1.65	0.3999005	4	46	4372	30358	12	sulfur	acne	14.8	44.4	0	0	11.39	1	0	7	173	2817	12	sulfur	acne	0	0	100.33	1	0	3	28	1128	12	sulfur	acne	0	0	12.47	1	0	6	164	2388	12	sulfur	acne	-12.62	3.3052448588734e-06	479.02	0.978985	0	0.01	0.6627838	-1.03	0.21	9.131392e-07	837178
13	methyltestosterone	3.07	1.82	4.88	3.589195e-05	19	303	177530	8686487	13	methyltestosterone	hormone replacement therapy	1.58	0.19	6	0.3689249	2	54	934	39815	13	methyltestosterone	hormone replacement therapy	34.3	74	0	0	19.59	1	0	8	91	2998	13	methyltestosterone	hormone replacement therapy	0	0	38.29	1	0	4	48	1188	13	methyltestosterone	hormone replacement therapy	0	0	34.07	1	0	6	56	2198	13	methyltestosterone	hormone replacement therapy	-12.08	5.67182285902797e-06	454.51	0.978794	-0.03	0.01	0.00048234	0.43	0.2	0.03217088	835008
14	vasopressin tannate	0	0	28.67	1	0	8	177549	8686782	14	vasopressin tannate	systemic candida	0	0	Inf	1	0	4	0	713	14	vasopressin tannate	systemic candida	NA	NA	0	0	Inf	1	0	0	0	0	14	vasopressin tannate	systemic candida	0	0	Inf	1	0	0	0	60	14	vasopressin tannate	systemic candida	0	0	Inf	1	0	0	0	47	14	vasopressin tannate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	ergocalciferol	1.77	1.72	1.82	1.957603e-279	4908	137360	172641	8549430	15	ergocalciferol	osteoporosis	1.32	1.24	1.41	2.556204e-16	1116	15600	7686	142086	15	ergocalciferol	osteoporosis	53.1	85	1.09	0.83	1.39	0.5112518	70	1975	738	22593	15	ergocalciferol	osteoporosis	2.34	0.69	6.27	0.08454089	5	223	26	2712	15	ergocalciferol	osteoporosis	1.17	0.91	1.48	0.19932	78	2097	790	24790	15	ergocalciferol	osteoporosis	0.17	1.18530485132037	0.12	0.1448358	-0.01	0	6.438623e-06	-1.15	0.18	4.245781e-10	8307218
16	menadiol sodium diphosphate	0	0	260.7	1	0	2	177549	8686788	16	menadiol sodium diphosphate	cystic fibrosis	0	0	6166.28	1	0	1	57	9972	16	menadiol sodium diphosphate	cystic fibrosis	14.3	57.2	0	0	Inf	1	0	0	18	3379	16	menadiol sodium diphosphate	cystic fibrosis	0	0	Inf	1	0	0	7	2062	16	menadiol sodium diphosphate	cystic fibrosis	0	0	Inf	1	0	0	13	2425	16	menadiol sodium diphosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	estrone	1.35	0.85	2.05	0.142861	23	831	177526	8685959	17	estrone	hormone replacement therapy	0.23	0.01	1.32	0.1364948	1	182	935	39687	17	estrone	hormone replacement therapy	34.3	74	0	0	80.56	1	0	3	91	3003	17	estrone	hormone replacement therapy	0	0	Inf	1	0	0	48	1192	17	estrone	hormone replacement therapy	0	0	96.53	1	0	3	56	2201	17	estrone	hormone replacement therapy	-10.75	2.14454083165892e-05	508.08	0.9831177	-0.03	0.01	0.0004874234	0.43	0.2	0.03314151	835008
18	diethylstilbestrol	2.74	1.08	5.82	0.01747801	7	125	177542	8686665	18	diethylstilbestrol	prostate cancer	8.48	2.21	23.29	0.001699658	4	49	440	45702	18	diethylstilbestrol	prostate cancer	56.9	87.4	0	0	4547.83	1	0	1	102	12803	18	diethylstilbestrol	prostate cancer	0	0	4655.58	1	0	1	114	14675	18	diethylstilbestrol	prostate cancer	0	0	Inf	1	0	0	0	51	18	diethylstilbestrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	sulfadiazine	3.4	2.68	4.27	2.343638e-19	80	1150	177469	8685640	19	sulfadiazine	hiv infection	0	0	3.39	0.6319086	0	129	500	58262	19	sulfadiazine	hiv infection	25	64	0	0	44.62	1	0	7	120	7634	19	sulfadiazine	hiv infection	0	0	35.4	1	0	8	96	5720	19	sulfadiazine	hiv infection	0	0	210.88	1	0	3	40	3436	19	sulfadiazine	hiv infection	-11.4	1.11954848425909e-05	438.11	0.979247	0	0.01	0.8008873	0.38	0.2	0.05347652	893038
20	sulfadiazine sodium	0	0	118.34	1	0	3	177549	8686787	20	sulfadiazine sodium	anaemia	0	0	1577.65	1	0	1	468	19409	20	sulfadiazine sodium	anaemia	22.2	83.9	0	0	Inf	1	0	0	57	4050	20	sulfadiazine sodium	anaemia	0	0	Inf	1	0	0	6	1866	20	sulfadiazine sodium	anaemia	0	0	1755.74	1	0	1	59	2730	20	sulfadiazine sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	alcohol	1.96	1.76	2.17	1.51696e-31	385	9641	177164	8677149	21	alcohol	depression	1.76	1.41	2.18	1.106066e-06	97	742	14274	192043	21	alcohol	depression	21	73.3	3.65	1.54	7.78	0.00204784	9	34	2053	28308	21	alcohol	depression	4.58	1.33	12.86	0.008744745	5	18	632	10429	21	alcohol	depression	4.34	1.7	9.84	0.001392072	8	27	1663	24357	21	alcohol	depression	1.36	3.89619330179521	0.32	1.943814e-05	-0.01	0	6.461315e-33	-0.14	0.05	0.003461657	8371398
22	dextrose	0.13	0.12	0.15	0	199	71775	177350	8615015	22	dextrose	peritoneal dialysis	0.56	0.38	0.82	0.001852415	43	55729	85	61863	22	dextrose	peritoneal dialysis	29.7	77.4	0.33	0.07	3.05	0.1645919	12	14922	2	823	22	dextrose	peritoneal dialysis	0.23	0.04	2.3	0.1050091	7	9494	2	632	22	dextrose	peritoneal dialysis	0.29	0.04	13.47	0.2835138	6	8525	1	415	22	dextrose	peritoneal dialysis	-1.39	0.249075304631668	0.64	0.0299427	-0.02	0.01	0.2672521	0.13	0.51	0.7992913	8190828
23	estrogens	2.01	1.94	2.09	8.850684e-269	3240	79439	174309	8607351	23	estrogens	hormone replacement therapy	0.48	0.42	0.55	3.11447e-27	500	28085	436	11784	23	estrogens	hormone replacement therapy	34.3	74	0.52	0.23	1.05	0.06623702	9	521	82	2485	23	estrogens	hormone replacement therapy	0	0	Inf	1	0	0	48	1192	23	estrogens	hormone replacement therapy	1.06	0.56	1.93	0.8818726	17	643	39	1561	23	estrogens	hormone replacement therapy	0.19	1.20924959765725	0.3	0.5140619	-0.03	0.01	0.0003751571	0.48	0.22	0.02777772	835008
24	meperidine	6.41	5.95	6.91	0	785	6011	176764	8680779	24	meperidine	pain	3.75	3.16	4.42	7.560716e-42	169	1018	8300	187466	24	meperidine	pain	23	79	1.98	0.84	4.04	0.07280204	8	134	1080	35883	24	meperidine	pain	3.8	1.18	9.47	0.01348496	5	56	359	15261	24	meperidine	pain	2.57	1	5.55	0.02510773	7	85	850	26505	24	meperidine	pain	1	2.71828182845905	0.3	0.001052817	-0.02	0	2.379034e-37	-0.28	0.06	7.714756e-06	8431288
25	homatropine methylbromide	2.99	1.98	4.35	6.429275e-07	29	475	177520	8686315	25	homatropine methylbromide	cough	2.7	1.13	5.56	0.01342081	8	113	370	14100	25	homatropine methylbromide	cough	13.7	78	3.47	0.39	14.52	0.1270894	2	22	81	3096	25	homatropine methylbromide	cough	0	0	17.44	1	0	16	25	1576	25	homatropine methylbromide	cough	7.16	0.75	34.59	0.04197081	2	10	67	2404	25	homatropine methylbromide	cough	1.48	4.39294568091876	0.75	0.04789403	-0.01	0	0.000551418	-0.65	0.24	0.006326394	841008
26	hydrocodone bitartrate	4.37	4.27	4.47	0	8517	99104	169032	8587686	26	hydrocodone bitartrate	pain	2.63	2.5	2.78	3.439749e-250	2034	20194	6435	168290	26	hydrocodone bitartrate	pain	23	79	1.66	1.4	1.95	5.462351e-09	186	3981	902	32036	26	hydrocodone bitartrate	pain	1.09	0.76	1.53	0.5948874	39	1519	325	13798	26	hydrocodone bitartrate	pain	1.97	1.65	2.35	1.01676e-12	164	2850	693	23740	26	hydrocodone bitartrate	pain	0.54	1.71600686218486	0.08	9.594236e-12	-0.02	0	8.448058e-38	-0.27	0.06	1.627828e-05	8431288
27	ethinyl estradiol	7.04	6.92	7.16	0	16080	121144	161469	8565646	27	ethinyl estradiol	contraception	3.37	3.22	3.54	0	4897	47346	3104	101288	27	ethinyl estradiol	contraception	19	43	1.14	0.99	1.31	0.06540463	253	3170	1462	20911	27	ethinyl estradiol	contraception	0	0	Inf	1	0	5	0	17	27	ethinyl estradiol	contraception	1.22	1.07	1.39	0.00252583	300	3762	1639	25143	27	ethinyl estradiol	contraception	0.2	1.22140275816017	0.07	0.00198753	0	0	0.9494265	-10.88	114.08	0.9240014	8308668
28	iophendylate	8.15	0.18	67.33	0.1320579	1	6	177548	8686784	28	iophendylate	nuclear magnetic resonance imaging	0	0	30.33	1	0	2	1146	6521	28	iophendylate	nuclear magnetic resonance imaging	26.3	65.4	0	0	Inf	1	0	0	10	534	28	iophendylate	nuclear magnetic resonance imaging	0	0	Inf	1	0	0	3	254	28	iophendylate	nuclear magnetic resonance imaging	0	0	Inf	1	0	0	9	552	28	iophendylate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	methamphetamine	1.85	1.49	2.26	4.842649e-08	99	2625	177450	8684165	29	methamphetamine	drug abuse	1.26	0.03	7.53	0.5558554	1	63	59	4670	29	methamphetamine	drug abuse	21	60.4	0	0	27.09	1	0	9	19	942	29	methamphetamine	drug abuse	0	0	21.68	1	0	8	17	579	29	methamphetamine	drug abuse	0	0	105.62	1	0	5	8	670	29	methamphetamine	drug abuse	-13.78	1.03614858769009e-06	1087.54	0.9898894	-0.01	0.01	0.5572562	0.87	0.43	0.04453978	812878
30	dicumarol	0	0	6.18	1	0	31	177549	8686759	30	dicumarol	pulmonary hypertension	0	0	108.8	1	0	7	273	42502	30	dicumarol	pulmonary hypertension	23.5	83	0	0	Inf	1	0	0	140	17188	30	dicumarol	pulmonary hypertension	0	0	Inf	1	0	0	21	4825	30	dicumarol	pulmonary hypertension	0	0	Inf	1	0	0	135	14395	30	dicumarol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	aminohippurate sodium	0	0	24.79	1	0	9	177549	8686781	31	aminohippurate sodium	renal transplant	0	0	1383.52	1	0	2	84	21637	31	aminohippurate sodium	renal transplant	34	58.8	0	0	Inf	1	0	0	9	1675	31	aminohippurate sodium	renal transplant	0	0	Inf	1	0	0	4	2281	31	aminohippurate sodium	renal transplant	0	0	Inf	1	0	0	8	1506	31	aminohippurate sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	mannitol	14.82	13.65	16.08	0	771	2556	176778	8684234	32	mannitol	prophylaxis	2.02	0.86	4.04	0.06861627	8	322	1271	103229	32	mannitol	prophylaxis	23.9	79.7	1.24	0.03	7.18	0.555891	1	92	206	23568	32	mannitol	prophylaxis	2.52	0.06	14.91	0.3336615	1	67	81	13661	32	mannitol	prophylaxis	0	0	10.02	1	0	38	148	14374	32	mannitol	prophylaxis	0.17	1.18530485132037	1.01	0.8673681	-0.01	0	0.02578153	-0.52	0.14	0.0001615203	8283708
33	tubocurarine chloride	0	0	74.11	1	0	4	177549	8686786	33	tubocurarine chloride	anaesthesia	0	0	169.9	1	0	4	60	6600	33	tubocurarine chloride	anaesthesia	23	71.2	0	0	Inf	1	0	0	9	569	33	tubocurarine chloride	anaesthesia	0	0	Inf	1	0	0	1	387	33	tubocurarine chloride	anaesthesia	0	0	Inf	1	0	0	10	485	33	tubocurarine chloride	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	triple sulfa\>	0	0	14.75	1	0	14	177549	8686776	35	triple sulfa\>	antibacterial prophylaxis	0	0	664.7	1	0	1	9	154	35	triple sulfa\>	antibacterial prophylaxis	NA	NA	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	antibacterial prophylaxis	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	antibacterial prophylaxis	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	sulfacetamide	3.73	2.61	5.2	4.197573e-11	38	498	177511	8686292	36	sulfacetamide	acne	0.69	0.24	1.6	0.5751725	6	60	4370	30344	36	sulfacetamide	acne	14.8	44.4	2.53	0.27	11.3	0.2132742	2	13	171	2811	36	sulfacetamide	acne	0	0	45.68	1	0	5	28	1126	36	sulfacetamide	acne	2.45	0.26	11.14	0.2250455	2	12	162	2382	36	sulfacetamide	acne	0.75	2.11700001661267	0.76	0.320269	0	0.01	0.6463822	-1.03	0.21	9.175298e-07	837178
38	nitrofurazone	0	0	14.75	1	0	14	177549	8686776	38	nitrofurazone	pain	0	0	33.72	1	0	4	8469	188480	38	nitrofurazone	pain	23	79	0	0	Inf	1	0	0	1088	36017	38	nitrofurazone	pain	0	0	Inf	1	0	0	364	15317	38	nitrofurazone	pain	0	0	Inf	1	0	0	857	26590	38	nitrofurazone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	diphenhydramine	2.13	2.05	2.21	2.115168e-294	3092	71665	174457	8615125	39	diphenhydramine	premedication	1.6	1.34	1.92	2.379639e-07	241	10499	256	17863	39	diphenhydramine	premedication	13.8	73.2	2.85	1.97	4.2	3.725081e-09	100	2515	43	3086	39	diphenhydramine	premedication	2.21	1.14	4.34	0.01517607	24	1057	18	1750	39	diphenhydramine	premedication	2.96	1.93	4.64	8.511451e-08	86	1932	31	2059	39	diphenhydramine	premedication	0.99	2.69123447234926	0.17	1.465716e-08	0	0	0.5432758	-0.57	0.18	0.001790895	869578
40	trimethadione	7.65	2.33	19.76	0.000823447	5	32	177544	8686758	40	trimethadione	epilepsy	0	0	23.34	1	0	13	640	45413	40	trimethadione	epilepsy	13.6	68.1	0	0	148.78	1	0	3	87	5311	40	trimethadione	epilepsy	0	0	3209.35	1	0	1	41	3551	40	trimethadione	epilepsy	0	0	114.88	1	0	4	56	4180	40	trimethadione	epilepsy	-10.17	3.83023234165555e-05	394.65	0.979448	0	0	0.5748223	-0.15	0.21	0.4718681	878338
41	folic acid	0.98	0.94	1.02	0.3027592	2688	134181	174861	8552609	41	folic acid	rheumatoid arthritis	1.45	1.32	1.6	2.683496e-13	495	48211	2915	412166	41	folic acid	rheumatoid arthritis	33	75	1.7	1.42	2.03	1.497516e-08	151	10127	909	103811	41	folic acid	rheumatoid arthritis	1.57	0.96	2.44	0.05954949	23	2171	157	23220	41	folic acid	rheumatoid arthritis	1.7	1.41	2.03	3.559973e-08	144	9618	867	98346	41	folic acid	rheumatoid arthritis	0.53	1.69893230861855	0.08	3.498698e-10	-0.01	0	7.17921e-07	-0.26	0.08	0.00162237	81345468
42	tripelennamine	0	0	17.61	1	0	12	177549	8686778	42	tripelennamine	drug abuse	0	0	121.11	1	0	4	60	4729	42	tripelennamine	drug abuse	21	60.4	0	0	Inf	1	0	0	19	951	42	tripelennamine	drug abuse	0	0	Inf	1	0	0	17	587	42	tripelennamine	drug abuse	0	0	Inf	1	0	0	8	675	42	tripelennamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	tripelennamine citrate	0	0	1852.91	1	0	1	177549	8686789	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	NA	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	dihydroergotamine mesylate	1.32	0.86	1.93	0.1481215	27	1002	177522	8685788	44	dihydroergotamine mesylate	migraine	0.77	0.28	1.72	0.7106101	6	175	1781	40070	44	dihydroergotamine mesylate	migraine	20.7	70.1	1.16	0.03	7.14	0.5883369	1	24	266	7376	44	dihydroergotamine mesylate	migraine	0	0	51.02	1	0	4	32	1045	44	dihydroergotamine mesylate	migraine	1.18	0.03	7.34	0.580508	1	23	264	7178	44	dihydroergotamine mesylate	migraine	-0.04	0.960789439152323	1.02	0.9666824	-0.02	0	3.455144e-05	-0.21	0.19	0.2743429	885478
45	protein hydrolysate	0	0	21.83	1	0	10	177549	8686780	45	protein hydrolysate	rheumatoid arthritis	0	0	710.39	1	0	2	3410	460375	45	protein hydrolysate	rheumatoid arthritis	33	75	0	0	Inf	1	0	0	1060	113938	45	protein hydrolysate	rheumatoid arthritis	0	0	Inf	1	0	0	180	25391	45	protein hydrolysate	rheumatoid arthritis	0	0	Inf	1	0	0	1011	107964	45	protein hydrolysate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	dimercaprol	0	0	53.4	1	0	5	177549	8686785	46	dimercaprol	status epilepticus	0	0	11738.85	1	0	1	5	1842	46	dimercaprol	status epilepticus	73.8	73.8	0	0	Inf	1	0	0	0	0	46	dimercaprol	status epilepticus	0	0	Inf	1	0	1	0	204	46	dimercaprol	status epilepticus	0	0	Inf	1	0	0	1	245	46	dimercaprol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	sulfacetamide sodium	3.66	2.66	4.93	4.419885e-13	47	628	177502	8686162	47	sulfacetamide sodium	acne	0.52	0.14	1.42	0.3136952	4	53	4372	30351	47	sulfacetamide sodium	acne	14.8	44.4	2.99	0.32	13.86	0.170455	2	11	171	2813	47	sulfacetamide sodium	acne	0	0	35.69	1	0	6	28	1125	47	sulfacetamide sodium	acne	2.94	0.31	13.97	0.1770408	2	10	162	2384	47	sulfacetamide sodium	acne	0.89	2.43512965128987	0.76	0.2444188	0	0.01	0.6250223	-1.04	0.21	8.586693e-07	837178
48	sodium tetradecyl	0	0	1.9	0.2713209	0	97	177549	8686693	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	18	0	20	48	sodium tetradecyl	spider vein	NA	NA	0	0	Inf	1	0	0	0	0	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	0	0	1	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	0	0	1	48	sodium tetradecyl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	chloroquine phosphate	0.71	0.35	1.28	0.3029483	11	757	177538	8686033	49	chloroquine phosphate	rheumatoid arthritis	1.73	0.47	4.47	0.302689	4	313	3406	460064	49	chloroquine phosphate	rheumatoid arthritis	33	75	8.96	0.21	60.79	0.1134255	1	12	1059	113926	49	chloroquine phosphate	rheumatoid arthritis	0	0	737.25	1	0	2	180	25389	49	chloroquine phosphate	rheumatoid arthritis	8.91	0.21	60.2	0.1141213	1	12	1010	107952	49	chloroquine phosphate	rheumatoid arthritis	1.98	7.24274298516101	1.04	0.05630778	-0.01	0	1.429093e-06	-0.26	0.08	0.001429752	81345468
50	chloroquine	0.76	0.51	1.09	0.1463997	30	1930	177519	8684860	50	chloroquine	rheumatoid arthritis	2.22	1.24	3.69	0.005426541	15	913	3395	459464	50	chloroquine	rheumatoid arthritis	33	75	1.34	0.16	4.92	0.6646934	2	161	1058	113777	50	chloroquine	rheumatoid arthritis	0	0	23.62	1	0	24	180	25367	50	chloroquine	rheumatoid arthritis	1.9	0.39	5.66	0.2149578	3	169	1008	107795	50	chloroquine	rheumatoid arthritis	0.49	1.63231621995538	0.58	0.3959298	-0.01	0	1.393113e-06	-0.26	0.08	0.00144442	81345468
51	mephenytoin	0	0	5.79	1	0	33	177549	8686757	51	mephenytoin	epilepsy	0	0	19.83	1	0	15	640	45411	51	mephenytoin	epilepsy	13.6	68.1	0	0	2296.69	1	0	1	87	5313	51	mephenytoin	epilepsy	0	0	Inf	1	0	0	41	3552	51	mephenytoin	epilepsy	0	0	2787.01	1	0	1	56	4183	51	mephenytoin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
