results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg	count	count_change	count_label
563	arginine	1.32	0.86	1.94	0.1718188	26	1428	120437	8742448	563	arginine	hypertension	1.78	0.84	3.33	0.08507454	10	234	7613	316651	563	arginine	hypertension	46	86.8	0	0	2.06	0.4290048	0	68	1686	62205	563	arginine	hypertension	0	0	3.3	0.6307104	0	41	888	31051	563	arginine	hypertension	0	0	4.21	1	0	37	990	39665	563	arginine	hypertension	-10.91	1.82745714988258e-05	99.7	0.9128789	0.01	0	9.201288e-16	0.15	0.05	0.001458483	8726728	161	161	80
55	ascorbic acid	3.21	3.02	3.42	2.984044e-224	1095	24884	119368	8718992	55	ascorbic acid	hypertension	1.6	1.25	2.02	0.0001995083	74	1929	7549	314956	55	ascorbic acid	hypertension	46	86.8	2.7	1.32	4.99	0.003969056	11	151	1675	62122	55	ascorbic acid	hypertension	2.74	0.97	6.26	0.02801279	6	77	882	31015	55	ascorbic acid	hypertension	3	1.17	6.45	0.01180417	7	94	983	39608	55	ascorbic acid	hypertension	1.01	2.74560101501692	0.29	0.0004849436	0.01	0	1.24096e-15	0.15	0.05	0.001534737	8726728	161	161	80
106	aspirin	2.51	2.46	2.56	0	11424	349990	109039	8393886	106	aspirin	hypertension	1.24	1.17	1.32	2.776871e-11	1189	40991	6434	275894	106	aspirin	hypertension	46	86.8	0.94	0.81	1.08	0.3911668	221	8634	1465	53639	106	aspirin	hypertension	0.89	0.73	1.09	0.2711319	120	4634	768	26458	106	aspirin	hypertension	1	0.81	1.21	1	116	4669	874	35033	106	aspirin	hypertension	-0.1	0.90483741803596	0.07	0.1462905	0.01	0	4.232351e-16	0.15	0.05	0.001191049	8726728	161	161	80
767	atenolol	2.07	2	2.15	1.339643e-267	2984	105794	117479	8638082	767	atenolol	hypertension	0.96	0.87	1.04	0.3198508	543	23544	7080	293341	767	atenolol	hypertension	46	86.8	0.85	0.69	1.05	0.1487294	96	4116	1590	58157	767	atenolol	hypertension	0.57	0.39	0.82	0.001400116	31	1849	857	29243	767	atenolol	hypertension	1.05	0.81	1.34	0.6601776	73	2796	917	36906	767	atenolol	hypertension	-0.17	0.843664816596384	0.1	0.08848283	0.01	0	8.565244e-16	0.15	0.05	0.001712986	8726728	161	161	80
1259	atorvastatin calcium	1.69	1.64	1.74	4.78069e-204	4152	180807	116311	8563069	1259	atorvastatin calcium	hypertension	1.2	1.1	1.3	4.588985e-05	596	20955	7027	295930	1259	atorvastatin calcium	hypertension	46	86.8	0.8	0.62	1.01	0.0635327	74	3393	1612	58880	1259	atorvastatin calcium	hypertension	0.86	0.61	1.19	0.3982076	40	1617	848	29475	1259	atorvastatin calcium	hypertension	0.88	0.64	1.19	0.4693335	46	2082	944	37620	1259	atorvastatin calcium	hypertension	-0.15	0.860707976425058	0.11	0.1866704	0.01	0	7.696619e-16	0.15	0.05	0.001492454	8726728	161	161	80
2203	avelumab	0	0	175.18	1	0	3	120463	8743873	2203	avelumab	hypertension	0	0	1581.19	1	0	1	7623	316884	2203	avelumab	hypertension	46	86.8	0	0	Inf	1	0	0	1686	62273	2203	avelumab	hypertension	0	0	Inf	1	0	0	888	31092	2203	avelumab	hypertension	0	0	Inf	1	0	0	990	39702	2203	avelumab	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
1968	azilsartan kamedoxomil	1.12	0.58	1.97	0.6425333	12	775	120451	8743101	1968	azilsartan kamedoxomil	hypertension	0.69	0.25	1.51	0.4889003	6	363	7617	316522	1968	azilsartan kamedoxomil	hypertension	46	86.8	1.87	0.5	5	0.1760217	4	79	1682	62194	1968	azilsartan kamedoxomil	hypertension	1.17	0.03	7.04	0.5824623	1	30	887	31062	1968	azilsartan kamedoxomil	hypertension	2.23	0.45	6.9	0.1613618	3	54	987	39648	1968	azilsartan kamedoxomil	hypertension	0.62	1.85892804184634	0.51	0.2240065	0.01	0	8.193262e-16	0.15	0.05	0.001458353	8726728	161	161	80
1034	benazepril	2.54	2.37	2.72	7.009387e-120	850	24389	119613	8719487	1034	benazepril	hypertension	1.11	0.94	1.31	0.2078329	153	5738	7470	311147	1034	benazepril	hypertension	46	86.8	0.68	0.4	1.07	0.09820602	19	1031	1667	61242	1034	benazepril	hypertension	0.88	0.46	1.53	0.7891145	13	516	875	30576	1034	benazepril	hypertension	0.53	0.23	1.06	0.08232147	8	597	982	39105	1034	benazepril	hypertension	-0.34	0.71177032276261	0.22	0.1265722	0.01	0	9.307036e-16	0.15	0.05	0.001465827	8726728	161	161	80
365	bendroflumethiazide	0.76	0.61	0.94	0.008450164	91	8678	120372	8735198	365	bendroflumethiazide	hypertension	0.44	0.28	0.65	3.629831e-06	25	2375	7598	314510	365	bendroflumethiazide	hypertension	46	86.8	0.86	0.37	1.72	0.8665458	8	342	1678	61931	365	bendroflumethiazide	hypertension	0.25	0.01	1.4	0.1943888	1	142	887	30950	365	bendroflumethiazide	hypertension	1.25	0.5	2.63	0.5175287	7	225	983	39477	365	bendroflumethiazide	hypertension	-0.25	0.778800783071405	0.36	0.4855642	0.01	0	7.643887e-16	0.15	0.05	0.001529618	8726728	161	161	80
360	benzthiazide	0	0	6.66	1	0	42	120463	8743834	360	benzthiazide	hypertension	0	0	16.56	1	0	11	7623	316874	360	benzthiazide	hypertension	46	86.8	0	0	Inf	1	0	0	1686	62273	360	benzthiazide	hypertension	0	0	Inf	1	0	0	888	31092	360	benzthiazide	hypertension	0	0	Inf	1	0	0	990	39702	360	benzthiazide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
932	betaxolol	2.62	2	3.38	8.901469e-11	62	1716	120401	8742160	932	betaxolol	hypertension	0.36	0.07	1.06	0.07370791	3	345	7620	316540	932	betaxolol	hypertension	46	86.8	1.25	0.15	4.74	0.6762162	2	59	1684	62214	932	betaxolol	hypertension	1.35	0.03	8.22	0.5326318	1	26	887	31066	932	betaxolol	hypertension	0.91	0.02	5.36	1	1	44	989	39658	932	betaxolol	hypertension	0.03	1.03045453395352	0.72	0.964447	0.01	0	8.586724e-16	0.15	0.05	0.001501774	8726728	161	161	80
1062	bisoprolol fumarate	2.66	2.46	2.87	4.354859e-109	711	19487	119752	8724389	1062	bisoprolol fumarate	hypertension	1.17	0.97	1.4	0.09300678	124	4414	7499	312471	1062	bisoprolol fumarate	hypertension	46	86.8	1.16	0.59	2.05	0.6340542	12	383	1674	61890	1062	bisoprolol fumarate	hypertension	1.02	0.37	2.28	0.8337049	6	205	882	30887	1062	bisoprolol fumarate	hypertension	1.74	0.82	3.28	0.09006358	10	231	980	39471	1062	bisoprolol fumarate	hypertension	0.27	1.30996445073325	0.26	0.2894711	0.01	0	1.039856e-15	0.15	0.05	0.001526486	8726728	161	161	80
762	bumetanide	3.12	2.84	3.43	1.478241e-92	464	10820	119999	8733056	762	bumetanide	hypertension	1.71	1.22	2.33	0.001537013	42	1024	7581	315861	762	bumetanide	hypertension	46	86.8	1.4	0.63	2.71	0.3144521	9	238	1677	62035	762	bumetanide	hypertension	2.12	0.83	4.53	0.0870785	7	116	881	30976	762	bumetanide	hypertension	0.8	0.16	2.39	1	3	150	987	39552	762	bumetanide	hypertension	0.3	1.349858807576	0.32	0.3572466	0.01	0	9.728461e-16	0.15	0.05	0.001515326	8726728	161	161	80
1198	butenafine	2.39	1.45	3.73	0.0006844441	20	607	120443	8743269	1198	butenafine	hypertension	4.52	1.4	11.34	0.006847607	5	46	7618	316839	1198	butenafine	hypertension	46	86.8	0	0	89.49	1	0	3	1686	62270	1198	butenafine	hypertension	0	0	Inf	1	0	0	888	31092	1198	butenafine	hypertension	0	0	97.24	1	0	3	990	39699	1198	butenafine	hypertension	-7.96	0.000349153117459826	113.69	0.9441572	0.01	0	8.511262e-16	0.15	0.05	0.001512079	8726728	161	161	80
779	calcifediol	2.79	1.11	5.87	0.01547292	7	182	120456	8743694	779	calcifediol	hypertension	2.08	0.24	8.02	0.2592416	2	40	7621	316845	779	calcifediol	hypertension	46	86.8	0	0	31.39	1	0	6	1686	62267	779	calcifediol	hypertension	0	0	84.84	1	0	3	888	31089	779	calcifediol	hypertension	0	0	97.24	1	0	3	990	39699	779	calcifediol	hypertension	-9.03	0.000119762493172015	132.31	0.9456155	0.01	0	8.456494e-16	0.15	0.05	0.00149873	8726728	161	161	80
735	calcitriol	3.93	3.61	4.26	1.870422e-161	604	11208	119859	8732668	735	calcitriol	hypertension	2.12	1.6	2.75	4.275514e-07	60	1184	7563	315701	735	calcitriol	hypertension	46	86.8	1.69	0.86	3.01	0.08547463	12	263	1674	62010	735	calcitriol	hypertension	0.93	0.25	2.43	1	4	151	884	30941	735	calcitriol	hypertension	3.62	1.97	6.17	4.614349e-05	15	168	975	39534	735	calcitriol	hypertension	0.85	2.33964685192599	0.24	0.0003761205	0.01	0	6.257491e-16	0.15	0.05	0.00153712	8726728	161	161	80
1302	candesartan cilexetil	2.38	2.21	2.55	1.185924e-98	791	24229	119672	8719647	1302	candesartan cilexetil	hypertension	1.11	0.96	1.28	0.1584351	199	7486	7424	309399	1302	candesartan cilexetil	hypertension	46	86.8	1.33	0.88	1.93	0.1284913	29	808	1657	61465	1302	candesartan cilexetil	hypertension	0.36	0.1	0.94	0.02890058	4	383	884	30709	1302	candesartan cilexetil	hypertension	2.12	1.38	3.14	0.0006072462	27	518	963	39184	1302	candesartan cilexetil	hypertension	0.25	1.28402541668774	0.18	0.1807324	0.01	0	9.746357e-16	0.15	0.05	0.001457929	8726728	161	161	80
784	captopril	2.56	2.3	2.85	1.775928e-51	351	9953	120112	8733923	784	captopril	hypertension	1.38	1.1	1.71	0.005033369	87	2633	7536	314252	784	captopril	hypertension	46	86.8	0.83	0.33	1.72	0.859961	7	313	1679	61960	784	captopril	hypertension	0.95	0.25	2.48	1	4	148	884	30944	784	captopril	hypertension	0.89	0.28	2.11	1	5	226	985	39476	784	captopril	hypertension	-0.03	0.970445533548508	0.34	0.9342862	0.01	0	8.797275e-16	0.15	0.05	0.001506287	8726728	161	161	80
1141	carvedilol	2.91	2.8	3.02	0	2737	69356	117726	8674520	1141	carvedilol	hypertension	1.34	1.2	1.49	1.727427e-07	375	11786	7248	305099	1141	carvedilol	hypertension	46	86.8	1.26	1.01	1.56	0.0329928	95	2816	1591	59457	1141	carvedilol	hypertension	1.15	0.85	1.52	0.3253031	54	1658	834	29434	1141	carvedilol	hypertension	1.47	1.09	1.95	0.01072582	53	1473	937	38229	1141	carvedilol	hypertension	0.24	1.2712491503214	0.1	0.01760394	0.01	0	1.135632e-15	0.14	0.05	0.002065237	8726728	161	161	80
1580	carvedilol phosphate	0.96	0.67	1.33	0.9342806	36	2719	120427	8741157	1580	carvedilol phosphate	hypertension	0.48	0.22	0.91	0.02422718	9	780	7614	316105	1580	carvedilol phosphate	hypertension	46	86.8	1.21	0.14	4.57	0.6830043	2	61	1684	62212	1580	carvedilol phosphate	hypertension	0	0	4.75	1	0	29	888	31063	1580	carvedilol phosphate	hypertension	2.17	0.25	8.43	0.245161	2	37	988	39665	1580	carvedilol phosphate	hypertension	0.12	1.12749685157938	0.72	0.8694149	0.01	0	8.571526e-16	0.15	0.05	0.001501766	8726728	161	161	80
1838	cefuroxime	2.14	1.84	2.47	1.784803e-20	192	6517	120271	8737359	1838	cefuroxime	hypertension	2.38	1.46	3.7	0.0005236743	21	367	7602	316518	1838	cefuroxime	hypertension	46	86.8	0	0	2.06	0.4290048	0	68	1686	62205	1838	cefuroxime	hypertension	0	0	3.9	0.626721	0	35	888	31057	1838	cefuroxime	hypertension	0	0	3.28	0.6315372	0	47	990	39655	1838	cefuroxime	hypertension	-10.92	1.80927364742498e-05	97.17	0.9105121	0.01	0	8.730631e-16	0.15	0.05	0.001508601	8726728	161	161	80
1784	cefuroxime axetil	5.4	4.67	6.22	1.827387e-79	210	2826	120253	8741050	1784	cefuroxime axetil	hypertension	3.23	1.44	6.35	0.002887662	9	116	7614	316769	1784	cefuroxime axetil	hypertension	46	86.8	0	0	5.88	1	0	25	1686	62248	1784	cefuroxime axetil	hypertension	0	0	12.62	1	0	12	888	31080	1784	cefuroxime axetil	hypertension	0	0	9.13	1	0	18	990	39684	1784	cefuroxime axetil	hypertension	-9.91	4.96754356281337e-05	97.49	0.9190739	0.01	0	8.706069e-16	0.15	0.05	0.001509614	8726728	161	161	80
287	chlorothiazide	1.48	0.83	2.46	0.1510243	15	734	120448	8743142	287	chlorothiazide	hypertension	0.51	0.01	2.94	1	1	81	7622	316804	287	chlorothiazide	hypertension	46	86.8	0	0	31.39	1	0	6	1686	62267	287	chlorothiazide	hypertension	0	0	84.84	1	0	3	888	31089	287	chlorothiazide	hypertension	0	0	34.1	1	0	6	990	39696	287	chlorothiazide	hypertension	-8.68	0.000169951067599028	107.91	0.9359122	0.01	0	8.969065e-16	0.15	0.05	0.001509575	8726728	161	161	80
374	chlorthalidone	1.87	1.57	2.21	1.408977e-11	143	5553	120320	8738323	374	chlorthalidone	hypertension	1.04	0.75	1.4	0.8130942	43	1727	7580	315158	374	chlorthalidone	hypertension	46	86.8	0.45	0.15	1.07	0.08603664	5	405	1681	61868	374	chlorthalidone	hypertension	0.67	0.18	1.74	0.5337966	4	210	884	30882	374	chlorthalidone	hypertension	0.49	0.1	1.46	0.2968291	3	244	987	39458	374	chlorthalidone	hypertension	-0.54	0.58274825237399	0.38	0.1599223	0.01	0	9.071258e-16	0.15	0.05	0.001472647	8726728	161	161	80
1308	cilostazol	3.54	3.18	3.92	1.245469e-90	382	7861	120081	8736015	1308	cilostazol	hypertension	1.55	1.12	2.08	0.006515971	45	1212	7578	315673	1308	cilostazol	hypertension	46	86.8	0.63	0.17	1.62	0.5400576	4	236	1682	62037	1308	cilostazol	hypertension	0.21	0.01	1.21	0.09573526	1	163	887	30929	1308	cilostazol	hypertension	1.64	0.44	4.35	0.3177933	4	98	986	39604	1308	cilostazol	hypertension	-0.42	0.657046819815057	0.45	0.3515693	0.01	0	7.331748e-16	0.15	0.05	0.001397146	8726728	161	161	80
1770	clavulanate potassium	2.19	1.89	2.53	5.425137e-22	195	6459	120268	8737417	1770	clavulanate potassium	hypertension	0.76	0.28	1.67	0.7156526	6	329	7617	316556	1770	clavulanate potassium	hypertension	46	86.8	1.06	0.03	6.29	0.6178652	1	35	1685	62238	1770	clavulanate potassium	hypertension	1.52	0.04	9.4	0.4913984	1	23	887	31069	1770	clavulanate potassium	hypertension	2.36	0.06	15.09	0.3581707	1	17	989	39685	1770	clavulanate potassium	hypertension	0.64	1.89648087930495	0.73	0.378053	0.01	0	8.389454e-16	0.15	0.05	0.00153139	8726728	161	161	80
1608	clevidipine	0	0	1.29	0.1246258	0	209	120463	8743667	1608	clevidipine	hypertension	0	0	3.64	0.6280698	0	44	7623	316841	1608	clevidipine	hypertension	46	86.8	0	0	Inf	1	0	0	1686	62273	1608	clevidipine	hypertension	0	0	1337.02	1	0	1	888	31091	1608	clevidipine	hypertension	0	0	Inf	1	0	0	990	39702	1608	clevidipine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
604	clonidine	2.4	2.27	2.55	1.963639e-150	1192	36188	119271	8707688	604	clonidine	hypertension	1.17	1.02	1.34	0.02661726	216	7703	7407	309182	604	clonidine	hypertension	46	86.8	0.79	0.52	1.16	0.252858	27	1261	1659	61012	604	clonidine	hypertension	1.1	0.62	1.81	0.6873801	16	511	872	30581	604	clonidine	hypertension	0.73	0.43	1.17	0.2501479	18	977	972	38725	604	clonidine	hypertension	-0.1	0.90483741803596	0.18	0.5768677	0.01	0	9.989802e-16	0.15	0.05	0.001600602	8726728	161	161	80
1303	clopidogrel bisulfate	2.72	2.63	2.81	0	3721	101255	116742	8642621	1303	clopidogrel bisulfate	hypertension	1.82	1.65	2	3.894589e-29	457	10743	7166	306142	1303	clopidogrel bisulfate	hypertension	46	86.8	1.23	0.94	1.58	0.1190564	64	1943	1622	60330	1303	clopidogrel bisulfate	hypertension	1.15	0.81	1.6	0.3759839	39	1191	849	29901	1303	clopidogrel bisulfate	hypertension	1.33	0.89	1.93	0.132286	30	909	960	38793	1303	clopidogrel bisulfate	hypertension	0.14	1.15027379885723	0.13	0.247638	0.01	0	1.514251e-15	0.15	0.05	0.001832388	8726728	161	161	80
164	cryptenamine acetates	0	0	2710.97	1	0	1	120463	8743875	164	cryptenamine acetates	hypertension	0	0	1581.19	1	0	1	7623	316884	164	cryptenamine acetates	hypertension	46	86.8	0	0	Inf	1	0	0	1686	62273	164	cryptenamine acetates	hypertension	0	0	Inf	1	0	0	888	31092	164	cryptenamine acetates	hypertension	0	0	Inf	1	0	0	990	39702	164	cryptenamine acetates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
193	cryptenamine tannates	0	0	2710.97	1	0	1	120463	8743875	193	cryptenamine tannates	hypertension	0	0	1581.19	1	0	1	7623	316884	193	cryptenamine tannates	hypertension	46	86.8	0	0	Inf	1	0	0	1686	62273	193	cryptenamine tannates	hypertension	0	0	Inf	1	0	0	888	31092	193	cryptenamine tannates	hypertension	0	0	Inf	1	0	0	990	39702	193	cryptenamine tannates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
57	cyanocobalamin	4.53	4.21	4.87	2.122393e-248	796	12816	119667	8731060	57	cyanocobalamin	hypertension	1.93	1.45	2.51	9.191113e-06	58	1257	7565	315628	57	cyanocobalamin	hypertension	46	86.8	1.85	0.91	3.39	0.05887929	11	220	1675	62053	57	cyanocobalamin	hypertension	1.85	0.58	4.48	0.2053146	5	95	883	30997	57	cyanocobalamin	hypertension	1.65	0.6	3.7	0.1904647	6	146	984	39556	57	cyanocobalamin	hypertension	0.54	1.71600686218486	0.31	0.08356055	0.01	0	9.125242e-16	0.15	0.05	0.001458262	8726728	161	161	80
428	cyclothiazide	0	0	109.88	1	0	4	120463	8743872	428	cyclothiazide	hypertension	0	0	1581.19	1	0	1	7623	316884	428	cyclothiazide	hypertension	46	86.8	0	0	Inf	1	0	0	1686	62273	428	cyclothiazide	hypertension	0	0	Inf	1	0	0	888	31092	428	cyclothiazide	hypertension	0	0	Inf	1	0	0	990	39702	428	cyclothiazide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
676	difenoxin	0	0	8.87	1	0	32	120463	8743844	676	difenoxin	hypertension	0	0	45.38	1	0	5	7623	316880	676	difenoxin	hypertension	46	86.8	0	0	1408.79	1	0	1	1686	62272	676	difenoxin	hypertension	0	0	1337.02	1	0	1	888	31091	676	difenoxin	hypertension	0	0	1526.73	1	0	1	990	39701	676	difenoxin	hypertension	-7.8	0.000409734978979787	138.21	0.9549922	0.01	0	8.61814e-16	0.15	0.05	0.001501086	8726728	161	161	80
1850	digitoxin	2.86	2.27	3.56	3.428859e-16	84	2134	120379	8741742	1850	digitoxin	hypertension	1.47	0.93	2.21	0.0789474	24	680	7599	316205	1850	digitoxin	hypertension	46	86.8	2.9	0.76	7.91	0.05694932	4	51	1682	62222	1850	digitoxin	hypertension	3.01	0.59	9.57	0.0880005	3	35	885	31057	1850	digitoxin	hypertension	2.11	0.05	13.31	0.3890349	1	19	989	39683	1850	digitoxin	hypertension	0.85	2.33964685192599	0.52	0.1003037	0.01	0	1.180729e-15	0.15	0.05	0.001630353	8726728	161	161	80
