results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex
11	aminophylline	0.33	0.09	0.85	0.013	4	1700	62412	8800223	11	aminophylline	asthma	0.41	0.01	2.28	0.53	1	362	697	102358	11	aminophylline	asthma	24.2	80.2	0	0	9.64	1	0	38	186	17413	11	aminophylline	asthma	0	0	19.58	1	0	30	44	6331	11	aminophylline	asthma	0	0	17.77	1	0	21	162	14837	11	aminophylline	asthma	-11.77	7.73310572890771e-06	333.51	0.97	0.01	0	0	-0.42	0.17	0.01
12	sulfur	0.87	0.18	2.55	1	3	487	62413	8801436	12	sulfur	acne	0	0	17.98	1	0	50	149	34581	12	sulfur	acne	16	52	0	0	188.71	1	0	5	17	2754	12	sulfur	acne	0	0	867.66	1	0	3	4	1152	12	sulfur	acne	0	0	136.41	1	0	6	17	2535	12	sulfur	acne	-11.39	1.13080013358472e-05	794.94	0.99	0.01	0.02	0.64	-0.62	0.56	0.28
13	methyltestosterone	2.68	0.98	5.89	0.028	6	316	62410	8801607	13	methyltestosterone	hormone replacement therapy	8.59	1.01	33.01	0.025	2	54	175	40574	13	methyltestosterone	hormone replacement therapy	39.8	73	0	0	32.75	1	0	8	53	2888	13	methyltestosterone	hormone replacement therapy	0	0	67.65	1	0	4	28	1208	13	methyltestosterone	hormone replacement therapy	0	0	61.35	1	0	6	32	2222	13	methyltestosterone	hormone replacement therapy	-11.54	9.73288694718895e-06	458.67	0.98	0.01	0.01	0.52	0.49	0.26	0.06
14	vasopressin tannate	0	0	82.5	1	0	8	62416	8801915	14	vasopressin tannate	systemic candida	0	0	1068.02	1	0	4	2	711	14	vasopressin tannate	systemic candida	NA	NA	0	0	Inf	1	0	0	0	0	14	vasopressin tannate	systemic candida	0	0	Inf	1	0	0	0	60	14	vasopressin tannate	systemic candida	0	0	Inf	1	0	0	0	47	14	vasopressin tannate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	ergocalciferol	2.08	1.98	2.17	6.7e-184	2030	140238	60386	8661685	15	ergocalciferol	osteoporosis	1.63	1.43	1.85	7.3e-13	288	16428	1593	148179	15	ergocalciferol	osteoporosis	53.9	88	1.9	1.35	2.61	0.00019	46	2068	286	24388	15	ergocalciferol	osteoporosis	2.55	0.63	7.78	0.095	4	224	19	2719	15	ergocalciferol	osteoporosis	1.76	1.25	2.43	0.00086	45	2130	303	25277	15	ergocalciferol	osteoporosis	0.61	1.84043139878164	0.16	0	0.01	0	0	-0.47	0.22	0.03
16	menadiol sodium diphosphate	0	0	735.87	1	0	2	62416	8801921	16	menadiol sodium diphosphate	cystic fibrosis	0	0	9724.03	1	0	1	34	9995	16	menadiol sodium diphosphate	cystic fibrosis	10.8	46.7	0	0	Inf	1	0	0	19	3595	16	menadiol sodium diphosphate	cystic fibrosis	0	0	Inf	1	0	0	9	2060	16	menadiol sodium diphosphate	cystic fibrosis	0	0	Inf	1	0	0	11	2427	16	menadiol sodium diphosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	estrone	0.66	0.18	1.71	0.54	4	850	62412	8801073	17	estrone	hormone replacement therapy	0	0	4.7	1	0	183	177	40445	17	estrone	hormone replacement therapy	39.8	73	0	0	133.85	1	0	3	53	2893	17	estrone	hormone replacement therapy	0	0	Inf	1	0	0	28	1212	17	estrone	hormone replacement therapy	0	0	171.83	1	0	3	32	2225	17	estrone	hormone replacement therapy	-10.35	3.19927897776892e-05	509.55	0.98	0.01	0.01	0.52	0.49	0.26	0.06
18	diethylstilbestrol	2.17	0.26	8	0.24	2	130	62414	8801793	18	diethylstilbestrol	prostate cancer	5.72	0.67	21.93	0.051	2	51	314	45828	18	diethylstilbestrol	prostate cancer	58.1	90.3	0	0	4249.55	1	0	1	114	13304	18	diethylstilbestrol	prostate cancer	0	0	4175.91	1	0	1	128	14661	18	diethylstilbestrol	prostate cancer	0	0	Inf	1	0	0	0	51	18	diethylstilbestrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	sulfadiazine	5.24	3.78	7.07	8.6e-18	44	1186	62372	8800737	19	sulfadiazine	hiv infection	0	0	10.42	1	0	129	165	58597	19	sulfadiazine	hiv infection	33.1	69.6	0	0	194.87	1	0	6	31	6849	19	sulfadiazine	hiv infection	0	0	137.39	1	0	8	26	5790	19	sulfadiazine	hiv infection	0	0	1025.16	1	0	3	9	3467	19	sulfadiazine	hiv infection	-10.9	1.84582339957806e-05	705.5	0.99	0.03	0.01	0.01	0.26	0.4	0.53
20	sulfadiazine sodium	0	0	339.07	1	0	3	62416	8801920	20	sulfadiazine sodium	anaemia	0	0	5201.29	1	0	1	136	19741	20	sulfadiazine sodium	anaemia	28.8	80.7	0	0	Inf	1	0	0	23	3690	20	sulfadiazine sodium	anaemia	0	0	Inf	1	0	0	3	1869	20	sulfadiazine sodium	anaemia	0	0	4371.46	1	0	1	23	2766	20	sulfadiazine sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	alcohol	2.45	2.09	2.85	2.5e-24	171	9855	62245	8792068	21	alcohol	depression	2.42	1.69	3.38	2.7e-06	37	802	3853	202464	21	alcohol	depression	26.8	78	1.04	0.03	6.16	0.62	1	38	755	29788	21	alcohol	depression	2.12	0.05	13.23	0.39	1	22	232	10829	21	alcohol	depression	2.53	0.29	9.92	0.2	2	33	609	25411	21	alcohol	depression	0.86	2.36316069370579	0.59	0.15	0	0	0.78	-0.11	0.08	0.15
22	dextrose	0.18	0.15	0.22	2.8e-113	94	71880	62322	8730043	22	dextrose	peritoneal dialysis	2.12	1.36	3.36	0.00054	61	55711	32	61916	22	dextrose	peritoneal dialysis	39	84.1	Inf	0.13	Inf	1	10	15462	0	899	22	dextrose	peritoneal dialysis	Inf	0.04	Inf	1	4	9497	0	634	22	dextrose	peritoneal dialysis	Inf	0.08	Inf	1	8	8523	0	416	22	dextrose	peritoneal dialysis	14.21	1483626.52018407	884.95	0.99	0.03	0.02	0.18	-0.88	0.61	0.15
23	estrogens	1.23	1.14	1.32	1.2e-07	713	81966	61703	8719957	23	estrogens	hormone replacement therapy	0.29	0.21	0.4	5.7e-16	72	28513	105	12115	23	estrogens	hormone replacement therapy	39.8	73	1.15	0.51	2.35	0.71	10	486	43	2410	23	estrogens	hormone replacement therapy	0	0	Inf	1	0	0	28	1212	23	estrogens	hormone replacement therapy	1.46	0.65	3.16	0.33	12	648	20	1580	23	estrogens	hormone replacement therapy	0.35	1.41906754859326	0.37	0.35	0.01	0.01	0.62	0.6	0.3	0.04
24	meperidine	1.47	1.14	1.86	0.0022	70	6726	62346	8795197	24	meperidine	pain	1.15	0.69	1.81	0.53	19	1168	2727	193039	24	meperidine	pain	33	80.8	0.91	0.11	3.36	1	2	126	618	35316	24	meperidine	pain	3.95	0.78	12.28	0.046	3	58	202	15418	24	meperidine	pain	0	0	2.26	0.42	0	92	489	26866	24	meperidine	pain	0.22	1.24607673058738	0.58	0.71	0	0	0.76	-0.32	0.08	0
25	homatropine methylbromide	5.53	3.3	8.73	6.4e-09	19	485	62397	8801438	25	homatropine methylbromide	cough	0	0	6	1	0	121	76	14394	25	homatropine methylbromide	cough	35	85.3	0	0	22.95	1	0	27	22	3191	25	homatropine methylbromide	cough	0	0	116.5	1	0	16	5	1596	25	homatropine methylbromide	cough	0	0	45.15	1	0	12	21	2450	25	homatropine methylbromide	cough	-12.45	3.91772276602433e-06	736.39	0.99	0.03	0.01	0.03	-0.99	0.5	0.05
26	hydrocodone bitartrate	2.16	2.05	2.27	4.3e-160	1601	106020	60815	8695903	26	hydrocodone bitartrate	pain	1.52	1.37	1.69	1.6e-14	443	21785	2303	172422	26	hydrocodone bitartrate	pain	33	80.8	1.21	0.94	1.53	0.12	81	3918	539	31524	26	hydrocodone bitartrate	pain	1.15	0.71	1.78	0.56	23	1535	182	13941	26	hydrocodone bitartrate	pain	1.34	1.02	1.74	0.028	69	2945	420	24013	26	hydrocodone bitartrate	pain	0.25	1.28402541668774	0.11	0.03	0	0	0.75	-0.31	0.08	0
27	ethinyl estradiol	0.53	0.48	0.57	1e-58	513	136711	61903	8665212	27	ethinyl estradiol	contraception	2.24	1.81	2.78	4.9e-14	188	52055	168	104224	27	ethinyl estradiol	contraception	19	46	3.44	2	5.75	5.7e-06	24	3531	46	23255	27	ethinyl estradiol	contraception	0	0	Inf	1	0	5	0	17	27	ethinyl estradiol	contraception	4.42	2.73	7.07	2e-09	32	4030	48	26734	27	ethinyl estradiol	contraception	1.48	4.39294568091876	0.23	0	0.03	0.01	0.01	-10.66	491.73	0.98
28	iophendylate	0	0	97.96	1	0	7	62416	8801916	28	iophendylate	nuclear magnetic resonance imaging	0	0	1838.28	1	0	2	23	7644	28	iophendylate	nuclear magnetic resonance imaging	29.2	55.8	0	0	Inf	1	0	0	4	368	28	iophendylate	nuclear magnetic resonance imaging	0	0	Inf	1	0	0	0	257	28	iophendylate	nuclear magnetic resonance imaging	0	0	Inf	1	0	0	6	555	28	iophendylate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	methamphetamine	1.78	1.23	2.5	0.0018	34	2690	62382	8799233	29	methamphetamine	drug abuse	12.42	3.65	33.7	0.00011	5	59	32	4697	29	methamphetamine	drug abuse	17.4	34.3	53.81	3.86	547.74	0.002	2	4	4	458	29	methamphetamine	drug abuse	62.34	4.47	658.1	0.0015	2	6	3	593	29	methamphetamine	drug abuse	0	0	383.97	1	0	5	3	675	29	methamphetamine	drug abuse	3.47	32.1367424447532	0.9	0	-0.06	0.03	0.04	0.5	0.75	0.5
30	dicumarol	0	0	17.82	1	0	31	62416	8801892	30	dicumarol	pulmonary hypertension	0	0	344.32	1	0	7	87	42688	30	dicumarol	pulmonary hypertension	28.1	88	0	0	Inf	1	0	0	55	17728	30	dicumarol	pulmonary hypertension	0	0	Inf	1	0	0	5	4841	30	dicumarol	pulmonary hypertension	0	0	Inf	1	0	0	59	14471	30	dicumarol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	aminohippurate sodium	0	0	71.43	1	0	9	62416	8801914	31	aminohippurate sodium	renal transplant	0	0	2157.11	1	0	2	55	21666	31	aminohippurate sodium	renal transplant	37	57.2	0	0	Inf	1	0	0	7	1402	31	aminohippurate sodium	renal transplant	0	0	Inf	1	0	0	5	2280	31	aminohippurate sodium	renal transplant	0	0	Inf	1	0	0	5	1509	31	aminohippurate sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	mannitol	0.25	0.09	0.55	4.2e-05	6	3321	62410	8798602	32	mannitol	prophylaxis	0	0	2.47	0.41	0	330	475	104025	32	mannitol	prophylaxis	37.6	80.4	0	0	8.08	1	0	82	127	21986	32	mannitol	prophylaxis	0	0	13.56	1	0	68	58	13684	32	mannitol	prophylaxis	0	0	17.47	1	0	38	86	14436	32	mannitol	prophylaxis	-12.08	5.67182285902797e-06	381.76	0.97	0.02	0.01	0	-0.38	0.17	0.02
33	tubocurarine chloride	0	0	213.76	1	0	4	62416	8801919	33	tubocurarine chloride	anaesthesia	0	0	759.84	1	0	4	14	6646	33	tubocurarine chloride	anaesthesia	51.4	73	0	0	Inf	1	0	0	1	339	33	tubocurarine chloride	anaesthesia	0	0	Inf	1	0	0	0	388	33	tubocurarine chloride	anaesthesia	0	0	Inf	1	0	0	6	489	33	tubocurarine chloride	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	triple sulfa\>	0	0	42.51	1	0	14	62416	8801909	35	triple sulfa\>	antibacterial prophylaxis	0	0	Inf	1	0	1	0	163	35	triple sulfa\>	antibacterial prophylaxis	NA	NA	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	antibacterial prophylaxis	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	antibacterial prophylaxis	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	sulfacetamide	2.68	1.28	4.97	0.0054	10	526	62406	8801397	36	sulfacetamide	acne	3.59	0.09	21.04	0.25	1	65	148	34566	36	sulfacetamide	acne	16	52	15.54	0.34	119.11	0.071	1	11	16	2748	36	sulfacetamide	acne	0	0	428.09	1	0	5	4	1150	36	sulfacetamide	acne	12.11	0.27	90.59	0.089	1	13	16	2528	36	sulfacetamide	acne	2.28	9.7766804095289	1.06	0.03	0.01	0.02	0.68	-0.61	0.57	0.28
38	nitrofurazone	0	0	42.51	1	0	14	62416	8801909	38	nitrofurazone	pain	0	0	107.1	1	0	4	2746	194203	38	nitrofurazone	pain	33	80.8	0	0	Inf	1	0	0	620	35442	38	nitrofurazone	pain	0	0	Inf	1	0	0	205	15476	38	nitrofurazone	pain	0	0	Inf	1	0	0	489	26958	38	nitrofurazone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	diphenhydramine	1.25	1.15	1.35	8.1e-08	653	74104	61763	8727819	39	diphenhydramine	premedication	1.13	0.84	1.51	0.42	80	10660	120	17999	39	diphenhydramine	premedication	27	78	1.74	0.94	3.27	0.059	28	2462	20	3063	39	diphenhydramine	premedication	1.17	0.29	4.29	0.77	5	1076	7	1761	39	diphenhydramine	premedication	2.16	1.1	4.44	0.02	29	1989	14	2076	39	diphenhydramine	premedication	0.65	1.9155408290139	0.28	0.02	0.01	0.01	0.25	-0.84	0.33	0.01
40	trimethadione	0	0	14.78	1	0	37	62416	8801886	40	trimethadione	epilepsy	0	0	24.26	1	0	13	616	45437	40	trimethadione	epilepsy	12	74.2	0	0	164.83	1	0	3	86	5820	40	trimethadione	epilepsy	0	0	2934.01	1	0	1	45	3547	40	trimethadione	epilepsy	0	0	123.92	1	0	4	52	4184	40	trimethadione	epilepsy	-10	4.53999297624849e-05	394.65	0.98	0.01	0	0.09	0.02	0.2	0.93
41	folic acid	0.93	0.87	0.99	0.027	896	135973	61520	8665950	41	folic acid	rheumatoid arthritis	0.98	0.85	1.12	0.78	231	48475	2015	413066	41	folic acid	rheumatoid arthritis	40.2	81	0.92	0.72	1.16	0.53	80	10451	875	105492	41	folic acid	rheumatoid arthritis	1.1	0.6	1.87	0.67	15	2179	146	23231	41	folic acid	rheumatoid arthritis	0.91	0.71	1.15	0.48	75	9687	838	98375	41	folic acid	rheumatoid arthritis	-0.08	0.923116346386636	0.11	0.47	0.02	0	0	-0.32	0.09	0
42	tripelennamine	0	0	50.76	1	0	12	62416	8801911	42	tripelennamine	drug abuse	0	0	199.99	1	0	4	37	4752	42	tripelennamine	drug abuse	17.4	34.3	0	0	Inf	1	0	0	6	462	42	tripelennamine	drug abuse	0	0	Inf	1	0	0	5	599	42	tripelennamine	drug abuse	0	0	Inf	1	0	0	3	680	42	tripelennamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	tripelennamine citrate	0	0	5064.64	1	0	1	62416	8801922	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	NA	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	dihydroergotamine mesylate	0.97	0.39	2	1	7	1022	62409	8800901	44	dihydroergotamine mesylate	migraine	0.85	0.1	3.12	1	2	179	544	41307	44	dihydroergotamine mesylate	migraine	24	68.1	0	0	8.35	1	0	25	137	7103	44	dihydroergotamine mesylate	migraine	0	0	145.45	1	0	4	12	1065	44	dihydroergotamine mesylate	migraine	0	0	8.71	1	0	24	141	7301	44	dihydroergotamine mesylate	migraine	-12.52	3.65286049514593e-06	452.1	0.98	0.01	0.01	0.17	-0.54	0.3	0.08
45	protein hydrolysate	0	0	62.8	1	0	10	62416	8801913	45	protein hydrolysate	rheumatoid arthritis	0	0	1113.77	1	0	2	2246	461539	45	protein hydrolysate	rheumatoid arthritis	40.2	81	0	0	Inf	1	0	0	955	115943	45	protein hydrolysate	rheumatoid arthritis	0	0	Inf	1	0	0	161	25410	45	protein hydrolysate	rheumatoid arthritis	0	0	Inf	1	0	0	913	108062	45	protein hydrolysate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	dimercaprol	0	0	153.99	1	0	5	62416	8801918	46	dimercaprol	status epilepticus	0	0	5458.19	1	0	1	12	1835	46	dimercaprol	status epilepticus	10	15.4	0	0	Inf	1	0	0	0	18	46	dimercaprol	status epilepticus	0	0	Inf	1	0	1	0	204	46	dimercaprol	status epilepticus	0	0	Inf	1	0	0	3	243	46	dimercaprol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	sulfacetamide sodium	2.77	1.47	4.77	0.0012	13	662	62403	8801261	47	sulfacetamide sodium	acne	4.17	0.1	24.57	0.22	1	56	148	34575	47	sulfacetamide sodium	acne	16	52	14.25	0.32	107.96	0.077	1	12	16	2747	47	sulfacetamide sodium	acne	0	0	341.71	1	0	6	4	1149	47	sulfacetamide sodium	acne	14.31	0.31	110.18	0.077	1	11	16	2530	47	sulfacetamide sodium	acne	2.36	10.5909514524338	1.06	0.03	0.01	0.02	0.73	-0.63	0.57	0.27
48	sodium tetradecyl	0	0	5.47	1	0	97	62416	8801826	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	18	0	20	48	sodium tetradecyl	spider vein	NA	NA	0	0	Inf	1	0	0	0	0	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	0	0	1	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	0	0	1	48	sodium tetradecyl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	chloroquine phosphate	1.11	0.41	2.43	0.67	6	762	62410	8801161	49	chloroquine phosphate	rheumatoid arthritis	0	0	2.41	0.41	0	317	2246	461224	49	chloroquine phosphate	rheumatoid arthritis	40.2	81	0	0	39.85	1	0	13	955	115930	49	chloroquine phosphate	rheumatoid arthritis	0	0	847.64	1	0	2	161	25408	49	chloroquine phosphate	rheumatoid arthritis	0	0	38.92	1	0	13	913	108049	49	chloroquine phosphate	rheumatoid arthritis	-8.58	0.000187824977406354	137.63	0.95	0.02	0	0	-0.32	0.09	0
50	chloroquine	1.09	0.61	1.8	0.68	15	1945	62401	8799978	50	chloroquine	rheumatoid arthritis	0.89	0.24	2.29	1	4	924	2242	460617	50	chloroquine	rheumatoid arthritis	40.2	81	0.84	0.02	4.78	1	1	144	954	115799	50	chloroquine	rheumatoid arthritis	0	0	26.48	1	0	24	161	25386	50	chloroquine	rheumatoid arthritis	0.69	0.02	3.92	1	1	171	912	107891	50	chloroquine	rheumatoid arthritis	-0.4	0.670320046035639	1	0.69	0.02	0	0	-0.32	0.09	0
51	mephenytoin	0	0	16.68	1	0	33	62416	8801890	51	mephenytoin	epilepsy	0	0	20.62	1	0	15	616	45435	51	mephenytoin	epilepsy	12	74.2	0	0	2536.06	1	0	1	86	5822	51	mephenytoin	epilepsy	0	0	Inf	1	0	0	45	3548	51	mephenytoin	epilepsy	0	0	2994.1	1	0	1	52	4187	51	mephenytoin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	ferrous	1.32	1.19	1.47	4.9e-07	359	38368	62057	8763555	52	ferrous	hypertension	0.82	0.51	1.25	0.43	22	3278	2595	318613	52	ferrous	hypertension	43.3	85	0.89	0.36	1.85	1	7	852	576	62410	52	ferrous	hypertension	1.84	0.49	4.83	0.29	4	395	173	31408	52	ferrous	hypertension	0.41	0.08	1.22	0.13	3	612	470	39607	52	ferrous	hypertension	-0.29	0.748263567578565	0.38	0.44	-0.01	0	0.02	-0.75	0.09	0
53	methylergonovine maleate	1.18	0.43	2.58	0.65	6	717	62410	8801206	53	methylergonovine maleate	foetal exposure during pregnancy	0	0	Inf	1	0	4	0	2846	53	methylergonovine maleate	foetal exposure during pregnancy	NA	NA	0	0	Inf	1	0	0	0	0	53	methylergonovine maleate	foetal exposure during pregnancy	0	0	Inf	1	0	0	0	65	53	methylergonovine maleate	foetal exposure during pregnancy	0	0	Inf	1	0	0	0	39	53	methylergonovine maleate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
