results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg
18	diethylstilbestrol	0	0	11.62	1	0	132	21580	8842627	18	diethylstilbestrol	prostate cancer	0	0	73.36	1	0	53	47	46095	18	diethylstilbestrol	prostate cancer	53.8	71.1	0	0	4.5036e+15	1	0	1	2	4523	18	diethylstilbestrol	prostate cancer	0	0	4.5036e+15	1	0	1	4	14785	18	diethylstilbestrol	prostate cancer	0	0	Inf	1	0	0	0	51	18	diethylstilbestrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	sulfadiazine	0	0	1.23	0.08290696	0	1230	21580	8841529	19	sulfadiazine	hiv infection	0	0	17.15	1	0	129	101	58661	19	sulfadiazine	hiv infection	26.2	56.8	0	0	328.49	1	0	6	18	6524	19	sulfadiazine	hiv infection	0	0	216.17	1	0	8	17	5799	19	sulfadiazine	hiv infection	0	0	2044.2	1	0	3	5	3471	19	sulfadiazine	hiv infection	-10.7	2.25449379132122e-05	712.28	0.988017	-0.02	0.01	0.1582183	0.87	0.52	0.0953478	893038
20	sulfadiazine sodium	0	0	988.61	1	0	3	21580	8842756	20	sulfadiazine sodium	anaemia	0	0	4.5036e+15	1	0	1	18	19859	20	sulfadiazine sodium	anaemia	57.9	72.5	0	0	Inf	1	0	0	0	1634	20	sulfadiazine sodium	anaemia	0	0	Inf	1	0	0	1	1871	20	sulfadiazine sodium	anaemia	0	0	4.5036e+15	1	0	1	1	2788	20	sulfadiazine sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	alcohol	4.27	3.48	5.19	1.739689e-32	103	9923	21477	8832836	21	alcohol	depression	2.59	1.75	3.69	3.176506e-06	32	807	3115	203202	21	alcohol	depression	17	75	1.86	0.05	10.92	0.4209141	1	50	338	31453	21	alcohol	depression	3.37	0.08	21.16	0.266177	1	22	147	10914	21	alcohol	depression	0	0	12.44	1	0	35	232	25788	21	alcohol	depression	0.34	1.40494759056359	1.01	0.7368132	-0.02	0	3.283197e-09	0.38	0.11	0.0003144244	8371398
22	dextrose	0.06	0.03	0.11	8.983474e-60	11	71963	21569	8770796	22	dextrose	peritoneal dialysis	0.39	0.13	1.04	0.05799204	6	55766	17	61931	22	dextrose	peritoneal dialysis	52	52	0	0	Inf	1	0	0	0	0	22	dextrose	peritoneal dialysis	0	0	Inf	1	0	9501	0	634	22	dextrose	peritoneal dialysis	Inf	0	Inf	1	1	8530	0	416	22	dextrose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	estrogens	0.78	0.67	0.92	0.001789928	158	82521	21422	8760238	23	estrogens	hormone replacement therapy	0.33	0.15	0.71	0.002390459	13	28572	17	12203	23	estrogens	hormone replacement therapy	44.5	62.9	5.42	0.07	424.99	0.2875025	1	302	1	1640	23	estrogens	hormone replacement therapy	0	0	Inf	1	0	0	1	1239	23	estrogens	hormone replacement therapy	4.86	0.25	286.39	0.2059275	2	658	1	1599	23	estrogens	hormone replacement therapy	1.73	5.64065390842832	1.24	0.1624879	-0.03	0.04	0.4128305	0.26	1.41	0.8543402	835008
24	meperidine	2.37	1.68	3.24	1.796972e-06	39	6757	21541	8836002	24	meperidine	pain	1.62	0.69	3.21	0.1705004	8	1179	818	194948	24	meperidine	pain	27	74.4	0	0	8.88	1	0	130	110	33370	24	meperidine	pain	0	0	24.13	1	0	61	42	15578	24	meperidine	pain	0	0	13.09	1	0	92	87	27268	24	meperidine	pain	-11.87	6.99720342114394e-06	314.61	0.9699078	-0.03	0	4.55705e-12	-0.14	0.19	0.4601904	8431288
25	homatropine methylbromide	0	0	3.01	0.639931	0	504	21580	8842255	25	homatropine methylbromide	cough	0	0	12.68	1	0	121	37	14433	25	homatropine methylbromide	cough	22.9	56.8	0	0	419.84	1	0	4	5	1128	25	homatropine methylbromide	cough	0	0	252.12	1	0	16	3	1598	25	homatropine methylbromide	cough	0	0	337.08	1	0	12	4	2467	25	homatropine methylbromide	cough	-11.72	8.12959053802051e-06	1221.44	0.9923416	-0.03	0.01	0.04130913	0.04	0.77	0.9569719	841008
26	hydrocodone bitartrate	2.45	2.26	2.65	2.488025e-83	628	106993	20952	8735766	26	hydrocodone bitartrate	pain	2.7	2.29	3.16	1.283022e-29	210	22018	616	174109	26	hydrocodone bitartrate	pain	27	74.4	1.44	0.81	2.44	0.1720011	17	3765	93	29735	26	hydrocodone bitartrate	pain	0.22	0.01	1.3	0.121249	1	1557	41	14082	26	hydrocodone bitartrate	pain	2.12	1.19	3.61	0.008593979	18	2996	69	24364	26	hydrocodone bitartrate	pain	0.4	1.49182469764127	0.25	0.1103894	-0.03	0	4.497936e-12	-0.13	0.19	0.4859837	8431288
27	ethinyl estradiol	1.04	0.93	1.16	0.4394821	348	136876	21232	8705883	27	ethinyl estradiol	contraception	2.42	1.85	3.17	2.674274e-11	127	52116	105	104287	27	ethinyl estradiol	contraception	16	35.1	1.96	0.77	4.44	0.1255521	8	3138	27	20741	27	ethinyl estradiol	contraception	0	0	Inf	1	0	5	0	17	27	ethinyl estradiol	contraception	1.92	0.8	4.13	0.09704404	9	4053	31	26751	27	ethinyl estradiol	contraception	0.65	1.9155408290139	0.38	0.08471707	-0.04	0.02	0.04213856	-10.36	493.24	0.9832404	8308668
28	iophendylate	0	0	283.59	1	0	7	21580	8842752	28	iophendylate	nuclear magnetic resonance imaging	0	0	Inf	1	0	2	0	7667	28	iophendylate	nuclear magnetic resonance imaging	NA	NA	0	0	Inf	1	0	0	0	0	28	iophendylate	nuclear magnetic resonance imaging	0	0	Inf	1	0	0	0	257	28	iophendylate	nuclear magnetic resonance imaging	0	0	Inf	1	0	0	0	561	28	iophendylate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	methamphetamine	3.49	2.21	5.25	5.241465e-07	23	2701	21557	8840058	29	methamphetamine	drug abuse	0	0	22.76	1	0	64	14	4715	29	methamphetamine	drug abuse	16	37.6	0	0	243.82	1	0	6	3	530	29	methamphetamine	drug abuse	0	0	60.68	1	0	8	7	589	29	methamphetamine	drug abuse	0	0	4884.84	1	0	5	1	677	29	methamphetamine	drug abuse	-13.67	1.15662994617537e-06	1660.11	0.9934317	-0.09	0.04	0.00818011	1.93	1.07	0.07195513	812878
30	dicumarol	0	0	51.83	1	0	31	21580	8842728	30	dicumarol	pulmonary hypertension	0	0	1374.6	1	0	7	23	42752	30	dicumarol	pulmonary hypertension	20.1	63.8	0	0	Inf	1	0	0	6	9524	30	dicumarol	pulmonary hypertension	0	0	Inf	1	0	0	1	4845	30	dicumarol	pulmonary hypertension	0	0	Inf	1	0	0	7	14523	30	dicumarol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	aminohippurate sodium	0	0	207.36	1	0	9	21580	8842750	31	aminohippurate sodium	renal transplant	0	0	7480.99	1	0	2	16	21705	31	aminohippurate sodium	renal transplant	52.1	57.7	0	0	Inf	1	0	0	0	475	31	aminohippurate sodium	renal transplant	0	0	Inf	1	0	0	2	2283	31	aminohippurate sodium	renal transplant	0	0	Inf	1	0	0	0	1514	31	aminohippurate sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	mannitol	0	0	0.45	0.0005886329	0	3327	21580	8839432	32	mannitol	prophylaxis	0	0	12.33	1	0	330	97	104403	32	mannitol	prophylaxis	23.3	78.2	0	0	54.25	1	0	93	19	23138	32	mannitol	prophylaxis	0	0	74.23	1	0	68	12	13730	32	mannitol	prophylaxis	0	0	158.46	1	0	38	11	14511	32	mannitol	prophylaxis	-11.63	8.89518890375525e-06	628.84	0.9852432	-0.02	0.01	0.0697896	0.19	0.42	0.6571457	8283708
33	tubocurarine chloride	136.61	2.6	1713.23	0.009702394	1	3	21579	8842756	33	tubocurarine chloride	anaesthesia	167.34	3.02	2133.46	0.008378798	1	3	13	6647	33	tubocurarine chloride	anaesthesia	17.4	65.7	0	0	Inf	1	0	0	4	541	33	tubocurarine chloride	anaesthesia	0	0	Inf	1	0	0	4	384	33	tubocurarine chloride	anaesthesia	0	0	Inf	1	0	0	1	494	33	tubocurarine chloride	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	triple sulfa\>	0	0	123.53	1	0	14	21580	8842745	35	triple sulfa\>	antibacterial prophylaxis	0	0	Inf	1	0	1	0	163	35	triple sulfa\>	antibacterial prophylaxis	NA	NA	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	antibacterial prophylaxis	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	antibacterial prophylaxis	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	sulfacetamide	0.77	0.02	4.29	1	1	535	21579	8842224	36	sulfacetamide	acne	0	0	4.87	1	0	66	407	34307	36	sulfacetamide	acne	15.7	43.7	0	0	55.95	1	0	12	19	2727	36	sulfacetamide	acne	0	0	181.15	1	0	5	8	1146	36	sulfacetamide	acne	0	0	56.47	1	0	14	15	2529	36	sulfacetamide	acne	-12.47	3.84014665764072e-06	906.48	0.9890217	-0.01	0.02	0.7009861	0.13	0.45	0.7788333	837178
38	nitrofurazone	0	0	123.53	1	0	14	21580	8842745	38	nitrofurazone	pain	0	0	359.79	1	0	4	826	196123	38	nitrofurazone	pain	27	74.4	0	0	Inf	1	0	0	110	33500	38	nitrofurazone	pain	0	0	Inf	1	0	0	42	15639	38	nitrofurazone	pain	0	0	Inf	1	0	0	87	27360	38	nitrofurazone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	diphenhydramine	1.53	1.35	1.72	4.563295e-11	277	74480	21303	8768279	39	diphenhydramine	premedication	0.2	0.02	0.84	0.01613379	2	10738	17	18102	39	diphenhydramine	premedication	38.5	72.9	0	0	47.9	1	0	1951	1	2397	39	diphenhydramine	premedication	0	0	8.71	0.5289082	0	1081	2	1766	39	diphenhydramine	premedication	0	0	5.51	0.5000319	0	2018	2	2088	39	diphenhydramine	premedication	-16.67	5.75852142065521e-08	1426.88	0.9906766	0	0.02	0.969508	0.17	1	0.8670866	869578
40	trimethadione	49.63	12.78	139.45	2.174914e-06	4	33	21576	8842726	40	trimethadione	epilepsy	0	0	122.95	1	0	13	124	45929	40	trimethadione	epilepsy	15	57.8	0	0	644.77	1	0	3	17	4262	40	trimethadione	epilepsy	0	0	12498.01	1	0	1	9	3583	40	trimethadione	epilepsy	0	0	537.76	1	0	4	13	4223	40	trimethadione	epilepsy	-9.88	5.11882778691264e-05	650.65	0.9878867	-0.01	0.01	0.5108961	-0.21	0.43	0.6367036	878338
41	folic acid	0.61	0.53	0.7	5.89005e-14	206	136663	21374	8706096	41	folic acid	rheumatoid arthritis	1.36	0.82	2.14	0.1952709	22	48684	138	414943	41	folic acid	rheumatoid arthritis	27.2	69.2	0.97	0.19	3.12	1	3	9275	32	96403	41	folic acid	rheumatoid arthritis	0	0	11.63	1	0	2194	5	23372	41	folic acid	rheumatoid arthritis	0.98	0.19	3.15	1	3	9759	31	99182	41	folic acid	rheumatoid arthritis	-0.12	0.886920436717157	0.6	0.8374822	-0.03	0.01	0.0009150934	-0.4	0.48	0.4007157	81345468
42	tripelennamine	0	0	147.82	1	0	12	21580	8842747	42	tripelennamine	drug abuse	0	0	560.95	1	0	4	14	4775	42	tripelennamine	drug abuse	16	37.6	0	0	Inf	1	0	0	3	536	42	tripelennamine	drug abuse	0	0	Inf	1	0	0	7	597	42	tripelennamine	drug abuse	0	0	Inf	1	0	0	1	682	42	tripelennamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	tripelennamine citrate	0	0	12787.93	1	0	1	21580	8842758	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	NA	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	dihydroergotamine mesylate	0.4	0.01	2.23	0.5292384	1	1028	21579	8841731	44	dihydroergotamine mesylate	migraine	0	0	3.97	1	0	181	218	41633	44	dihydroergotamine mesylate	migraine	30	58.2	0	0	102.16	1	0	17	14	5246	44	dihydroergotamine mesylate	migraine	0	0	9020.81	1	0	4	1	1076	44	dihydroergotamine mesylate	migraine	0	0	92.16	1	0	24	15	7427	44	dihydroergotamine mesylate	migraine	-11.3	1.23729242617882e-05	745.38	0.9878994	-0.01	0.02	0.6694725	-0.78	1.03	0.4492544	885478
45	protein hydrolysate	0	0	182.7	1	0	10	21580	8842749	45	protein hydrolysate	rheumatoid arthritis	0	0	16384	1	0	2	160	463625	45	protein hydrolysate	rheumatoid arthritis	27.2	69.2	0	0	Inf	1	0	0	35	105678	45	protein hydrolysate	rheumatoid arthritis	0	0	Inf	1	0	0	5	25566	45	protein hydrolysate	rheumatoid arthritis	0	0	Inf	1	0	0	34	108941	45	protein hydrolysate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	dimercaprol	0	0	446.6	1	0	5	21580	8842754	46	dimercaprol	status epilepticus	0	0	4.5036e+15	1	0	1	1	1846	46	dimercaprol	status epilepticus	52	52	0	0	Inf	1	0	0	0	0	46	dimercaprol	status epilepticus	0	0	Inf	1	0	1	0	204	46	dimercaprol	status epilepticus	0	0	Inf	1	0	0	1	245	46	dimercaprol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	sulfacetamide sodium	0.61	0.02	3.4	1	1	674	21579	8842085	47	sulfacetamide sodium	acne	0	0	5.66	1	0	57	407	34316	47	sulfacetamide sodium	acne	15.7	43.7	0	0	61.97	1	0	11	19	2728	47	sulfacetamide sodium	acne	0	0	141.78	1	0	6	8	1145	47	sulfacetamide sodium	acne	0	0	67.23	1	0	12	15	2531	47	sulfacetamide sodium	acne	-12.46	3.87874077317772e-06	931.1	0.9893189	-0.01	0.02	0.7048081	0.13	0.45	0.7747271	837178
48	sodium tetradecyl	0	0	15.88	1	0	97	21580	8842662	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	18	0	20	48	sodium tetradecyl	spider vein	NA	NA	0	0	Inf	1	0	0	0	0	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	0	0	1	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	0	0	1	48	sodium tetradecyl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	chloroquine phosphate	4.31	1.86	8.55	0.0007005269	8	760	21572	8841999	49	chloroquine phosphate	rheumatoid arthritis	18.61	2.23	68.92	0.00551639	2	315	158	463312	49	chloroquine phosphate	rheumatoid arthritis	27.2	69.2	0	0	1158.41	1	0	12	35	105666	49	chloroquine phosphate	rheumatoid arthritis	0	0	4.5036e+15	1	0	2	5	25564	49	chloroquine phosphate	rheumatoid arthritis	0	0	1124.16	1	0	13	34	108928	49	chloroquine phosphate	rheumatoid arthritis	-8.7	0.000166585810987634	612.25	0.9886565	-0.03	0.01	0.0008953103	-0.4	0.48	0.4014251	81345468
50	chloroquine	5.51	3.59	8.11	9.962253e-12	26	1934	21554	8840825	50	chloroquine	rheumatoid arthritis	22.99	9.06	48.6	4.48812e-08	7	921	153	462706	50	chloroquine	rheumatoid arthritis	27.2	69.2	0	0	77.41	1	0	153	35	105525	50	chloroquine	rheumatoid arthritis	0	0	1222.48	1	0	24	5	25542	50	chloroquine	rheumatoid arthritis	0	0	73.16	1	0	172	34	108769	50	chloroquine	rheumatoid arthritis	-10.57	2.56748151958574e-05	458.46	0.9816029	-0.03	0.01	0.0008850586	-0.4	0.48	0.4006015	81345468
51	mephenytoin	0	0	48.52	1	0	33	21580	8842726	51	mephenytoin	epilepsy	0	0	104.76	1	0	15	124	45927	51	mephenytoin	epilepsy	15	57.8	0	0	8487.03	1	0	1	17	4264	51	mephenytoin	epilepsy	0	0	Inf	1	0	0	9	3584	51	mephenytoin	epilepsy	0	0	10584.04	1	0	1	13	4226	51	mephenytoin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	ferrous	0.93	0.75	1.15	0.5694844	88	38639	21492	8804120	52	ferrous	hypertension	0.66	0.18	1.7	0.5389316	4	3296	591	320617	52	ferrous	hypertension	41.8	78.6	0.88	0.02	5.05	1	1	754	84	55746	52	ferrous	hypertension	2.73	0.07	16.57	0.3139625	1	398	29	31552	52	ferrous	hypertension	0	0	3.81	1	0	615	65	40012	52	ferrous	hypertension	-0.31	0.733446956224289	1.01	0.7613121	-0.03	0.01	2.026369e-05	-0.56	0.22	0.01165593	8726728
