results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex
12	sulfur	2.52	1.61	3.76	8.7e-05	25	465	185399	8678450	12	sulfur	acne	2.92	1.59	5.3	0.00035	22	28	7362	27368	12	sulfur	acne	14.4	46.1	0	0	4.68	0.61	0	8	343	2727	12	sulfur	acne	0	0	14.52	1	0	3	166	990	12	sulfur	acne	0	0	9.1	1	0	6	219	2333	12	sulfur	acne	-12.41	4.07760806517693e-06	291.56	0.97	-0.01	0	0.03	0.52	0.11	0
13	methyltestosterone	3.94	2.51	5.93	3.1e-08	25	297	185399	8678618	13	methyltestosterone	hormone replacement therapy	1.92	0.38	5.94	0.22	3	53	1166	39583	13	methyltestosterone	hormone replacement therapy	33.6	80	0	0	10.19	1	0	10	139	3141	13	methyltestosterone	hormone replacement therapy	0	0	26.41	1	0	4	68	1168	13	methyltestosterone	hormone replacement therapy	0	0	21.21	1	0	6	88	2166	13	methyltestosterone	hormone replacement therapy	-12.51	3.6895723534573e-06	457.95	0.98	-0.01	0.01	0.04	0.34	0.17	0.04
14	vasopressin tannate	0	0	27.42	1	0	8	185424	8678907	14	vasopressin tannate	systemic candida	0	0	1068.02	1	0	4	2	711	14	vasopressin tannate	systemic candida	71	71	0	0	Inf	1	0	0	0	0	14	vasopressin tannate	systemic candida	0	0	Inf	1	0	0	0	60	14	vasopressin tannate	systemic candida	0	0	Inf	1	0	0	1	46	14	vasopressin tannate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	ergocalciferol	1.74	1.69	1.79	2.9e-273	5049	137219	180375	8541696	15	ergocalciferol	osteoporosis	1.46	1.37	1.56	1.6e-27	1110	15606	6960	142812	15	ergocalciferol	osteoporosis	52.4	84	1.7	1.28	2.24	0.00026	62	1953	420	22544	15	ergocalciferol	osteoporosis	2.53	0.75	6.86	0.067	5	223	24	2714	15	ergocalciferol	osteoporosis	2.09	1.62	2.68	4.2e-08	78	2097	447	25133	15	ergocalciferol	osteoporosis	0.73	2.07508060767412	0.12	0	-0.01	0	0	-0.7	0.19	0
16	menadiol sodium diphosphate	0	0	249.4	1	0	2	185424	8678913	16	menadiol sodium diphosphate	cystic fibrosis	0	0	4212.72	1	0	1	86	9943	16	menadiol sodium diphosphate	cystic fibrosis	14.4	63.7	0	0	Inf	1	0	0	33	3457	16	menadiol sodium diphosphate	cystic fibrosis	0	0	Inf	1	0	0	19	2050	16	menadiol sodium diphosphate	cystic fibrosis	0	0	Inf	1	0	0	18	2420	16	menadiol sodium diphosphate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	estrone	1.59	1.05	2.31	0.022	28	826	185396	8678089	17	estrone	hormone replacement therapy	0.19	0	1.05	0.07	1	182	1168	39454	17	estrone	hormone replacement therapy	33.6	80	0	0	55.16	1	0	3	139	3148	17	estrone	hormone replacement therapy	0	0	Inf	1	0	0	68	1172	17	estrone	hormone replacement therapy	0	0	60.28	1	0	3	88	2169	17	estrone	hormone replacement therapy	-11.3	1.23729242617882e-05	509.22	0.98	-0.01	0.01	0.04	0.34	0.17	0.04
18	diethylstilbestrol	1.84	0.59	4.41	0.21	5	127	185419	8678788	18	diethylstilbestrol	prostate cancer	4.71	0.94	14.65	0.029	3	50	580	45562	18	diethylstilbestrol	prostate cancer	57.4	90.3	0	0	3703.39	1	0	1	133	13404	18	diethylstilbestrol	prostate cancer	0	0	3615.76	1	0	1	149	14640	18	diethylstilbestrol	prostate cancer	0	0	Inf	1	0	0	0	51	18	diethylstilbestrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	sulfadiazine	2.07	1.53	2.73	3.3e-06	52	1178	185372	8677737	19	sulfadiazine	hiv infection	1.86	0.5	4.9	0.18	4	125	994	57768	19	sulfadiazine	hiv infection	24	63	0	0	27.97	1	0	7	188	7527	19	sulfadiazine	hiv infection	0	0	21.03	1	0	8	159	5657	19	sulfadiazine	hiv infection	0	0	152.33	1	0	3	55	3421	19	sulfadiazine	hiv infection	-10.86	1.92115288153726e-05	265.24	0.97	0	0	0.97	0.56	0.16	0
20	sulfadiazine sodium	0	0	113.6	1	0	3	185424	8678912	20	sulfadiazine sodium	anaemia	0	0	1753.09	1	0	1	421	19456	20	sulfadiazine sodium	anaemia	23	84.7	0	0	Inf	1	0	0	57	4078	20	sulfadiazine sodium	anaemia	0	0	Inf	1	0	0	15	1857	20	sulfadiazine sodium	anaemia	0	0	2068.17	1	0	1	50	2739	20	sulfadiazine sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	alcohol	2.54	2.32	2.77	1e-72	515	9511	184909	8669404	21	alcohol	depression	1.6	1.31	1.93	4.6e-06	126	713	20552	185765	21	alcohol	depression	21	75.4	3.22	1.47	6.53	0.002	11	34	2850	28399	21	alcohol	depression	3.25	0.94	9.11	0.031	5	18	871	10190	21	alcohol	depression	5.39	2.44	11.31	2.7e-05	12	23	2295	23725	21	alcohol	depression	1.42	4.13712044025139	0.29	0	-0.01	0	0	-0.14	0.04	0
22	dextrose	0.11	0.09	0.13	0	168	71806	185256	8607109	22	dextrose	peritoneal dialysis	0.91	0.67	1.24	0.59	78	55694	95	61853	22	dextrose	peritoneal dialysis	34.8	80.6	0.4	0.12	2.11	0.14	22	15271	3	841	22	dextrose	peritoneal dialysis	0.4	0.09	3.68	0.22	12	9489	2	632	22	dextrose	peritoneal dialysis	0.68	0.1	28.91	0.51	14	8517	1	415	22	dextrose	peritoneal dialysis	-0.69	0.501576069066056	0.61	0.26	0.01	0.01	0.61	-0.23	0.37	0.55
23	estrogens	2.11	2.04	2.18	0	3530	79149	181894	8599766	23	estrogens	hormone replacement therapy	0.49	0.44	0.56	4.6e-31	633	27952	536	11684	23	estrogens	hormone replacement therapy	33.6	80	1	0.61	1.56	1	25	569	114	2582	23	estrogens	hormone replacement therapy	0	0	Inf	1	0	0	68	1172	23	estrogens	hormone replacement therapy	1.63	1.02	2.58	0.031	35	625	53	1547	23	estrogens	hormone replacement therapy	0.58	1.78603843075007	0.23	0.01	-0.02	0.01	0.01	0.53	0.19	0
24	meperidine	3.63	3.3	3.98	1.3e-117	488	6308	184936	8672607	24	meperidine	pain	2.66	2.2	3.19	5.1e-21	134	1053	8935	186831	24	meperidine	pain	25	79	0.69	0.14	2.06	0.8	3	135	1146	35530	24	meperidine	pain	0.61	0.02	3.55	1	1	60	416	15204	24	meperidine	pain	1.03	0.21	3.13	0.77	3	89	863	26492	24	meperidine	pain	-0.2	0.818730753077982	0.51	0.69	-0.01	0	0	-0.16	0.06	0.01
25	homatropine methylbromide	2.65	1.73	3.9	1.2e-05	27	477	185397	8678438	25	homatropine methylbromide	cough	1.47	0.3	4.45	0.46	3	118	246	14224	25	homatropine methylbromide	cough	14	78	0	0	12.22	1	0	24	44	3116	25	homatropine methylbromide	cough	0	0	55.1	1	0	16	9	1592	25	homatropine methylbromide	cough	0	0	21.06	1	0	12	43	2428	25	homatropine methylbromide	cough	-12.92	2.44858561526798e-06	731.25	0.99	-0.01	0.01	0.13	-1.16	0.37	0
26	hydrocodone bitartrate	3.53	3.45	3.62	0	7350	100271	178074	8578644	26	hydrocodone bitartrate	pain	2.59	2.46	2.72	1.4e-254	2144	20084	6925	167800	26	hydrocodone bitartrate	pain	25	79	1.63	1.39	1.91	7.5e-09	193	3927	956	31738	26	hydrocodone bitartrate	pain	1.48	1.1	1.97	0.0078	58	1500	359	13764	26	hydrocodone bitartrate	pain	1.91	1.6	2.28	1e-11	162	2852	704	23729	26	hydrocodone bitartrate	pain	0.58	1.78603843075007	0.08	0	-0.01	0	0	-0.15	0.06	0.01
27	ethinyl estradiol	2.34	2.28	2.4	0	6400	130824	179024	8548091	27	ethinyl estradiol	contraception	1.55	1.47	1.63	4.4e-62	2712	49531	3559	100833	27	ethinyl estradiol	contraception	19	42	0.71	0.6	0.84	5.6e-05	154	3215	1392	20643	27	ethinyl estradiol	contraception	Inf	0.09	Inf	0.23	1	4	0	17	27	ethinyl estradiol	contraception	0.75	0.64	0.88	0.00032	183	3879	1577	25205	27	ethinyl estradiol	contraception	-0.28	0.755783741455725	0.08	0	-0.01	0	0	-0.27	1.02	0.79
28	iophendylate	0	0	32.47	1	0	7	185424	8678908	28	iophendylate	nuclear magnetic resonance imaging	0	0	190.53	1	0	2	209	7458	28	iophendylate	nuclear magnetic resonance imaging	NA	NA	0	0	Inf	1	0	0	0	0	28	iophendylate	nuclear magnetic resonance imaging	0	0	Inf	1	0	0	0	257	28	iophendylate	nuclear magnetic resonance imaging	0	0	Inf	1	0	0	0	561	28	iophendylate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	methamphetamine	1.65	1.33	2.04	8.7e-06	93	2631	185331	8676284	29	methamphetamine	drug abuse	1.01	0.02	6.03	1	1	63	73	4656	29	methamphetamine	drug abuse	22.7	72.8	0	0	31.11	1	0	9	18	1021	29	methamphetamine	drug abuse	0	0	60.68	1	0	8	7	589	29	methamphetamine	drug abuse	0	0	60.82	1	0	5	13	665	29	methamphetamine	drug abuse	-13.16	1.92612566517659e-06	1090.36	0.99	0.02	0.01	0.07	-0.41	0.48	0.39
30	dicumarol	0	0	5.91	1	0	31	185424	8678884	30	dicumarol	pulmonary hypertension	0	0	123.43	1	0	7	241	42534	30	dicumarol	pulmonary hypertension	24.2	78	0	0	Inf	1	0	0	106	15804	30	dicumarol	pulmonary hypertension	0	0	Inf	1	0	0	32	4814	30	dicumarol	pulmonary hypertension	0	0	Inf	1	0	0	90	14440	30	dicumarol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	aminohippurate sodium	0	0	23.72	1	0	9	185424	8678906	31	aminohippurate sodium	renal transplant	0	0	979.73	1	0	2	113	21608	31	aminohippurate sodium	renal transplant	53.6	74.2	0	0	Inf	1	0	0	6	1788	31	aminohippurate sodium	renal transplant	0	0	Inf	1	0	0	2	2283	31	aminohippurate sodium	renal transplant	0	0	Inf	1	0	0	6	1508	31	aminohippurate sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	mannitol	4.39	3.87	4.96	2.2e-86	285	3042	185139	8675873	32	mannitol	prophylaxis	0.56	0.12	1.66	0.5	3	327	1674	102826	32	mannitol	prophylaxis	27	79.5	0	0	3.38	0.63	0	91	284	23084	32	mannitol	prophylaxis	0	0	6.06	1	0	68	127	13615	32	mannitol	prophylaxis	0	0	7.76	1	0	38	190	14332	32	mannitol	prophylaxis	-12.1	5.55951324165015e-06	232.39	0.96	-0.01	0	0.01	-0.33	0.12	0
33	tubocurarine chloride	0	0	70.9	1	0	4	185424	8678911	33	tubocurarine chloride	anaesthesia	0	0	415.8	1	0	4	25	6635	33	tubocurarine chloride	anaesthesia	23.5	67.5	0	0	Inf	1	0	0	0	521	33	tubocurarine chloride	anaesthesia	0	0	Inf	1	0	0	0	388	33	tubocurarine chloride	anaesthesia	0	0	Inf	1	0	0	2	493	33	tubocurarine chloride	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	triple sulfa\>	0	0	14.11	1	0	14	185424	8678901	35	triple sulfa\>	antibacterial prophylaxis	0	0	664.7	1	0	1	9	154	35	triple sulfa\>	antibacterial prophylaxis	NA	NA	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	antibacterial prophylaxis	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	antibacterial prophylaxis	0	0	Inf	1	0	0	0	0	35	triple sulfa\>	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	sulfacetamide	2.1	1.32	3.18	0.0013	23	513	185401	8678402	36	sulfacetamide	acne	0.12	0.01	0.44	5.4e-05	2	64	7382	27332	36	sulfacetamide	acne	14.4	46.1	0.57	0.01	3.76	1	1	14	342	2721	36	sulfacetamide	acne	0	0	6.55	1	0	5	166	988	36	sulfacetamide	acne	0.82	0.02	5.51	1	1	13	218	2326	36	sulfacetamide	acne	-0.7	0.49658530379141	1.03	0.5	-0.01	0	0.03	0.52	0.11	0
38	nitrofurazone	0	0	14.11	1	0	14	185424	8678901	38	nitrofurazone	pain	0	0	31.39	1	0	4	9069	187880	38	nitrofurazone	pain	25	79	0	0	Inf	1	0	0	1149	35665	38	nitrofurazone	pain	0	0	Inf	1	0	0	417	15264	38	nitrofurazone	pain	0	0	Inf	1	0	0	866	26581	38	nitrofurazone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	diphenhydramine	1.49	1.43	1.55	5.3e-69	2294	72463	183130	8606452	39	diphenhydramine	premedication	0.82	0.67	1	0.056	149	10591	305	17814	39	diphenhydramine	premedication	26.8	74	2.12	1.39	3.28	0.00025	64	2324	37	2847	39	diphenhydramine	premedication	1.56	0.77	3.15	0.18	18	1063	19	1749	39	diphenhydramine	premedication	2.32	1.4	3.95	5e-04	53	1965	24	2066	39	diphenhydramine	premedication	0.71	2.03399125864675	0.2	0	0	0	0.36	-0.29	0.2	0.16
40	trimethadione	2.67	0.31	10.41	0.18	2	35	185422	8678880	40	trimethadione	epilepsy	0	0	13.8	1	0	13	1071	44982	40	trimethadione	epilepsy	14.9	74.1	0	0	83.95	1	0	3	161	5556	40	trimethadione	epilepsy	0	0	1710.55	1	0	1	78	3514	40	trimethadione	epilepsy	0	0	62.53	1	0	4	101	4135	40	trimethadione	epilepsy	-10.69	2.27715183061422e-05	394.59	0.98	0.01	0	0.06	-0.1	0.15	0.53
41	folic acid	1.06	1.02	1.1	0.0032	3019	133850	182405	8545065	41	folic acid	rheumatoid arthritis	1.57	1.45	1.7	2e-26	741	47965	4046	411035	41	folic acid	rheumatoid arthritis	34.5	75.7	1.79	1.53	2.08	2.6e-12	198	10145	1139	104288	41	folic acid	rheumatoid arthritis	1.94	1.33	2.77	0.00053	38	2156	210	23167	41	folic acid	rheumatoid arthritis	1.7	1.44	1.99	1.5e-09	176	9586	1063	98150	41	folic acid	rheumatoid arthritis	0.56	1.7506725002961	0.07	0	-0.01	0	0	-0.14	0.07	0.04
42	tripelennamine	0	0	16.84	1	0	12	185424	8678903	42	tripelennamine	drug abuse	0	0	97.73	1	0	4	74	4715	42	tripelennamine	drug abuse	22.7	72.8	0	0	Inf	1	0	0	18	1030	42	tripelennamine	drug abuse	0	0	Inf	1	0	0	7	597	42	tripelennamine	drug abuse	0	0	Inf	1	0	0	13	670	42	tripelennamine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	tripelennamine citrate	0	0	1774.83	1	0	1	185424	8678914	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	NA	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	0	0	Inf	1	0	0	0	0	43	tripelennamine citrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	dihydroergotamine mesylate	1.6	1.1	2.25	0.012	34	995	185390	8677920	44	dihydroergotamine mesylate	migraine	1.32	0.59	2.57	0.43	9	172	1596	40255	44	dihydroergotamine mesylate	migraine	20	66.1	0	0	5.94	1	0	25	192	7109	44	dihydroergotamine mesylate	migraine	0	0	51.02	1	0	4	32	1045	44	dihydroergotamine mesylate	migraine	0	0	6.61	1	0	24	184	7258	44	dihydroergotamine mesylate	migraine	-11.97	6.33133147706026e-06	274.61	0.97	-0.01	0	0.05	0.18	0.19	0.35
45	protein hydrolysate	0	0	20.87	1	0	10	185424	8678905	45	protein hydrolysate	rheumatoid arthritis	0	0	505.72	1	0	2	4787	458998	45	protein hydrolysate	rheumatoid arthritis	34.5	75.7	0	0	Inf	1	0	0	1337	114433	45	protein hydrolysate	rheumatoid arthritis	0	0	Inf	1	0	0	248	25323	45	protein hydrolysate	rheumatoid arthritis	0	0	Inf	1	0	0	1239	107736	45	protein hydrolysate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	dimercaprol	0	0	51.08	1	0	5	185424	8678910	46	dimercaprol	status epilepticus	0	0	4731.38	1	0	1	14	1833	46	dimercaprol	status epilepticus	47.8	67.1	0	0	Inf	1	0	0	1	98	46	dimercaprol	status epilepticus	0	0	Inf	1	0	1	0	204	46	dimercaprol	status epilepticus	0	0	Inf	1	0	0	3	243	46	dimercaprol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	sulfacetamide sodium	2.64	1.83	3.69	5.5e-07	36	639	185388	8678276	47	sulfacetamide sodium	acne	0.13	0.02	0.51	0.00027	2	55	7382	27341	47	sulfacetamide sodium	acne	14.4	46.1	0.61	0.01	4.1	1	1	13	342	2722	47	sulfacetamide sodium	acne	0	0	5.1	0.6	0	6	166	987	47	sulfacetamide sodium	acne	0.97	0.02	6.74	1	1	11	218	2328	47	sulfacetamide sodium	acne	-0.67	0.511708577786542	1.03	0.52	-0.01	0	0.03	0.53	0.11	0
48	sodium tetradecyl	0	0	1.81	0.27	0	97	185424	8678818	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	18	0	20	48	sodium tetradecyl	spider vein	NA	NA	0	0	Inf	1	0	0	0	0	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	0	0	1	48	sodium tetradecyl	spider vein	0	0	Inf	1	0	0	0	1	48	sodium tetradecyl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	chloroquine phosphate	0.93	0.52	1.55	0.9	15	753	185409	8678162	49	chloroquine phosphate	rheumatoid arthritis	1.85	0.67	4.08	0.15	6	311	4781	458689	49	chloroquine phosphate	rheumatoid arthritis	34.5	75.7	0	0	28.12	1	0	13	1337	114420	49	chloroquine phosphate	rheumatoid arthritis	0	0	540.27	1	0	2	248	25321	49	chloroquine phosphate	rheumatoid arthritis	0	0	28.57	1	0	13	1239	107723	49	chloroquine phosphate	rheumatoid arthritis	-9.14	0.000107287329511708	138.16	0.95	-0.01	0	0	-0.15	0.07	0.04
50	chloroquine	1.4	1.06	1.82	0.014	57	1903	185367	8677012	50	chloroquine	rheumatoid arthritis	2.88	1.89	4.23	2.5e-06	27	901	4760	458099	50	chloroquine	rheumatoid arthritis	34.5	75.7	3.26	1.18	7.27	0.012	6	158	1331	114275	50	chloroquine	rheumatoid arthritis	0	0	17.06	1	0	24	248	25299	50	chloroquine	rheumatoid arthritis	3.15	1.14	7.03	0.014	6	166	1233	107570	50	chloroquine	rheumatoid arthritis	1	2.71828182845905	0.42	0.02	-0.01	0	0	-0.15	0.07	0.04
51	mephenytoin	0	0	5.54	1	0	33	185424	8678882	51	mephenytoin	epilepsy	0	0	11.72	1	0	15	1071	44980	51	mephenytoin	epilepsy	14.9	74.1	0	0	1318.86	1	0	1	161	5558	51	mephenytoin	epilepsy	0	0	Inf	1	0	0	78	3515	51	mephenytoin	epilepsy	0	0	1559.31	1	0	1	101	4138	51	mephenytoin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	ferrous	1.24	1.16	1.32	1.3e-10	997	37730	184427	8641185	52	ferrous	hypertension	1.22	0.98	1.49	0.068	96	3204	7729	313479	52	ferrous	hypertension	36.8	82.7	0.59	0.27	1.14	0.15	9	855	1093	61652	52	ferrous	hypertension	0.35	0.04	1.28	0.19	2	397	447	31134	52	ferrous	hypertension	0.59	0.23	1.22	0.18	7	608	770	39307	52	ferrous	hypertension	-0.67	0.511708577786542	0.34	0.05	-0.02	0	0	-0.34	0.06	0
53	methylergonovine maleate	0.99	0.55	1.65	1	15	708	185409	8678207	53	methylergonovine maleate	foetal exposure during pregnancy	46.54	0.85	607.77	0.029	1	3	20	2826	53	methylergonovine maleate	foetal exposure during pregnancy	NA	NA	0	0	Inf	1	0	0	0	0	53	methylergonovine maleate	foetal exposure during pregnancy	0	0	Inf	1	0	0	0	65	53	methylergonovine maleate	foetal exposure during pregnancy	0	0	Inf	1	0	0	0	39	53	methylergonovine maleate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
