results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg	count	count_change	count_label
563	arginine	0.84	0.38	1.59	0.7583676	9	1445	65601	8797284	563	arginine	hypertension	1.32	0.16	4.81	0.6673006	2	242	2023	322241	563	arginine	hypertension	33	78	0	0	10.11	1	0	68	315	56822	563	arginine	hypertension	0	0	49.01	1	0	41	63	31876	563	arginine	hypertension	0	0	14.73	1	0	37	289	40366	563	arginine	hypertension	-11.14	1.45197611271668e-05	262.15	0.9660896	-0.04	0	8.099699e-35	-1.33	0.14	1.737489e-21	8726728	161	161	80
55	ascorbic acid	2.56	2.33	2.8	1.944647e-70	484	25495	65126	8773234	55	ascorbic acid	hypertension	2.86	1.98	4.01	1.052741e-07	35	1968	1990	320515	55	ascorbic acid	hypertension	33	78	0	0	5.39	1	0	126	315	56764	55	ascorbic acid	hypertension	0	0	23.63	1	0	83	63	31834	55	ascorbic acid	hypertension	0	0	5.22	1	0	101	289	40302	55	ascorbic acid	hypertension	-12.05	5.84455558086657e-06	279.1	0.9655518	-0.04	0	9.412634e-35	-1.33	0.14	1.688757e-21	8726728	161	161	80
106	aspirin	1.3	1.25	1.34	3.177689e-46	3425	357989	62185	8440740	106	aspirin	hypertension	1.42	1.26	1.59	1.10141e-08	353	41827	1672	280656	106	aspirin	hypertension	33	78	0.81	0.55	1.16	0.274561	34	7400	281	49490	106	aspirin	hypertension	0.95	0.41	1.95	1	9	4745	54	27172	106	aspirin	hypertension	0.8	0.52	1.19	0.3131536	28	4757	261	35646	106	aspirin	hypertension	0	1	0.18	0.9862136	-0.04	0	2.334223e-34	-1.33	0.14	1.832031e-21	8726728	161	161	80
767	atenolol	1.83	1.74	1.93	4.140725e-95	1451	107327	64159	8691402	767	atenolol	hypertension	1.33	1.14	1.55	0.0002495222	195	23892	1830	298591	767	atenolol	hypertension	33	78	0.85	0.5	1.37	0.5714938	18	3778	297	53112	767	atenolol	hypertension	1.69	0.59	3.91	0.2728086	6	1874	57	30043	767	atenolol	hypertension	0.72	0.4	1.21	0.2486643	15	2854	274	37549	767	atenolol	hypertension	-0.15	0.860707976425058	0.23	0.5140605	-0.04	0	8.475394e-35	-1.33	0.14	1.553315e-21	8726728	161	161	80
1259	atorvastatin calcium	1.69	1.62	1.76	1.241663e-113	2272	182687	63338	8616042	1259	atorvastatin calcium	hypertension	2.75	2.44	3.1	2.377995e-50	329	21222	1696	301261	1259	atorvastatin calcium	hypertension	33	78	9.79	7.67	12.44	7.481814e-59	110	2956	205	53934	1259	atorvastatin calcium	hypertension	0.91	0.18	2.81	1	3	1654	60	30263	1259	atorvastatin calcium	hypertension	11.51	8.95	14.75	1.120568e-63	109	2019	180	38384	1259	atorvastatin calcium	hypertension	2.26	9.58308916676438	0.12	3.116699e-82	-0.04	0	2.960321e-38	-1.32	0.14	3.097715e-21	8726728	161	161	80
2203	avelumab	0	0	322.41	1	0	3	65610	8798726	2203	avelumab	hypertension	0	0	5661.46	1	0	1	2025	322482	2203	avelumab	hypertension	33	78	0	0	Inf	1	0	0	315	56890	2203	avelumab	hypertension	0	0	Inf	1	0	0	63	31917	2203	avelumab	hypertension	0	0	Inf	1	0	0	289	40403	2203	avelumab	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
1968	azilsartan kamedoxomil	0.17	0	0.95	0.03589712	1	786	65609	8797943	1968	azilsartan kamedoxomil	hypertension	0	0	1.6	0.1824688	0	369	2025	322114	1968	azilsartan kamedoxomil	hypertension	33	78	0	0	9.27	1	0	74	315	56816	1968	azilsartan kamedoxomil	hypertension	0	0	65.67	1	0	31	63	31886	1968	azilsartan kamedoxomil	hypertension	0	0	9.39	1	0	57	289	40346	1968	azilsartan kamedoxomil	hypertension	-11.24	1.31380231688045e-05	249.66	0.9640911	-0.04	0	8.631124e-35	-1.33	0.14	1.678391e-21	8726728	161	161	80
1034	benazepril	2.58	2.35	2.82	3.615004e-70	474	24765	65136	8773964	1034	benazepril	hypertension	1.69	1.28	2.18	0.0002133259	61	5830	1964	316653	1034	benazepril	hypertension	33	78	1.54	0.66	3.08	0.2613873	8	947	307	55943	1034	benazepril	hypertension	2.98	0.6	9.19	0.08648569	3	526	60	31391	1034	benazepril	hypertension	1.65	0.66	3.47	0.2115639	7	598	282	39805	1034	benazepril	hypertension	0.71	2.03399125864675	0.32	0.02776425	-0.04	0	5.791197e-35	-1.33	0.14	1.34781e-21	8726728	161	161	80
365	bendroflumethiazide	0.48	0.32	0.68	4.722337e-06	31	8738	65579	8789991	365	bendroflumethiazide	hypertension	1.21	0.71	1.91	0.4324801	18	2382	2007	320101	365	bendroflumethiazide	hypertension	33	78	0	0	2.42	0.4127391	0	277	315	56613	365	bendroflumethiazide	hypertension	0	0	13.56	1	0	143	63	31774	365	bendroflumethiazide	hypertension	0	0	2.24	0.418899	0	232	289	40171	365	bendroflumethiazide	hypertension	-12.05	5.84455558086657e-06	197.54	0.9513458	-0.04	0	1.368052e-34	-1.33	0.14	1.568894e-21	8726728	161	161	80
360	benzthiazide	0	0	12.32	1	0	42	65610	8798687	360	benzthiazide	hypertension	0	0	63.39	1	0	11	2025	322472	360	benzthiazide	hypertension	33	78	0	0	Inf	1	0	0	315	56890	360	benzthiazide	hypertension	0	0	Inf	1	0	0	63	31917	360	benzthiazide	hypertension	0	0	Inf	1	0	0	289	40403	360	benzthiazide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
932	betaxolol	1.76	1.11	2.65	0.01172342	23	1755	65587	8796974	932	betaxolol	hypertension	0.46	0.01	2.58	0.7303131	1	347	2024	322136	932	betaxolol	hypertension	33	78	0	0	14.49	1	0	48	315	56842	932	betaxolol	hypertension	0	0	76.04	1	0	27	63	31890	932	betaxolol	hypertension	0	0	12.01	1	0	45	289	40358	932	betaxolol	hypertension	-11.09	1.52642051992746e-05	272.46	0.9675389	-0.04	0	8.959939e-35	-1.33	0.14	1.687329e-21	8726728	161	161	80
1062	bisoprolol fumarate	1.07	0.91	1.25	0.3879069	160	20038	65450	8778691	1062	bisoprolol fumarate	hypertension	1.79	1.32	2.38	0.0001835563	50	4488	1975	317995	1062	bisoprolol fumarate	hypertension	33	78	1.76	0.36	5.24	0.2471273	3	309	312	56581	1062	bisoprolol fumarate	hypertension	0	0	9.14	1	0	211	63	31706	1062	bisoprolol fumarate	hypertension	1.77	0.36	5.29	0.2453381	3	238	286	40165	1062	bisoprolol fumarate	hypertension	0.52	1.68202764969889	0.58	0.3687154	-0.04	0	6.701856e-35	-1.33	0.14	1.640284e-21	8726728	161	161	80
762	bumetanide	2.26	1.95	2.62	1.064574e-22	187	11097	65423	8787632	762	bumetanide	hypertension	2.44	1.39	3.99	0.001376553	16	1050	2009	321433	762	bumetanide	hypertension	33	78	0	0	3.24	0.6342215	0	208	315	56682	762	bumetanide	hypertension	0	0	15.81	1	0	123	63	31794	762	bumetanide	hypertension	0	0	3.42	0.6315971	0	153	289	40250	762	bumetanide	hypertension	-12.01	6.08307641893218e-06	230.12	0.9583777	-0.04	0	1.094121e-34	-1.33	0.14	1.668548e-21	8726728	161	161	80
1198	butenafine	0.64	0.13	1.89	0.6391681	3	624	65607	8798105	1198	butenafine	hypertension	0	0	11.96	1	0	51	2025	322432	1198	butenafine	hypertension	33	78	0	0	435.96	1	0	3	315	56887	1198	butenafine	hypertension	0	0	Inf	1	0	0	63	31917	1198	butenafine	hypertension	0	0	336.97	1	0	3	289	40400	1198	butenafine	hypertension	-7.22	0.000731802418880473	187.19	0.9692154	-0.04	0	8.466697e-35	-1.33	0.14	1.700352e-21	8726728	161	161	80
779	calcifediol	0	0	2.64	0.6538835	0	189	65610	8798540	779	calcifediol	hypertension	0	0	14.63	1	0	42	2025	322441	779	calcifediol	hypertension	33	78	0	0	197.67	1	0	5	315	56885	779	calcifediol	hypertension	0	0	1268.26	1	0	3	63	31914	779	calcifediol	hypertension	0	0	336.97	1	0	3	289	40400	779	calcifediol	hypertension	-7.88	0.000378233056782626	211	0.9702136	-0.04	0	8.451474e-35	-1.33	0.14	1.705286e-21	8726728	161	161	80
735	calcitriol	1.93	1.64	2.24	2.878098e-14	167	11645	65443	8787084	735	calcitriol	hypertension	1.95	1.09	3.24	0.01676326	15	1229	2010	321254	735	calcitriol	hypertension	33	78	0	0	2.62	0.4106264	0	256	315	56634	735	calcitriol	hypertension	0	0	12.5	1	0	155	63	31762	735	calcitriol	hypertension	0	0	2.85	0.6442387	0	183	289	40220	735	calcitriol	hypertension	-12.31	4.50645384894425e-06	204.67	0.9520399	-0.04	0	5.576254e-35	-1.33	0.14	1.728686e-21	8726728	161	161	80
1302	candesartan cilexetil	0.82	0.7	0.97	0.01631556	153	24867	65457	8773862	1302	candesartan cilexetil	hypertension	0.64	0.43	0.91	0.01021036	31	7654	1994	314829	1302	candesartan cilexetil	hypertension	33	78	1.28	0.41	3.04	0.6025984	5	706	310	56184	1302	candesartan cilexetil	hypertension	1.32	0.03	7.66	0.535959	1	386	62	31531	1302	candesartan cilexetil	hypertension	1.03	0.28	2.69	0.7973344	4	541	285	39862	1302	candesartan cilexetil	hypertension	0.16	1.17351087099181	0.45	0.7186086	-0.04	0	7.858891e-35	-1.33	0.14	1.716514e-21	8726728	161	161	80
784	captopril	2.59	2.24	2.99	2.472097e-30	195	10109	65415	8788620	784	captopril	hypertension	1.97	1.35	2.79	0.0005014095	33	2687	1992	319796	784	captopril	hypertension	33	78	1.13	0.14	4.16	0.6978057	2	319	313	56571	784	captopril	hypertension	6.94	0.81	26.59	0.03628594	2	150	61	31767	784	captopril	hypertension	0	0	2.25	0.4184051	0	231	289	40172	784	captopril	hypertension	-0.2	0.818730753077982	0.71	0.7822277	-0.04	0	8.388801e-35	-1.33	0.14	1.70388e-21	8726728	161	161	80
1141	carvedilol	1.93	1.81	2.05	9.194903e-78	1014	71079	64596	8727650	1141	carvedilol	hypertension	1.67	1.38	2	2.880927e-07	123	12038	1902	310445	1141	carvedilol	hypertension	33	78	1.45	0.87	2.28	0.1303162	20	2545	295	54345	1141	carvedilol	hypertension	2.58	1.06	5.46	0.0187589	8	1704	55	30213	1141	carvedilol	hypertension	1.11	0.57	1.98	0.6416479	12	1514	277	38889	1141	carvedilol	hypertension	0.44	1.55270721851134	0.23	0.0594504	-0.04	0	4.848224e-35	-1.34	0.14	1.022364e-21	8726728	161	161	80
1580	carvedilol phosphate	0.39	0.17	0.77	0.003528565	8	2747	65602	8795982	1580	carvedilol phosphate	hypertension	0.61	0.12	1.78	0.6452792	3	786	2022	321697	1580	carvedilol phosphate	hypertension	33	78	0	0	11.92	1	0	58	315	56832	1580	carvedilol phosphate	hypertension	0	0	70.51	1	0	29	63	31888	1580	carvedilol phosphate	hypertension	0	0	13.94	1	0	39	289	40364	1580	carvedilol phosphate	hypertension	-11.05	1.58871492308885e-05	283.73	0.9689459	-0.04	0	8.987608e-35	-1.33	0.14	1.710327e-21	8726728	161	161	80
1838	cefuroxime	3.75	3.22	4.34	6.150243e-48	182	6527	65428	8792202	1838	cefuroxime	hypertension	2.51	0.91	5.51	0.03637284	6	382	2019	322101	1838	cefuroxime	hypertension	33	78	0	0	11.92	1	0	58	315	56832	1838	cefuroxime	hypertension	0	0	57.72	1	0	35	63	31882	1838	cefuroxime	hypertension	0	0	11.47	1	0	47	289	40356	1838	cefuroxime	hypertension	-11.27	1.27497359038232e-05	252.82	0.9644362	-0.04	0	7.832012e-35	-1.33	0.14	1.665519e-21	8726728	161	161	80
1784	cefuroxime axetil	6.4	5.35	7.59	9.774881e-62	138	2898	65472	8795831	1784	cefuroxime axetil	hypertension	10.93	4.6	22.29	1.398635e-06	8	117	2017	322366	1784	cefuroxime axetil	hypertension	33	78	7.24	0.18	44.53	0.1337627	1	25	314	56865	1784	cefuroxime axetil	hypertension	0	0	186.43	1	0	12	63	31905	1784	cefuroxime axetil	hypertension	8.25	0.2	53.01	0.1204294	1	17	288	40386	1784	cefuroxime axetil	hypertension	1.9	6.68589444227927	1.03	0.06420953	-0.04	0	8.732601e-35	-1.33	0.14	1.776964e-21	8726728	161	161	80
287	chlorothiazide	4.25	2.68	6.43	2.05618e-08	23	726	65587	8798003	287	chlorothiazide	hypertension	0	0	7.33	1	0	82	2025	322401	287	chlorothiazide	hypertension	33	78	0	0	106.48	1	0	8	315	56882	287	chlorothiazide	hypertension	0	0	1268.26	1	0	3	63	31914	287	chlorothiazide	hypertension	0	0	118.84	1	0	6	289	40397	287	chlorothiazide	hypertension	-9.94	4.82073046323988e-05	281.32	0.9718131	-0.04	0	7.886075e-35	-1.33	0.14	1.687527e-21	8726728	161	161	80
374	chlorthalidone	1.45	1.11	1.87	0.005279718	61	5635	65549	8793094	374	chlorthalidone	hypertension	0.81	0.37	1.55	0.6499745	9	1761	2016	320722	374	chlorthalidone	hypertension	33	78	0.97	0.12	3.55	1	2	373	313	56517	374	chlorthalidone	hypertension	2.4	0.06	14.02	0.3451865	1	213	62	31704	374	chlorthalidone	hypertension	0.57	0.01	3.21	1	1	246	288	40157	374	chlorthalidone	hypertension	-0.1	0.90483741803596	0.71	0.8876537	-0.04	0	8.337489e-35	-1.33	0.14	1.708855e-21	8726728	161	161	80
1308	cilostazol	1.1	0.85	1.4	0.4398707	67	8176	65543	8790553	1308	cilostazol	hypertension	0.89	0.36	1.85	1	7	1250	2018	321233	1308	cilostazol	hypertension	33	78	0.98	0.02	5.58	1	1	184	314	56706	1308	cilostazol	hypertension	0	0	11.81	1	0	164	63	31753	1308	cilostazol	hypertension	1.39	0.03	7.96	0.5170824	1	101	288	40302	1308	cilostazol	hypertension	0.16	1.17351087099181	1.01	0.8748578	-0.04	0	8.191845e-35	-1.33	0.14	1.688114e-21	8726728	161	161	80
1770	clavulanate potassium	2.09	1.7	2.54	3.738861e-11	102	6552	65508	8792177	1770	clavulanate potassium	hypertension	0.96	0.12	3.49	1	2	333	2023	322150	1770	clavulanate potassium	hypertension	33	78	0	0	23.75	1	0	30	315	56860	1770	clavulanate potassium	hypertension	0	0	86.36	1	0	24	63	31893	1770	clavulanate potassium	hypertension	0	0	31.95	1	0	18	289	40385	1770	clavulanate potassium	hypertension	-10.17	3.83023234165555e-05	213.1	0.9619364	-0.04	0	8.027068e-35	-1.33	0.14	1.771715e-21	8726728	161	161	80
1608	clevidipine	0	0	2.39	0.4142653	0	209	65610	8798520	1608	clevidipine	hypertension	0	0	13.93	1	0	44	2025	322439	1608	clevidipine	hypertension	33	78	0	0	6345.29	1	0	1	315	56889	1608	clevidipine	hypertension	0	0	15097.47	1	0	1	63	31916	1608	clevidipine	hypertension	0	0	Inf	1	0	0	289	40403	1608	clevidipine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
604	clonidine	2.87	2.66	3.08	2.151965e-135	776	36604	64834	8762125	604	clonidine	hypertension	1.54	1.21	1.95	0.0004991488	75	7844	1950	314639	604	clonidine	hypertension	33	78	1.18	0.5	2.36	0.5596435	8	1228	307	55662	604	clonidine	hypertension	5.18	1.62	12.88	0.003821517	5	522	58	31395	604	clonidine	hypertension	0.84	0.31	1.87	0.8486761	6	989	283	39414	604	clonidine	hypertension	0.2	1.22140275816017	0.31	0.5225606	-0.04	0	1.269146e-34	-1.33	0.14	1.949337e-21	8726728	161	161	80
1303	clopidogrel bisulfate	1.76	1.67	1.86	4.943537e-79	1350	103626	64260	8695103	1303	clopidogrel bisulfate	hypertension	1.82	1.5	2.18	3.41565e-09	123	11077	1902	311406	1303	clopidogrel bisulfate	hypertension	33	78	1.48	0.78	2.59	0.1687786	13	1603	302	55287	1303	clopidogrel bisulfate	hypertension	0.82	0.1	3.1	1	2	1228	61	30689	1303	clopidogrel bisulfate	hypertension	1.84	0.94	3.29	0.04639911	12	927	277	39476	1303	clopidogrel bisulfate	hypertension	0.7	2.01375270747048	0.28	0.01121105	-0.04	0	1.388827e-35	-1.34	0.14	7.421792e-22	8726728	161	161	80
164	cryptenamine acetates	0	0	4835.1	1	0	1	65610	8798728	164	cryptenamine acetates	hypertension	0	0	5661.46	1	0	1	2025	322482	164	cryptenamine acetates	hypertension	33	78	0	0	Inf	1	0	0	315	56890	164	cryptenamine acetates	hypertension	0	0	Inf	1	0	0	63	31917	164	cryptenamine acetates	hypertension	0	0	Inf	1	0	0	289	40403	164	cryptenamine acetates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
193	cryptenamine tannates	0	0	4835.1	1	0	1	65610	8798728	193	cryptenamine tannates	hypertension	0	0	5661.46	1	0	1	2025	322482	193	cryptenamine tannates	hypertension	33	78	0	0	Inf	1	0	0	315	56890	193	cryptenamine tannates	hypertension	0	0	Inf	1	0	0	63	31917	193	cryptenamine tannates	hypertension	0	0	Inf	1	0	0	289	40403	193	cryptenamine tannates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
57	cyanocobalamin	1.31	1.1	1.56	0.002632697	132	13480	65478	8785249	57	cyanocobalamin	hypertension	0.48	0.13	1.25	0.1605011	4	1311	2021	321172	57	cyanocobalamin	hypertension	33	78	0	0	3.25	0.6339635	0	207	315	56683	57	cyanocobalamin	hypertension	0	0	19.53	1	0	100	63	31817	57	cyanocobalamin	hypertension	0	0	3.44	0.6313863	0	152	289	40251	57	cyanocobalamin	hypertension	-12.12	5.44942750369681e-06	242.22	0.9600927	-0.04	0	1.013242e-34	-1.33	0.14	1.646922e-21	8726728	161	161	80
428	cyclothiazide	0	0	203.33	1	0	4	65610	8798725	428	cyclothiazide	hypertension	0	0	5661.46	1	0	1	2025	322482	428	cyclothiazide	hypertension	33	78	0	0	Inf	1	0	0	315	56890	428	cyclothiazide	hypertension	0	0	Inf	1	0	0	63	31917	428	cyclothiazide	hypertension	0	0	Inf	1	0	0	289	40403	428	cyclothiazide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
676	difenoxin	0	0	16.38	1	0	32	65610	8798697	676	difenoxin	hypertension	0	0	174	1	0	5	2025	322478	676	difenoxin	hypertension	33	78	0	0	964.68	1	0	2	315	56888	676	difenoxin	hypertension	0	0	15097.47	1	0	1	63	31916	676	difenoxin	hypertension	0	0	5024.35	1	0	1	289	40402	676	difenoxin	hypertension	-7.84	0.000393669040655078	214.65	0.9708758	-0.04	0	8.249563e-35	-1.33	0.14	1.700246e-21	8726728	161	161	80
1850	digitoxin	0.06	0	0.34	2.571755e-06	1	2217	65609	8796512	1850	digitoxin	hypertension	0	0	0.84	0.02648116	0	704	2025	321779	1850	digitoxin	hypertension	33	78	0	0	22.93	1	0	31	315	56859	1850	digitoxin	hypertension	0	0	53.05	1	0	38	63	31879	1850	digitoxin	hypertension	0	0	28.47	1	0	20	289	40383	1850	digitoxin	hypertension	-9.4	8.27240655566322e-05	186.18	0.9597166	-0.04	0	9.429738e-35	-1.33	0.14	1.761301e-21	8726728	161	161	80
824	diltiazem	2.42	2.27	2.58	2.372234e-128	993	55438	64617	8743291	824	diltiazem	hypertension	1.01	0.76	1.32	0.8920309	57	8956	1968	313527	824	diltiazem	hypertension	33	78	1.04	0.44	2.07	0.8544706	8	1397	307	55493	824	diltiazem	hypertension	1.43	0.17	5.4	0.6539367	2	717	61	31200	824	diltiazem	hypertension	0.7	0.26	1.56	0.4846387	6	1180	283	39223	824	diltiazem	hypertension	-0.07	0.932393819905948	0.36	0.8476632	-0.04	0	1.0409e-34	-1.33	0.14	1.675629e-21	8726728	161	161	80
