results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	results_logReg.N_logReg	count	count_change	count_label
1259	atorvastatin calcium	0.6	0.54	0.67	6.49734e-23	321	184638	25071	8654309	1259	atorvastatin calcium	hypertension	1	0.7	1.4	0.9322029	37	21514	519	302438	1259	atorvastatin calcium	hypertension	28	75.6	0.36	0.04	1.32	0.1803503	2	2859	100	50843	1259	atorvastatin calcium	hypertension	0.78	0.09	2.98	1	2	1655	47	30276	1259	atorvastatin calcium	hypertension	0.85	0.17	2.6	1	3	2125	64	38500	1259	atorvastatin calcium	hypertension	-0.1	0.90483741803596	0.46	0.8339235	-0.04	0	1.404292e-19	-0.12	0.19	0.5181282	8726728	161	161	80
2203	avelumab	0	0	824.46	1	0	3	25392	8838944	2203	avelumab	hypertension	0	0	16384	1	0	1	556	323951	2203	avelumab	hypertension	28	75.6	0	0	Inf	1	0	0	102	53702	2203	avelumab	hypertension	0	0	Inf	1	0	0	49	31931	2203	avelumab	hypertension	0	0	Inf	1	0	0	67	40625	2203	avelumab	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
1968	azilsartan kamedoxomil	0	0	1.64	0.1828054	0	787	25392	8838160	1968	azilsartan kamedoxomil	hypertension	0	0	5.87	1	0	369	556	323583	1968	azilsartan kamedoxomil	hypertension	28	75.6	0	0	28.14	1	0	72	102	53630	1968	azilsartan kamedoxomil	hypertension	0	0	85.18	1	0	31	49	31900	1968	azilsartan kamedoxomil	hypertension	0	0	41.56	1	0	57	67	40568	1968	azilsartan kamedoxomil	hypertension	-11.07	1.55725625987433e-05	414.69	0.9786996	-0.04	0	1.18336e-19	-0.12	0.19	0.5183292	8726728	161	161	80
1034	benazepril	0.68	0.5	0.89	0.004572316	49	25190	25343	8813757	1034	benazepril	hypertension	0.49	0.16	1.15	0.1120903	5	5886	551	318066	1034	benazepril	hypertension	28	75.6	0	0	2.17	0.4223318	0	900	102	52802	1034	benazepril	hypertension	0	0	4.66	1	0	529	49	31402	1034	benazepril	hypertension	0	0	3.76	0.6290473	0	605	67	40020	1034	benazepril	hypertension	-13.05	2.15009184098463e-06	313.23	0.9667645	-0.04	0	1.381138e-19	-0.12	0.19	0.5331232	8726728	161	161	80
365	bendroflumethiazide	0.72	0.42	1.13	0.1919883	18	8751	25374	8830196	365	bendroflumethiazide	hypertension	0.73	0.15	2.14	0.8040682	3	2397	553	321555	365	bendroflumethiazide	hypertension	28	75.6	0	0	7.62	1	0	260	102	53442	365	bendroflumethiazide	hypertension	0	0	17.6	1	0	143	49	31788	365	bendroflumethiazide	hypertension	0	0	9.93	1	0	232	67	40393	365	bendroflumethiazide	hypertension	-11.84	7.21029999031283e-06	329.59	0.971336	-0.04	0	1.454355e-19	-0.12	0.19	0.5146327	8726728	161	161	80
360	benzthiazide	0	0	31.93	1	0	42	25392	8838905	360	benzthiazide	hypertension	0	0	232.12	1	0	11	556	323941	360	benzthiazide	hypertension	28	75.6	0	0	Inf	1	0	0	102	53702	360	benzthiazide	hypertension	0	0	Inf	1	0	0	49	31931	360	benzthiazide	hypertension	0	0	Inf	1	0	0	67	40625	360	benzthiazide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
932	betaxolol	0.78	0.21	2.01	0.824419	4	1774	25388	8837173	932	betaxolol	hypertension	1.68	0.04	9.46	0.4495842	1	347	555	323605	932	betaxolol	hypertension	28	75.6	0	0	46.84	1	0	44	102	53658	932	betaxolol	hypertension	0	0	98.74	1	0	27	49	31904	932	betaxolol	hypertension	13.97	0.34	84.76	0.07150883	1	44	66	40581	932	betaxolol	hypertension	2.35	10.4855697247276	1.02	0.02111063	-0.04	0	9.670768e-20	-0.12	0.19	0.5239374	8726728	161	161	80
1062	bisoprolol fumarate	1	0.76	1.3	0.9474404	58	20140	25334	8818807	1062	bisoprolol fumarate	hypertension	1.42	0.71	2.57	0.2721444	11	4527	545	319425	1062	bisoprolol fumarate	hypertension	28	75.6	1.87	0.05	10.73	0.4174459	1	283	101	53419	1062	bisoprolol fumarate	hypertension	0	0	11.86	1	0	211	49	31720	1062	bisoprolol fumarate	hypertension	2.55	0.06	14.84	0.3285488	1	240	66	40385	1062	bisoprolol fumarate	hypertension	0.54	1.71600686218486	1.01	0.5920364	-0.04	0	1.072559e-19	-0.12	0.19	0.5168751	8726728	161	161	80
762	bumetanide	0.74	0.47	1.1	0.1578718	24	11260	25368	8827687	762	bumetanide	hypertension	0	0	2.02	0.2727636	0	1066	556	322886	762	bumetanide	hypertension	28	75.6	0	0	10.15	1	0	196	102	53506	762	bumetanide	hypertension	0	0	20.51	1	0	123	49	31808	762	bumetanide	hypertension	0	0	15.15	1	0	153	67	40472	762	bumetanide	hypertension	-11.84	7.21029999031283e-06	386.61	0.9755605	-0.04	0	1.363983e-19	-0.12	0.19	0.5176903	8726728	161	161	80
1198	butenafine	0	0	2.05	0.4337562	0	627	25392	8838320	1198	butenafine	hypertension	0	0	43.83	1	0	51	556	323901	1198	butenafine	hypertension	28	75.6	0	0	15545.8	1	0	1	102	53701	1198	butenafine	hypertension	0	0	Inf	1	0	0	49	31931	1198	butenafine	hypertension	0	0	1492.42	1	0	3	67	40622	1198	butenafine	hypertension	-6.65	0.00129402210546585	308.44	0.9827961	-0.04	0	1.17976e-19	-0.12	0.19	0.518806	8726728	161	161	80
779	calcifediol	0	0	6.86	1	0	189	25392	8838758	779	calcifediol	hypertension	0	0	53.68	1	0	42	556	323910	779	calcifediol	hypertension	28	75.6	0	0	570.87	1	0	5	102	53697	779	calcifediol	hypertension	0	0	1623.17	1	0	3	49	31928	779	calcifediol	hypertension	0	0	1492.42	1	0	3	67	40622	779	calcifediol	hypertension	-7.69	0.000457378171735062	357.6	0.9828331	-0.04	0	1.182078e-19	-0.12	0.19	0.5189256	8726728	161	161	80
735	calcitriol	0.18	0.06	0.38	1.209239e-08	6	11806	25386	8827141	735	calcitriol	hypertension	0	0	1.73	0.2848395	0	1244	556	322708	735	calcitriol	hypertension	28	75.6	0	0	7.81	1	0	254	102	53448	735	calcitriol	hypertension	0	0	16.21	1	0	155	49	31776	735	calcitriol	hypertension	0	0	12.63	1	0	183	67	40442	735	calcitriol	hypertension	-12.28	4.64369580069689e-06	339.7	0.9711747	-0.04	0	9.463124e-20	-0.12	0.19	0.5193753	8726728	161	161	80
1302	candesartan cilexetil	0.45	0.3	0.63	2.185826e-07	32	24988	25360	8813959	1302	candesartan cilexetil	hypertension	0.22	0.05	0.66	0.001810172	3	7682	553	316270	1302	candesartan cilexetil	hypertension	28	75.6	0	0	2.91	0.6419236	0	673	102	53029	1302	candesartan cilexetil	hypertension	0	0	6.4	1	0	387	49	31544	1302	candesartan cilexetil	hypertension	0	0	4.18	1	0	545	67	40080	1302	candesartan cilexetil	hypertension	-13	2.26032940698105e-06	343.35	0.9697906	-0.04	0	1.431629e-19	-0.12	0.19	0.5174203	8726728	161	161	80
784	captopril	0.78	0.49	1.17	0.2674759	23	10281	25369	8828666	784	captopril	hypertension	1.29	0.47	2.83	0.4793236	6	2714	550	321238	784	captopril	hypertension	28	75.6	3.5	0.42	13.09	0.115489	2	305	100	53397	784	captopril	hypertension	0	0	16.54	1	0	152	49	31779	784	captopril	hypertension	5.43	0.64	20.63	0.05576661	2	229	65	40396	784	captopril	hypertension	0.85	2.33964685192599	0.72	0.2395583	-0.04	0	2.502001e-19	-0.12	0.19	0.5177682	8726728	161	161	80
1141	carvedilol	0.47	0.38	0.57	2.285308e-17	97	71996	25295	8766951	1141	carvedilol	hypertension	0.52	0.26	0.93	0.0248087	11	12150	545	311802	1141	carvedilol	hypertension	28	75.6	1.11	0.35	2.69	0.8066867	5	2374	97	51328	1141	carvedilol	hypertension	1.15	0.23	3.59	0.7460129	3	1709	46	30222	1141	carvedilol	hypertension	0.79	0.09	2.97	1	2	1524	65	39101	1141	carvedilol	hypertension	0.07	1.07250818125422	0.46	0.8806973	-0.04	0	1.206323e-19	-0.12	0.19	0.5155615	8726728	161	161	80
1580	carvedilol phosphate	0.25	0.03	0.91	0.03020283	2	2753	25390	8836194	1580	carvedilol phosphate	hypertension	0	0	2.73	0.6497227	0	789	556	323163	1580	carvedilol phosphate	hypertension	28	75.6	0	0	37.1	1	0	55	102	53647	1580	carvedilol phosphate	hypertension	0	0	91.45	1	0	29	49	31902	1580	carvedilol phosphate	hypertension	0	0	61.7	1	0	39	67	40586	1580	carvedilol phosphate	hypertension	-9.91	4.96754356281337e-05	287.57	0.9725064	-0.04	0	1.212092e-19	-0.12	0.19	0.5191466	8726728	161	161	80
1838	cefuroxime	1.62	1.1	2.3	0.01135299	31	6678	25361	8832269	1838	cefuroxime	hypertension	0	0	5.58	1	0	388	556	323564	1838	cefuroxime	hypertension	28	75.6	0	0	35.17	1	0	58	102	53644	1838	cefuroxime	hypertension	0	0	74.88	1	0	35	49	31896	1838	cefuroxime	hypertension	0	0	50.8	1	0	47	67	40578	1838	cefuroxime	hypertension	-11.13	1.4665687152517e-05	423.9	0.9790468	-0.04	0	1.156796e-19	-0.12	0.19	0.5174689	8726728	161	161	80
1784	cefuroxime axetil	0.46	0.13	1.18	0.1250893	4	3032	25388	8835915	1784	cefuroxime axetil	hypertension	0	0	17.51	1	0	125	556	323827	1784	cefuroxime axetil	hypertension	28	75.6	0	0	85.05	1	0	25	102	53677	1784	cefuroxime axetil	hypertension	0	0	240.93	1	0	12	49	31919	1784	cefuroxime axetil	hypertension	0	0	141.46	1	0	18	67	40607	1784	cefuroxime axetil	hypertension	-10.08	4.19094172885549e-05	430.97	0.9813371	-0.04	0	1.177106e-19	-0.12	0.19	0.5185202	8726728	161	161	80
287	chlorothiazide	0	0	1.72	0.2864369	0	749	25392	8838198	287	chlorothiazide	hypertension	0	0	26.9	1	0	82	556	323870	287	chlorothiazide	hypertension	28	75.6	0	0	311.29	1	0	8	102	53694	287	chlorothiazide	hypertension	0	0	1623.17	1	0	3	49	31928	287	chlorothiazide	hypertension	0	0	520.99	1	0	6	67	40619	287	chlorothiazide	hypertension	-8.83	0.000146278239484437	284.52	0.9752393	-0.04	0	1.146731e-19	-0.12	0.19	0.5182839	8726728	161	161	80
374	chlorthalidone	0.73	0.38	1.28	0.3827161	12	5684	25380	8833263	374	chlorthalidone	hypertension	2.33	0.93	4.84	0.03462808	7	1763	549	322189	374	chlorthalidone	hypertension	28	75.6	3.06	0.36	11.42	0.1433886	2	349	100	53353	374	chlorthalidone	hypertension	6.37	0.74	24.59	0.04267443	2	212	47	31719	374	chlorthalidone	hypertension	0	0	9.32	1	0	247	67	40378	374	chlorthalidone	hypertension	1.03	2.80106583469908	0.72	0.1501144	-0.04	0	1.172746e-19	-0.12	0.19	0.517763	8726728	161	161	80
1308	cilostazol	0.46	0.23	0.83	0.006922993	11	8232	25381	8830715	1308	cilostazol	hypertension	0	0	1.71	0.2865182	0	1257	556	322695	1308	cilostazol	hypertension	28	75.6	0	0	12.16	1	0	164	102	53538	1308	cilostazol	hypertension	0	0	15.31	1	0	164	49	31767	1308	cilostazol	hypertension	0	0	22.88	1	0	102	67	40523	1308	cilostazol	hypertension	-11.82	7.35595771211205e-06	389.64	0.9757959	-0.04	0	1.349911e-19	-0.12	0.19	0.5261418	8726728	161	161	80
1770	clavulanate potassium	1.68	1.15	2.38	0.005549156	32	6622	25360	8832325	1770	clavulanate potassium	hypertension	0	0	6.47	1	0	335	556	323617	1770	clavulanate potassium	hypertension	28	75.6	0	0	78.19	1	0	27	102	53675	1770	clavulanate potassium	hypertension	0	0	111.55	1	0	24	49	31907	1770	clavulanate potassium	hypertension	0	0	141.46	1	0	18	67	40607	1770	clavulanate potassium	hypertension	-10.35	3.19927897776892e-05	347.79	0.9762688	-0.04	0	1.13392e-19	-0.12	0.19	0.5212478	8726728	161	161	80
1608	clevidipine	0	0	6.2	1	0	209	25392	8838738	1608	clevidipine	hypertension	0	0	51.16	1	0	44	556	323908	1608	clevidipine	hypertension	28	75.6	0	0	15545.8	1	0	1	102	53701	1608	clevidipine	hypertension	0	0	16384	1	0	1	49	31930	1608	clevidipine	hypertension	0	0	Inf	1	0	0	67	40625	1608	clevidipine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
604	clonidine	1.63	1.4	1.9	2.691023e-09	174	37206	25218	8801741	604	clonidine	hypertension	1.81	1.15	2.72	0.008145314	24	7895	532	316057	604	clonidine	hypertension	28	75.6	0.88	0.11	3.28	1	2	1190	100	52512	604	clonidine	hypertension	1.24	0.03	7.3	0.5572798	1	526	48	31405	604	clonidine	hypertension	0.6	0.02	3.49	1	1	994	66	39631	604	clonidine	hypertension	-0.38	0.683861409212356	0.71	0.5979769	-0.04	0	9.934012e-20	-0.12	0.19	0.5104693	8726728	161	161	80
1303	clopidogrel bisulfate	0.39	0.32	0.47	5.226219e-33	119	104857	25273	8734090	1303	clopidogrel bisulfate	hypertension	0.72	0.39	1.22	0.2933055	14	11186	542	312766	1303	clopidogrel bisulfate	hypertension	28	75.6	0.35	0.01	2.02	0.5322405	1	1459	101	52243	1303	clopidogrel bisulfate	hypertension	0.52	0.01	3.05	1	1	1229	48	30702	1303	clopidogrel bisulfate	hypertension	0	0	2.4	0.41032	0	939	67	39686	1303	clopidogrel bisulfate	hypertension	-0.97	0.379083038103399	1.01	0.3371539	-0.04	0	2.867225e-19	-0.11	0.19	0.5490969	8726728	161	161	80
164	cryptenamine acetates	0	0	11200.23	1	0	1	25392	8838946	164	cryptenamine acetates	hypertension	0	0	16384	1	0	1	556	323951	164	cryptenamine acetates	hypertension	28	75.6	0	0	Inf	1	0	0	102	53702	164	cryptenamine acetates	hypertension	0	0	Inf	1	0	0	49	31931	164	cryptenamine acetates	hypertension	0	0	Inf	1	0	0	67	40625	164	cryptenamine acetates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
193	cryptenamine tannates	0	0	11200.23	1	0	1	25392	8838946	193	cryptenamine tannates	hypertension	0	0	16384	1	0	1	556	323951	193	cryptenamine tannates	hypertension	28	75.6	0	0	Inf	1	0	0	102	53702	193	cryptenamine tannates	hypertension	0	0	Inf	1	0	0	49	31931	193	cryptenamine tannates	hypertension	0	0	Inf	1	0	0	67	40625	193	cryptenamine tannates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
57	cyanocobalamin	0.64	0.41	0.95	0.02412051	25	13587	25367	8825360	57	cyanocobalamin	hypertension	0	0	1.64	0.1821845	0	1315	556	322637	57	cyanocobalamin	hypertension	28	75.6	0	0	10.15	1	0	196	102	53506	57	cyanocobalamin	hypertension	0	0	25.34	1	0	100	49	31831	57	cyanocobalamin	hypertension	0	0	15.25	1	0	152	67	40473	57	cyanocobalamin	hypertension	-11.95	6.45923285705046e-06	404.9	0.9764639	-0.04	0	1.287276e-19	-0.12	0.19	0.5173528	8726728	161	161	80
428	cyclothiazide	0	0	520.37	1	0	4	25392	8838943	428	cyclothiazide	hypertension	0	0	16384	1	0	1	556	323951	428	cyclothiazide	hypertension	28	75.6	0	0	Inf	1	0	0	102	53702	428	cyclothiazide	hypertension	0	0	Inf	1	0	0	49	31931	428	cyclothiazide	hypertension	0	0	Inf	1	0	0	67	40625	428	cyclothiazide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
676	difenoxin	0	0	42.53	1	0	32	25392	8838915	676	difenoxin	hypertension	0	0	641.68	1	0	5	556	323947	676	difenoxin	hypertension	28	75.6	0	0	2906.53	1	0	2	102	53700	676	difenoxin	hypertension	0	0	16384	1	0	1	49	31930	676	difenoxin	hypertension	0	0	16384	1	0	1	67	40624	676	difenoxin	hypertension	-7.66	0.000471307410795765	365.45	0.9832823	-0.04	0	1.170779e-19	-0.12	0.19	0.5187484	8726728	161	161	80
1850	digitoxin	1.26	0.54	2.49	0.4277527	8	2210	25384	8836737	1850	digitoxin	hypertension	0.83	0.02	4.65	1	1	703	555	323249	1850	digitoxin	hypertension	28	75.6	0	0	88.88	1	0	24	102	53678	1850	digitoxin	hypertension	0	0	68.73	1	0	38	49	31893	1850	digitoxin	hypertension	0	0	125.73	1	0	20	67	40605	1850	digitoxin	hypertension	-9.45	7.86895652717947e-05	313.39	0.9759329	-0.04	0	1.252554e-19	-0.12	0.19	0.5203869	8726728	161	161	80
824	diltiazem	0.56	0.45	0.69	1.685687e-09	91	56340	25301	8782607	824	diltiazem	hypertension	0.97	0.54	1.62	1	15	8998	541	314954	824	diltiazem	hypertension	28	75.6	0.41	0.01	2.36	0.7354826	1	1257	101	52445	824	diltiazem	hypertension	0	0	3.4	0.6299012	0	719	49	31212	824	diltiazem	hypertension	0.5	0.01	2.91	1	1	1185	66	39440	824	diltiazem	hypertension	-0.95	0.386741023454501	1.01	0.3435227	-0.04	0	1.906558e-19	-0.13	0.19	0.506078	8726728	161	161	80
1194	diltiazem malate	0	0	6.86	1	0	189	25392	8838758	1194	diltiazem malate	hypertension	0	0	89.09	1	0	26	556	323926	1194	diltiazem malate	hypertension	28	75.6	0	0	Inf	1	0	0	102	53702	1194	diltiazem malate	hypertension	0	0	Inf	1	0	0	49	31931	1194	diltiazem malate	hypertension	0	0	Inf	1	0	0	67	40625	1194	diltiazem malate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
