results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	count	count_change	count_label
563	arginine	0.28	0.01	1.57	0.28	1	1453	21579	8841306	563	arginine	hypertension	0	0	8.31	1	0	244	595	323669	563	arginine	hypertension	41.8	78.6	0	0	40.19	1	0	64	85	56436	563	arginine	hypertension	0	0	106.37	1	0	41	30	31909	563	arginine	hypertension	0	0	67.22	1	0	37	65	40590	563	arginine	hypertension	-10.91	1.82745714988258e-05	443	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
55	ascorbic acid	1.79	1.48	2.16	1.5e-08	113	25866	21467	8816893	55	ascorbic acid	hypertension	1.92	0.77	3.99	0.1	7	1996	588	321917	55	ascorbic acid	hypertension	41.8	78.6	5.01	0.12	29.12	0.18	1	134	84	56366	55	ascorbic acid	hypertension	13.4	0.32	82.87	0.075	1	82	29	31868	55	ascorbic acid	hypertension	0	0	23.85	1	0	101	65	40526	55	ascorbic acid	hypertension	1.53	4.61817682229978	1.01	0.13	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
106	aspirin	0.69	0.64	0.75	1.1e-21	616	360798	20964	8481961	106	aspirin	hypertension	0.98	0.76	1.25	0.95	76	42104	519	281809	106	aspirin	hypertension	41.8	78.6	0.67	0.28	1.4	0.34	8	7547	77	48953	106	aspirin	hypertension	0.2	0	1.19	0.12	1	4753	29	27197	106	aspirin	hypertension	0.91	0.35	1.99	1	7	4778	58	35849	106	aspirin	hypertension	-0.35	0.704688089718713	0.37	0.34	-0.03	0.01	0	-0.55	0.22	0.01	161	161	80
767	atenolol	0.99	0.87	1.11	0.85	261	108517	21319	8734242	767	atenolol	hypertension	0.83	0.58	1.15	0.31	37	24050	558	299863	767	atenolol	hypertension	41.8	78.6	0.51	0.1	1.55	0.38	3	3768	82	52732	767	atenolol	hypertension	0.55	0.01	3.33	1	1	1879	29	30071	767	atenolol	hypertension	0.42	0.05	1.58	0.33	2	2867	63	37760	767	atenolol	hypertension	-0.79	0.453844795282356	0.59	0.18	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1259	atorvastatin calcium	0.83	0.75	0.92	0.00032	376	184583	21204	8658176	1259	atorvastatin calcium	hypertension	1.58	1.19	2.06	0.0016	60	21491	535	302422	1259	atorvastatin calcium	hypertension	41.8	78.6	0	0	0.77	0.015	0	3077	85	53423	1259	atorvastatin calcium	hypertension	0	0	2.39	0.4	0	1657	30	30293	1259	atorvastatin calcium	hypertension	0	0	1.06	0.05	0	2128	65	38499	1259	atorvastatin calcium	hypertension	-14.92	3.31380027771388e-07	470.11	0.97	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
2203	avelumab	0	0	988.61	1	0	3	21580	8842756	2203	avelumab	hypertension	0	0	15942.71	1	0	1	595	323912	2203	avelumab	hypertension	41.8	78.6	0	0	Inf	1	0	0	85	56500	2203	avelumab	hypertension	0	0	Inf	1	0	0	30	31950	2203	avelumab	hypertension	0	0	Inf	1	0	0	65	40627	2203	avelumab	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
1968	azilsartan kamedoxomil	0	0	1.93	0.27	0	787	21580	8841972	1968	azilsartan kamedoxomil	hypertension	0	0	5.48	1	0	369	595	323544	1968	azilsartan kamedoxomil	hypertension	41.8	78.6	0	0	36.16	1	0	71	85	56429	1968	azilsartan kamedoxomil	hypertension	0	0	142.69	1	0	31	30	31919	1968	azilsartan kamedoxomil	hypertension	0	0	42.88	1	0	57	65	40570	1968	azilsartan kamedoxomil	hypertension	-10.95	1.75580153011059e-05	418.43	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1034	benazepril	0.94	0.72	1.22	0.75	58	25181	21522	8817578	1034	benazepril	hypertension	0.74	0.32	1.46	0.54	8	5883	587	318030	1034	benazepril	hypertension	41.8	78.6	0	0	2.57	0.41	0	962	85	55538	1034	benazepril	hypertension	0	0	7.8	1	0	529	30	31421	1034	benazepril	hypertension	0	0	3.87	1	0	605	65	40022	1034	benazepril	hypertension	-12.89	2.52315614902625e-06	316.45	0.97	-0.03	0.01	0	-0.55	0.22	0.01	161	161	80
365	bendroflumethiazide	1.64	1.14	2.29	0.0062	35	8734	21545	8834025	365	bendroflumethiazide	hypertension	1.83	0.79	3.64	0.09	8	2392	587	321521	365	bendroflumethiazide	hypertension	41.8	78.6	0	0	8.84	1	0	284	85	56216	365	bendroflumethiazide	hypertension	0	0	29.46	1	0	143	30	31807	365	bendroflumethiazide	hypertension	0	0	10.25	1	0	232	65	40395	365	bendroflumethiazide	hypertension	-11.81	7.42988631618285e-06	333.3	0.97	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
360	benzthiazide	0	0	37.62	1	0	42	21580	8842717	360	benzthiazide	hypertension	0	0	216.99	1	0	11	595	323902	360	benzthiazide	hypertension	41.8	78.6	0	0	Inf	1	0	0	85	56500	360	benzthiazide	hypertension	0	0	Inf	1	0	0	30	31950	360	benzthiazide	hypertension	0	0	Inf	1	0	0	65	40627	360	benzthiazide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
932	betaxolol	0.69	0.14	2.03	0.81	3	1775	21577	8840984	932	betaxolol	hypertension	0	0	5.81	1	0	348	595	323565	932	betaxolol	hypertension	41.8	78.6	0	0	54.18	1	0	48	85	56452	932	betaxolol	hypertension	0	0	164.73	1	0	27	30	31923	932	betaxolol	hypertension	0	0	54.81	1	0	45	65	40582	932	betaxolol	hypertension	-10.83	1.97966069719794e-05	460.6	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1062	bisoprolol fumarate	0.51	0.33	0.75	0.00025	25	20173	21555	8822586	1062	bisoprolol fumarate	hypertension	0.96	0.41	1.91	1	8	4530	587	319383	1062	bisoprolol fumarate	hypertension	41.8	78.6	0	0	7.98	1	0	314	85	56186	1062	bisoprolol fumarate	hypertension	0	0	19.84	1	0	211	30	31739	1062	bisoprolol fumarate	hypertension	0	0	9.86	1	0	241	65	40386	1062	bisoprolol fumarate	hypertension	-11.78	7.65616004126982e-06	303.43	0.97	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
762	bumetanide	0.69	0.42	1.08	0.12	19	11265	21561	8831494	762	bumetanide	hypertension	0	0	1.89	0.28	0	1066	595	322847	762	bumetanide	hypertension	41.8	78.6	0	0	11.6	1	0	217	85	56283	762	bumetanide	hypertension	0	0	34.33	1	0	123	30	31827	762	bumetanide	hypertension	0	0	15.63	1	0	153	65	40474	762	bumetanide	hypertension	-11.79	7.57997997601621e-06	388.45	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1198	butenafine	0	0	2.42	0.41	0	627	21580	8842132	1198	butenafine	hypertension	0	0	40.95	1	0	51	595	323862	1198	butenafine	hypertension	41.8	78.6	0	0	1648.25	1	0	3	85	56497	1198	butenafine	hypertension	0	0	Inf	1	0	0	30	31950	1198	butenafine	hypertension	0	0	1543.3	1	0	3	65	40624	1198	butenafine	hypertension	-6.87	0.00103847706461533	308.87	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
779	calcifediol	4.38	0.53	16.06	0.078	2	187	21578	8842572	779	calcifediol	hypertension	27.32	3.19	105.68	0.0028	2	40	593	323873	779	calcifediol	hypertension	41.8	78.6	0	0	744.94	1	0	5	85	56495	779	calcifediol	hypertension	0	0	2763.12	1	0	3	30	31947	779	calcifediol	hypertension	0	0	1543.3	1	0	3	65	40624	779	calcifediol	hypertension	-7.7	0.000452827182886797	356.62	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
735	calcitriol	0.59	0.34	0.95	0.025	17	11795	21563	8830964	735	calcitriol	hypertension	1.76	0.48	4.54	0.3	4	1240	591	322673	735	calcitriol	hypertension	41.8	78.6	2.66	0.07	15.35	0.32	1	252	84	56248	735	calcitriol	hypertension	0	0	27.15	1	0	155	30	31795	735	calcitriol	hypertension	3.47	0.09	20.29	0.25	1	182	64	40445	735	calcitriol	hypertension	0.73	2.07508060767412	1.01	0.47	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1302	candesartan cilexetil	0.84	0.62	1.1	0.22	51	24969	21529	8817790	1302	candesartan cilexetil	hypertension	1.36	0.81	2.15	0.18	19	7666	576	316247	1302	candesartan cilexetil	hypertension	41.8	78.6	1.91	0.23	7.14	0.29	2	704	83	55796	1302	candesartan cilexetil	hypertension	9.13	1.77	29.87	0.0056	3	384	27	31566	1302	candesartan cilexetil	hypertension	0	0	4.31	1	0	545	65	40082	1302	candesartan cilexetil	hypertension	0.96	2.61169647342312	0.59	0.1	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
784	captopril	0.96	0.61	1.42	0.92	24	10280	21556	8832479	784	captopril	hypertension	0.6	0.12	1.76	0.5	3	2717	592	321196	784	captopril	hypertension	41.8	78.6	2.18	0.05	12.57	0.37	1	307	84	56193	784	captopril	hypertension	0	0	27.69	1	0	152	30	31798	784	captopril	hypertension	2.74	0.07	16	0.31	1	230	64	40397	784	captopril	hypertension	0.52	1.68202764969889	1.01	0.61	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1141	carvedilol	0.49	0.39	0.61	1.4e-13	87	72006	21493	8770753	1141	carvedilol	hypertension	0.53	0.27	0.93	0.023	12	12149	583	311764	1141	carvedilol	hypertension	41.8	78.6	0.78	0.16	2.36	1	3	2540	82	53960	1141	carvedilol	hypertension	1.26	0.15	5.02	0.67	2	1710	28	30240	1141	carvedilol	hypertension	0.81	0.1	3.07	1	2	1524	63	39103	1141	carvedilol	hypertension	0.03	1.03045453395352	0.51	0.95	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1580	carvedilol phosphate	0.15	0	0.83	0.018	1	2754	21579	8840005	1580	carvedilol phosphate	hypertension	0	0	2.55	0.41	0	789	595	323124	1580	carvedilol phosphate	hypertension	41.8	78.6	0	0	44.56	1	0	58	85	56442	1580	carvedilol phosphate	hypertension	0	0	152.72	1	0	29	30	31921	1580	carvedilol phosphate	hypertension	0	0	63.72	1	0	39	65	40588	1580	carvedilol phosphate	hypertension	-10.83	1.97966069719794e-05	476.23	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1838	cefuroxime	0.55	0.25	1.05	0.081	9	6700	21571	8836059	1838	cefuroxime	hypertension	0	0	5.21	1	0	388	595	323525	1838	cefuroxime	hypertension	41.8	78.6	0	0	42.26	1	0	61	85	56439	1838	cefuroxime	hypertension	0	0	125.24	1	0	35	30	31915	1838	cefuroxime	hypertension	0	0	52.4	1	0	47	65	40580	1838	cefuroxime	hypertension	-10.95	1.75580153011059e-05	429.92	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1784	cefuroxime axetil	0.54	0.15	1.39	0.27	4	3032	21576	8839727	1784	cefuroxime axetil	hypertension	0	0	16.35	1	0	125	595	323788	1784	cefuroxime axetil	hypertension	41.8	78.6	0	0	103.45	1	0	26	85	56474	1784	cefuroxime axetil	hypertension	0	0	406.58	1	0	12	30	31938	1784	cefuroxime axetil	hypertension	0	0	146.02	1	0	18	65	40609	1784	cefuroxime axetil	hypertension	-9.95	4.7727633936802e-05	433.34	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
287	chlorothiazide	0.55	0.01	3.06	1	1	748	21579	8842011	287	chlorothiazide	hypertension	0	0	25.12	1	0	82	595	323831	287	chlorothiazide	hypertension	41.8	78.6	0	0	564.85	1	0	6	85	56494	287	chlorothiazide	hypertension	0	0	2763.12	1	0	3	30	31947	287	chlorothiazide	hypertension	0	0	535.93	1	0	6	65	40621	287	chlorothiazide	hypertension	-9.41	8.1900947351399e-05	477.32	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
374	chlorthalidone	0.5	0.2	1.04	0.078	7	5689	21573	8837070	374	chlorthalidone	hypertension	0.31	0.01	1.72	0.39	1	1769	594	322144	374	chlorthalidone	hypertension	41.8	78.6	0	0	6.76	1	0	370	85	56130	374	chlorthalidone	hypertension	0	0	19.56	1	0	214	30	31736	374	chlorthalidone	hypertension	0	0	9.62	1	0	247	65	40380	374	chlorthalidone	hypertension	-11.91	6.7228391506356e-06	300.21	0.97	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1308	cilostazol	0.5	0.24	0.92	0.024	10	8233	21570	8834526	1308	cilostazol	hypertension	0	0	1.6	0.18	0	1257	595	322656	1308	cilostazol	hypertension	41.8	78.6	0	0	13.78	1	0	183	85	56317	1308	cilostazol	hypertension	0	0	25.63	1	0	164	30	31786	1308	cilostazol	hypertension	0	0	23.61	1	0	102	65	40525	1308	cilostazol	hypertension	-11.67	8.54640355799298e-06	395.24	0.98	-0.03	0.01	0	-0.55	0.22	0.01	161	161	80
1770	clavulanate potassium	2.36	1.67	3.24	4.2e-06	38	6616	21542	8836143	1770	clavulanate potassium	hypertension	4.94	1.01	14.63	0.024	3	332	592	323581	1770	clavulanate potassium	hypertension	41.8	78.6	0	0	95.48	1	0	28	85	56472	1770	clavulanate potassium	hypertension	0	0	186.72	1	0	24	30	31926	1770	clavulanate potassium	hypertension	0	0	146.02	1	0	18	65	40609	1770	clavulanate potassium	hypertension	-9.94	4.82073046323988e-05	362.52	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1608	clevidipine	0	0	7.3	1	0	209	21580	8842550	1608	clevidipine	hypertension	0	0	47.8	1	0	44	595	323869	1608	clevidipine	hypertension	41.8	78.6	0	0	16384	1	0	1	85	56499	1608	clevidipine	hypertension	0	0	4.5036e+15	1	0	1	30	31949	1608	clevidipine	hypertension	0	0	Inf	1	0	0	65	40627	1608	clevidipine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
604	clonidine	2.19	1.9	2.52	2e-22	198	37182	21382	8805577	604	clonidine	hypertension	1.61	1.01	2.44	0.032	23	7896	572	316017	604	clonidine	hypertension	41.8	78.6	0.55	0.01	3.14	1	1	1202	84	55298	604	clonidine	hypertension	0	0	7.83	1	0	527	30	31423	604	clonidine	hypertension	0.62	0.02	3.61	1	1	994	64	39633	604	clonidine	hypertension	-0.83	0.436049286321536	1.01	0.41	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1303	clopidogrel bisulfate	0.4	0.32	0.48	6.8e-28	102	104874	21478	8737885	1303	clopidogrel bisulfate	hypertension	0.53	0.26	0.95	0.032	11	11189	584	312724	1303	clopidogrel bisulfate	hypertension	41.8	78.6	0	0	1.48	0.18	0	1648	85	54852	1303	clopidogrel bisulfate	hypertension	0	0	3.27	0.63	0	1230	30	30720	1303	clopidogrel bisulfate	hypertension	0	0	2.47	0.41	0	939	65	39688	1303	clopidogrel bisulfate	hypertension	-13.73	1.08927306178943e-06	377.51	0.97	-0.03	0.01	0	-0.54	0.22	0.01	161	161	80
164	cryptenamine acetates	0	0	12787.93	1	0	1	21580	8842758	164	cryptenamine acetates	hypertension	0	0	15942.71	1	0	1	595	323912	164	cryptenamine acetates	hypertension	41.8	78.6	0	0	Inf	1	0	0	85	56500	164	cryptenamine acetates	hypertension	0	0	Inf	1	0	0	30	31950	164	cryptenamine acetates	hypertension	0	0	Inf	1	0	0	65	40627	164	cryptenamine acetates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
193	cryptenamine tannates	0	0	12787.93	1	0	1	21580	8842758	193	cryptenamine tannates	hypertension	0	0	15942.71	1	0	1	595	323912	193	cryptenamine tannates	hypertension	41.8	78.6	0	0	Inf	1	0	0	85	56500	193	cryptenamine tannates	hypertension	0	0	Inf	1	0	0	30	31950	193	cryptenamine tannates	hypertension	0	0	Inf	1	0	0	65	40627	193	cryptenamine tannates	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
57	cyanocobalamin	0.63	0.39	0.97	0.036	21	13591	21559	8829168	57	cyanocobalamin	hypertension	0	0	1.53	0.19	0	1315	595	322598	57	cyanocobalamin	hypertension	41.8	78.6	0	0	12.05	1	0	209	85	56291	57	cyanocobalamin	hypertension	0	0	42.38	1	0	100	30	31850	57	cyanocobalamin	hypertension	0	0	15.73	1	0	152	65	40475	57	cyanocobalamin	hypertension	-11.87	6.99720342114394e-06	407.22	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
428	cyclothiazide	0	0	618.8	1	0	4	21580	8842755	428	cyclothiazide	hypertension	0	0	15942.71	1	0	1	595	323912	428	cyclothiazide	hypertension	41.8	78.6	0	0	Inf	1	0	0	85	56500	428	cyclothiazide	hypertension	0	0	Inf	1	0	0	30	31950	428	cyclothiazide	hypertension	0	0	Inf	1	0	0	65	40627	428	cyclothiazide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
676	difenoxin	0	0	50.12	1	0	32	21580	8842727	676	difenoxin	hypertension	0	0	605.93	1	0	5	595	323908	676	difenoxin	hypertension	41.8	78.6	0	0	16384	1	0	1	85	56499	676	difenoxin	hypertension	0	0	4.5036e+15	1	0	1	30	31949	676	difenoxin	hypertension	0	0	16384	1	0	1	65	40626	676	difenoxin	hypertension	-7.3	0.000675538775193844	367.77	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1850	digitoxin	0	0	0.68	0.0083	0	2218	21580	8840541	1850	digitoxin	hypertension	0	0	2.86	0.64	0	704	595	323209	1850	digitoxin	hypertension	41.8	78.6	0	0	67.25	1	0	39	85	56461	1850	digitoxin	hypertension	0	0	114.62	1	0	38	30	31912	1850	digitoxin	hypertension	0	0	129.7	1	0	20	65	40607	1850	digitoxin	hypertension	-9.46	7.79065910151345e-05	313.3	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
824	diltiazem	0.74	0.6	0.9	0.002	102	56329	21478	8786430	824	diltiazem	hypertension	0.97	0.55	1.59	1	16	8997	579	314916	824	diltiazem	hypertension	41.8	78.6	0	0	1.73	0.28	0	1416	85	55084	824	diltiazem	hypertension	0	0	5.7	1	0	719	30	31231	824	diltiazem	hypertension	0	0	1.94	0.27	0	1186	65	39441	824	diltiazem	hypertension	-13.87	9.46968506864711e-07	401.75	0.97	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1194	diltiazem malate	0	0	8.08	1	0	189	21580	8842570	1194	diltiazem malate	hypertension	0	0	83.08	1	0	26	595	323887	1194	diltiazem malate	hypertension	41.8	78.6	0	0	Inf	1	0	0	85	56500	1194	diltiazem malate	hypertension	0	0	Inf	1	0	0	30	31950	1194	diltiazem malate	hypertension	0	0	Inf	1	0	0	65	40627	1194	diltiazem malate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	161	80
477	diphenidol	0	0	21.53	1	0	72	21580	8842687	477	diphenidol	hypertension	0	0	141.85	1	0	16	595	323897	477	diphenidol	hypertension	41.8	78.6	0	0	Inf	1	0	0	85	56500	477	diphenidol	hypertension	0	0	Inf	1	0	0	30	31950	477	diphenidol	hypertension	0	0	3515.16	1	0	2	65	40625	477	diphenidol	hypertension	-6.54	0.00144448849902054	378.58	0.99	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
413	dipyridamole	0.71	0.41	1.13	0.18	17	9845	21563	8832914	413	dipyridamole	hypertension	0	0	1.58	0.18	0	1274	595	322639	413	dipyridamole	hypertension	41.8	78.6	0	0	19.81	1	0	128	85	56372	413	dipyridamole	hypertension	0	0	50.08	1	0	85	30	31865	413	dipyridamole	hypertension	0	0	26.54	1	0	91	65	40536	413	dipyridamole	hypertension	-11.78	7.65616004126982e-06	485.24	0.98	-0.03	0.01	0	-0.56	0.22	0.01	161	161	80
1001	doxazosin mesylate	0.57	0.34	0.9	0.011	19	13577	21561	8829182	1001	doxazosin mesylate	hypertension	0	0	0.59	0.0037	0	3383	595	320530	1001	doxazosin mesylate	hypertension	41.8	78.6	0	0	9.23	1	0	272	85	56228	1001	doxazosin mesylate	hypertension	0	0	19.94	1	0	210	30	31740	1001	doxazosin mesylate	hypertension	0	0	15.63	1	0	153	65	40474	1001	doxazosin mesylate	hypertension	-11.75	7.88932482720022e-06	337.79	0.97	-0.03	0.01	0	-0.55	0.22	0.01	161	161	80
